lootId	group1	groupProb1	group2	groupProb2	group3	groupProb3	group4	groupProb4	group5	groupProb5	group6	groupProb6	group7	groupProb7	group8	groupProb8	group9	groupProb9	group10	groupProb10	group11	groupProb11	group12	groupProb12	group13	groupProb13	group14	groupProb14	group15	groupProb15	lootType
掉落索引id	掉落组Id1	掉落组几率1\n[10000=100%]	掉落组Id2	掉落组几率2	掉落组Id3	掉落组几率3	掉落组Id4	掉落组几率4	掉落组Id5	掉落组几率5	掉落组Id6	掉落组几率6	掉落组Id7	掉落组几率7	掉落组Id8	掉落组几率8	掉落组Id9	掉落组几率9	掉落组Id10	掉落组几率10											0:正常掉落 \n1:组队且在地图内的玩家掉落
1014	100101	10000	100102	10000																											
1015	100201	10000	100202	10000																											
1016	100301	10000	100302	10000																											
1017	100401	10000	100402	10000																											
1018	100501	10000	100502	10000																											
1019	100601	10000	100602	10000																											
1020	100701	10000	100702	10000																											
1021	100801	10000	100802	10000																											
1022	100901	10000	100902	10000																											
1023	101001	10000	101002	10000																											
1024	101101	10000	101102	10000																											
1025	101201	10000	101202	10000																											
1026	101301	10000	101302	10000																											
1027	102701	2208																													
1028	102801	2208																													
1029	102901	2208																													
1030	103001	2333																													
1031	103101	3333																													
1032	103201	3375																													
1033	103301	3375																													
1034	103401	3688																													
1035	103501	3688																													
1036	103601	3688																													
1037	103701	3688																													
1038	103801	3688																													
1039	103901	3688																													
																															
1040	104001	3000																													
1041	104101	3000	104102	10000																											
1042	104201	10000	104202	10000	104203	10000	104204	10000	104205	10000	104206	10000	104207	2000																	
																															
1043	104301	5083																													
1044	104401	5958																													
1045	104501	6875																													
1046	104601	5844																													
1047	104701	10000																													
1048	104801	6875																													
1049	104901	7857																													
1050	105001	6111																													
1051	105101	6111																													
1052	105201	8214																													
1053	105301	5750																													
1054	105401	8214																													
1055	105501	8571																													
1056	105601	5000																													
1057	105701	8571																													
1058	105801	8250																													
1059	105901	8250																													
1060	106001	8250																													
1061	106101	8250																													
1062	106201	9125																													
																															
1063	106301	10000	106302	10000	106303	10000	106304	10000	106305	10000	106306	5000	106307	2000	106308	2000	106309	2000													
1064	106401	10000	106402	10000	106403	5000																									
1065	106501	500																													
1066	106601	300																													
1067	106701	400																													
																															
1068	106801	10000	106802	10000	106803	10000	106804	3000	106805	3000	106806	3000	106807	300	106808	300	106809	300													
1069	106901	5000	106902	10000	106903	10000	106904	5000	106905	5000	106906	5000	106907	4000	106908	700	106909	700	106910	700											
1070	107001	5000	107002	10000	107003	10000	107004	5000	107005	5000	107006	5000	107007	4000	107008	700	107009	700	107010	700											
1071	107101	5000	107102	10000	107103	10000	107104	5000	107105	5000	107106	5000	107107	4000	107108	700	107109	700	107110	700											
																															
1072	107201	3750																													
1073	107301	10000	107302	10000																											
1074	107401	9762																													1
1075	107501	10000	107502	10000	107503	10000																									1
																															
1076	107601	6923																													
1077	107701	6923																													
1078	107801	6923																													
1079	107901	6923																													
1080	108001	6923																													
1081	108101	6923																													
1082	108201	7692																													
1083	108301	7692																													
1084	108401	9231																													
1085	108501	9231																													
1086	108601	9231																													
1087	108701	10000	108702	10000																											
1088	108801	10000	108802	10000																											
1089	108901	10000	108902	10000																											
1090	109001	10000	109002	10000																											
1091	109101	10000	109102	10000																											
1092	109201	10000	109202	10000																											
1093	109301	10000	109302	10000																											
1094	109401	10000	109402	10000																											
1095	109501	10000	109502	10000																											
1096	109601	10000	109602	10000																											
1097	109701	10000	109702	10000																											
																															
1098	109809	100	109810	10000	109811	10000	109812	10000	109813	10000	109801	1000																			
1099	109809	100	109810	10000	109811	10000	109812	10000	109813	10000	109901	600	109902	600																	
1100	109809	100	109810	10000	109811	10000	109812	10000	109813	10000	110001	500	110002	500	110003	500															
1101	109809	100	109810	10000	109811	10000	109812	10000	109813	10000	110101	500	110102	500	110103	500	110104	500													
1102	109809	100	109810	10000	109811	10000	109812	10000	109813	10000	110201	500	110202	500	110203	500	110204	500	110205	500											
1103	109809	100	109810	10000	109811	10000	109812	10000	109813	10000	110301	500	110302	500	110303	500	110304	500	110305	500	110306	0									
1104	109809	100	109810	10000	109811	10000	109812	10000	109813	10000	110401	500	110402	500	110403	500	110404	500	110405	500	110406	0	110407	500							
