groupId	itemId1	num1	weight1	bindType1	itemId2	num2	weight2	bindType2	itemId3	num3	weight3	bindType3	itemId4	num4	weight4	bindType4	itemId5	num5	weight5	bindType5	itemId6	num6	weight6	bindType6	itemId7	num7	weight7	bindType7	itemId8	num8	weight8	bindType8	itemId9	num9	weight9	bindType9
掉落组id	掉落物品ID1	数量1	权重1	绑定类型	掉落物品ID2	数量2	权重2	绑定类型	掉落物品ID3	数量3	权重3	绑定类型	掉落物品ID4	数量4	权重4	绑定类型	掉落物品ID5	数量5	权重5	绑定类型	掉落物品ID6	数量6	权重6	绑定类型	掉落物品ID7	数量7	权重7	绑定类型	掉落物品ID8	数量8	权重8	绑定类型	掉落物品ID9	数量9	权重9	绑定类型
100101	70001	1	1	0	70002	1	0	0	70003	1	0	0																								
100201	70001	1	1	0	70002	1	0	0	70003	1	0	0																								
100301	70001	1	1	0	70002	1	0	0	70003	1	0	0																								
100401	70001	1	1	0	70002	1	0	0	70003	1	0	0																								
100501	70001	1	0	0	70002	1	1	0	70003	1	0	0																								
100601	70001	1	0	0	70002	1	1	0	70003	1	0	0																								
100701	70001	1	0	0	70002	1	1	0	70003	1	0	0																								
100801	70001	1	0	0	70002	1	0	0	70003	1	1	0																								
100901	70001	1	0	0	70002	1	0	0	70003	1	1	0																								
101001	70001	1	0	0	70002	1	0	0	70003	1	1	0																								
																																				
100102	70012	1	1	0																																
100202	70012	1	1	0																																
100302	70012	1	1	0																																
100402	70012	1	1	0																																
100502	70013	1	1	0																																
100602	70013	1	1	0																																
100702	70013	1	1	0																																
100802	70013	1	1	0																																
100902	70013	1	1	0																																
101002	70013	1	1	0																																
																																				
100203	9231	1	1	0																																
100303	73960	1	1	0																																
