vipLevel	id	awardType	awardId	numLower	numUpper	bind	odds
vip等级	每个等级的奖励ID	奖励类型	id	数量下限	数量上限	绑定\n类型	权重
0	1	1	6000101	1	1	3	128
0	2	1	6000201	1	1	3	128
0	3	1	6000301	1	1	3	128
0	4	1	6000401	1	1	3	128
0	5	1	6000501	1	1	3	128
0	6	1	6000102	1	1	3	64
0	7	1	6000202	1	1	3	64
0	8	1	6000302	1	1	3	64
0	9	1	6000402	1	1	3	64
0	10	1	6000502	1	1	3	64
0	11	1	6000103	1	1	3	32
0	12	1	6000203	1	1	3	32
0	13	1	6000303	1	1	3	32
0	14	1	6000403	1	1	3	32
0	15	1	6000503	1	1	3	32
0	16	1	6000104	1	1	3	16
0	17	1	6000204	1	1	3	16
0	18	1	6000304	1	1	3	16
0	19	1	6000404	1	1	3	16
0	20	1	6000504	1	1	3	16
0	21	1	6000105	1	1	3	8
0	22	1	6000205	1	1	3	8
0	23	1	6000305	1	1	3	8
0	24	1	6000405	1	1	3	8
0	25	1	6000505	1	1	3	8
1	1	1	6000101	1	1	3	128
1	2	1	6000201	1	1	3	128
1	3	1	6000301	1	1	3	128
1	4	1	6000401	1	1	3	128
1	5	1	6000501	1	1	3	128
1	6	1	6000102	1	1	3	64
1	7	1	6000202	1	1	3	64
1	8	1	6000302	1	1	3	64
1	9	1	6000402	1	1	3	64
1	10	1	6000502	1	1	3	64
1	11	1	6000103	1	1	3	32
1	12	1	6000203	1	1	3	32
1	13	1	6000303	1	1	3	32
1	14	1	6000403	1	1	3	32
1	15	1	6000503	1	1	3	32
1	16	1	6000104	1	1	3	16
1	17	1	6000204	1	1	3	16
1	18	1	6000304	1	1	3	16
1	19	1	6000404	1	1	3	16
1	20	1	6000504	1	1	3	16
1	21	1	6000105	1	1	3	8
1	22	1	6000205	1	1	3	8
1	23	1	6000305	1	1	3	8
1	24	1	6000405	1	1	3	8
1	25	1	6000505	1	1	3	8
2	1	1	6000101	1	1	3	128
2	2	1	6000201	1	1	3	128
2	3	1	6000301	1	1	3	128
2	4	1	6000401	1	1	3	128
2	5	1	6000501	1	1	3	128
2	6	1	6000102	1	1	3	64
2	7	1	6000202	1	1	3	64
2	8	1	6000302	1	1	3	64
2	9	1	6000402	1	1	3	64
2	10	1	6000502	1	1	3	64
2	11	1	6000103	1	1	3	32
2	12	1	6000203	1	1	3	32
2	13	1	6000303	1	1	3	32
2	14	1	6000403	1	1	3	32
2	15	1	6000503	1	1	3	32
2	16	1	6000104	1	1	3	16
2	17	1	6000204	1	1	3	16
2	18	1	6000304	1	1	3	16
2	19	1	6000404	1	1	3	16
2	20	1	6000504	1	1	3	16
2	21	1	6000105	1	1	3	8
2	22	1	6000205	1	1	3	8
2	23	1	6000305	1	1	3	8
2	24	1	6000405	1	1	3	8
2	25	1	6000505	1	1	3	8
3	1	1	6000101	1	1	3	128
3	2	1	6000201	1	1	3	128
3	3	1	6000301	1	1	3	128
3	4	1	6000401	1	1	3	128
3	5	1	6000501	1	1	3	128
3	6	1	6000102	1	1	3	64
3	7	1	6000202	1	1	3	64
3	8	1	6000302	1	1	3	64
3	9	1	6000402	1	1	3	64
3	10	1	6000502	1	1	3	64
3	11	1	6000103	1	1	3	32
3	12	1	6000203	1	1	3	32
3	13	1	6000303	1	1	3	32
3	14	1	6000403	1	1	3	32
3	15	1	6000503	1	1	3	32
3	16	1	6000104	1	1	3	16
3	17	1	6000204	1	1	3	16
3	18	1	6000304	1	1	3	16
3	19	1	6000404	1	1	3	16
3	20	1	6000504	1	1	3	16
3	21	1	6000105	1	1	3	8
3	22	1	6000205	1	1	3	8
3	23	1	6000305	1	1	3	8
3	24	1	6000405	1	1	3	8
3	25	1	6000505	1	1	3	8
4	1	1	6000101	1	1	3	128
4	2	1	6000201	1	1	3	128
4	3	1	6000301	1	1	3	128
4	4	1	6000401	1	1	3	128
4	5	1	6000501	1	1	3	128
4	6	1	6000102	1	1	3	64
4	7	1	6000202	1	1	3	64
4	8	1	6000302	1	1	3	64
4	9	1	6000402	1	1	3	64
4	10	1	6000502	1	1	3	64
4	11	1	6000103	1	1	3	32
4	12	1	6000203	1	1	3	32
4	13	1	6000303	1	1	3	32
4	14	1	6000403	1	1	3	32
4	15	1	6000503	1	1	3	32
4	16	1	6000104	1	1	3	16
4	17	1	6000204	1	1	3	16
4	18	1	6000304	1	1	3	16
4	19	1	6000404	1	1	3	16
4	20	1	6000504	1	1	3	16
