vipLevel	times	vipOdds	normalOdds
vip等级	开宝箱次数	奖励1权值	奖励2-8权值
0	1	1000	2000
0	2	1001	2001
0	3	1002	2002
0	4	1003	2003
0	5	1004	2004
1	1	1000	2000
1	2	1001	2001
1	3	1002	2002
1	4	1003	2003
1	5	1004	2004
2	1	1000	2000
2	2	1001	2001
2	3	1002	2002
2	4	1003	2003
2	5	1004	2004
3	1	1000	2000
3	2	1001	2001
3	3	1002	2002
3	4	1003	2003
3	5	1004	2004
4	1	1000	2000
4	2	1001	2001
4	3	1002	2002
4	4	1003	2003
4	5	1004	2004
5	1	1000	2000
5	2	1001	2001
5	3	1002	2002
5	4	1003	2003
5	5	1004	2004
6	1	1000	2000
6	2	1001	2001
6	3	1002	2002
6	4	1003	2003
6	5	1004	2004
7	1	1448	2000
7	2	1440	2000
7	3	1429	2000
7	4	1412	2000
7	5	1385	2000
8	1	1448	2000
8	2	1440	2000
8	3	1429	2000
8	4	1412	2000
8	5	1385	2000
9	1	1448	2000
9	2	1440	2000
9	3	1429	2000
9	4	1412	2000
9	5	1385	2000
10	1	933	2000
10	2	923	2000
10	3	909	2000
10	4	889	2000
10	5	857	2000
11	1	933	2000
11	2	923	2000
11	3	909	2000
11	4	889	2000
11	5	857	2000
12	1	933	2000
12	2	923	2000
12	3	909	2000
12	4	889	2000
12	5	857	2000
