mapId	mapName	smallMapResId	minTransLevel	maxTransLevel	weather	weatherTimes	showExit	npcPK	broadcastAllMax	roleCanPK
地图ID	地图名称	小地图资源ID	传送需求最低等级\n闭区间	传送要求最高等级\n闭区间\n如果最高等级<最低等级则表示此地图不可传送\n\n最高等级，最低等级都为0标识不做限制	天气类型\n0 无\n1 雪	天气效果持续时间(单位s)\n-1 表示永久	是否显示出口\n0 否\n1 是	npc是否可PK\n0 否 \n1 是\n比较影响性能，少配置	同场景超过X人，开始按同屏转发	玩家可否PK
01_KLS_xinshoucun	昆仑山	1000							15	
04_KLS_xiqi	玲珑城	1001							15	
03_KLS_jiuyouzhidi	九幽之地	1002							15	
01_GBT_gebi	巨鹿	1004							15	
02_GBT_xuanyuandong	轩辕洞	1005							15	
01_CYGM_chiyoumu	蚩尤古墓	1006							15	
02_CYGM_nanjiang	南疆	1007							15	
03_CYGM_mengjin	孟津	1008							15	
01_SSG_sanshanguan	三山关	1009							15	
02_SSG_youhongguan	游魂关	1010							15	
03_SSG_miaojiang	南极岛	1011							15	
01_YGZC_yuanguzhanchang	远古战场	1012							15	1
02_YGZC_zangxiangu	葬仙谷	1013							15	1
03_YGZC_damo	大漠	1014							15	1
01_FBSXD1_a	神霄殿一层	1015					1		15	
02_FBSXD1_b	神霄殿二层	1015					1		15	
03_FBSXD1_c	神霄殿三层	1015					1		15	
04_FBSXD1_d	神霄殿四层	1015					1		15	
05_FBSXD1_e	神霄殿五层	1015					1		15	
06_FBSXD1_f	神霄殿六层	1015					1		15	
07_FBSXD1_g	神霄殿七层	1015					1		15	
08_FBSXD1_h	神霄殿八层	1015					1		15	
09_FBSXD1_i	神霄殿九层	1015					1		15	
01_FBQXD2_a	青宵殿一层	1016					1		15	
02_FBQXD2_b	青宵殿二层	1016					1		15	
03_FBQXD2_c	青宵殿三层	1016					1		15	
04_FBQXD2_d	青宵殿四层	1016					1		15	
05_FBQXD2_e	青宵殿五层	1016					1		15	
06_FBQXD2_f	青宵殿六层	1016					1		15	
07_FBQXD2_g	青宵殿七层	1016					1		15	
08_FBQXD2_h	青宵殿八层	1016					1		15	
09_FBQXD2_i	青宵殿九层	1016					1		15	
01_FBBXD3_a	碧霄殿一层	1017					1		15	
02_FBBXD3_b	碧霄殿二层	1017					1		15	
03_FBBXD3_c	碧霄殿三层	1017					1		15	
04_FBBXD3_d	碧霄殿四层	1017					1		15	
05_FBBXD3_e	碧霄殿五层	1017					1		15	
06_FBBXD3_f	碧霄殿六层	1017					1		15	
07_FBBXD3_g	碧霄殿七层	1017					1		15	
08_FBBXD3_h	碧霄殿八层	1017					1		15	
09_FBBXD3_i	碧霄殿九层	1017					1		15	
01_FBDXD4_a	丹宵殿一层	1018					1		15	
02_FBDXD4_b	丹宵殿二层	1018					1		15	
03_FBDXD4_c	丹宵殿三层	1018					1		15	
