mapIndex	mapId	minLevel	maxLevel	camp0	camp1	camp2
地图索引\n必须唯一	地图Id\n必须唯一	等级下限	等级上限	神阵营是否可传送	人阵营是否可传送	妖阵营是否可传送
1	01_KLS_xinshoucun	1	10	1	1	1
2	04_KLS_xiqi	11	15	1	1	1
3	03_KLS_jiuyouzhidi	16	19	1	1	1
4	01_XYS_xuanyuanshan	1	10	1	1	1
5	02_XYS_yuxugong	11	15	1	1	1
6	03_XYS_fangcun	16	19	1	1	1
7	01_HGS_huaguoshan	1	10	1	1	1
8	02_HGS_aolaiguo	11	15	1	1	1
9	03_HGS_wuya	16	19	1	1	1
10	01_CG_zhucheng	20	22	1	1	1
11	01_GBT_gebi	23	25	1	1	1
12	02_GBT_xuanyuandong	26	28	1	1	1
13	01_CYGM_chiyoumu	29	32	1	1	1
14	02_CYGM_nanjiang	33	36	1	1	1
15	03_CYGM_mengjin	37	40	1	1	1
16	01_SSG_sanshanguan	40	43	1	1	1
17	02_SSG_youhongguan	43	45	1	1	1
18	03_SSG_miaojiang	46	50	1	1	1
19	01_YGZC_yuanguzhanchang	51	57	1	1	1
20	02_YGZC_zangxiangu	58	65	1	1	1
21	03_YGZC_damo	66	80	1	1	1
