level	num	name	effectId	iconId	attriType1	attriValue1	attriType2	attriValue2	attriType3	attriValue3	attriType4	attriValue4
镶嵌宝石等级	镶嵌宝石数目	达成目标名	特效id	点亮图标ID	加成属性类型1	加成属性值1	加成属性类型2	加成属性值2	加成属性类型3	加成属性值3	加成属性类型4	加成属性值4
3	20	[\C]ff17ecff[C]全身镶嵌20颗3级宝石		262	8	1000	50	150	51	50		
4	20	[\C]ff17ecff[C]全身镶嵌20颗4级宝石		262	8	1500	50	200	51	100		
4	30	[\C]ff17ecff[C]全身镶嵌30颗4级宝石		262	8	2000	50	250	51	150		
5	20	[\C]ffff20dd[C]全身镶嵌20颗5级宝石		262	8	2500	50	300	51	200		
5	30	[\C]ffff20dd[C]全身镶嵌30颗5级宝石		262	8	3000	50	350	51	250		
6	20	[\C]ffffbf14[C]全身镶嵌20颗6级宝石		262	8	3500	50	400	51	300		
6	30	[\C]ffffbf14[C]全身镶嵌30颗6级宝石		262	8	4000	50	450	51	350		
6	40	[\C]ffffbf14[C]全身镶嵌40颗6级宝石		262	8	4500	50	500	51	400		
6	50	[\C]ffffbf14[C]全身镶嵌50颗6级宝石		262	8	5000	50	550	51	450		
6	60	[\C]ffffbf14[C]全身镶嵌60颗6级宝石		262	8	5500	50	600	51	500		
6	70	[\C]ffffbf14[C]全身镶嵌70颗6级宝石		262	8	6000	50	650	51	550		
6	80	[\C]ffffbf14[C]全身镶嵌80颗6级宝石		262	8	6500	50	700	51	600		
7	5	[\C]ffffbf14[C]全身镶嵌5颗7级宝石		262	8	8000	50	750	51	650	58	200
7	10	[\C]ffffbf14[C]全身镶嵌10颗7级宝石		262	8	10000	50	800	51	700	58	400
7	20	[\C]ffffbf14[C]全身镶嵌20颗7级宝石		262	8	12000	50	850	51	750	58	600
7	30	[\C]ffffbf14[C]全身镶嵌30颗7级宝石		262	8	14000	50	900	51	800	58	800
7	40	[\C]ffffbf14[C]全身镶嵌40颗7级宝石		262	8	16000	50	950	51	850	58	1000
7	50	[\C]ffffbf14[C]全身镶嵌50颗7级宝石		262	8	18000	50	1000	51	900	58	1200
7	60	[\C]ffffbf14[C]全身镶嵌60颗7级宝石		262	8	20000	50	1050	51	950	58	1400
7	70	[\C]ffffbf14[C]全身镶嵌70颗7级宝石		262	8	22000	50	1100	51	1000	58	1600
7	80	[\C]ffffbf14[C]全身镶嵌80颗7级宝石		262	8	24000	50	1200	51	1100	58	1800
