menuType	imageId	effectId	priority	roleLevel	acceptQuestId	completeQuestId	activeId	activeBeforeTimes
菜单类型\n	图片ID	特效ID	优先级\n[0-127]\n数值越小优先级越高,不要重复	开启等级	接任务开启ID	完成任务开启ID	关联活动\n淘宝\n渡劫\n天命轮回\n单人PVP\n三界资源战\n九尾狐逆袭（BOSS DPS）\n阵营攻城战\n开服十天嘉年华\n怪物攻城\n大师赛\n小红帽\n神仙福地\n\n需要填写	活动开启提前提示(分钟)\n\n单人PVP\n\n需要填写
1	242	-1	4	99				
2	134	0	3	99				
3	238	-1	1	99				
5	136	-1	2				2	
9	127	-1	10				4	15
10	129	-1	9				13	15
11	205	-1	8				7	15
13	154	-1	6					
14	125	-1	11				11	15
15	258	-1	5	99				
16	274	-1	7				19	
18	281	-1	12	99			23	15
19	121	-1	13	99			24	540
12	234	-1	14	99			25	59
17	285	-1	15				20	15
20	283	-1	16	99			18	15
4	236	0	17	99				
21	242	-1	18	1				
