srcId	srcNum	targetId	fee	broadcast
材料ID	材料数目	产物ID	合成消耗游戏币	广播
6000101	3	6000102	0	
6000102	3	6000103	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000103	3	6000104	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000104	3	6000105	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000105	3	6000106	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000106	3	6000107	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000107	3	6000108	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000201	3	6000202	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000202	3	6000203	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000203	3	6000204	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000204	3	6000205	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000205	3	6000206	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000206	3	6000207	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000207	3	6000208	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000301	3	6000302	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000302	3	6000303	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000303	3	6000304	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000304	3	6000305	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000305	3	6000306	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000306	3	6000307	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000307	3	6000308	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000401	3	6000402	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000402	3	6000403	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000403	3	6000404	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000404	3	6000405	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000405	3	6000406	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000406	3	6000407	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000407	3	6000408	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000501	3	6000502	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000502	3	6000503	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000503	3	6000504	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000504	3	6000505	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000505	3	6000506	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000506	3	6000507	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000507	3	6000508	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000601	3	6000602	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000602	3	6000603	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000603	3	6000604	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000604	3	6000605	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000605	3	6000606	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000606	3	6000607	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000607	3	6000608	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000701	3	6000702	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000702	3	6000703	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
