level	maxHp	maxMp	atk	rit	criAtk	criRit	dodge	hit
坐骑等级（即人物等级）	生命	法力	攻击	防御	暴击	抗暴	闪避	命中
1	77	77	9	4	40	0	40	0
2	81	81	9	4	40	0	40	0
3	86	86	10	4	40	0	40	0
4	90	90	10	4	40	0	40	0
5	95	95	11	4	40	0	40	0
6	100	100	11	5	40	0	40	0
7	104	104	12	5	40	0	40	0
8	109	109	12	5	40	0	40	0
9	113	113	13	5	40	0	40	0
10	118	118	13	5	40	0	40	0
11	124	124	14	6	40	0	40	0
12	130	130	15	6	40	0	40	0
13	136	136	15	6	40	0	40	0
14	142	142	16	6	40	0	40	0
15	148	148	17	7	40	0	40	0
16	154	154	17	7	40	0	40	0
17	160	160	18	7	40	0	40	0
18	167	167	19	7	40	0	40	0
19	173	173	19	8	40	0	40	0
20	179	179	20	8	40	0	40	0
21	186	186	21	8	40	0	40	0
22	194	194	22	9	40	0	40	0
23	202	202	22	9	40	0	40	0
24	209	209	23	9	40	0	40	0
25	217	217	24	10	40	0	40	0
26	224	224	25	10	40	0	40	0
27	232	232	26	10	40	0	40	0
28	240	240	27	11	40	0	40	0
29	247	247	28	11	40	0	40	0
30	255	255	28	11	40	0	40	0
31	264	264	29	12	40	0	40	0
32	273	273	30	12	40	0	40	0
33	282	282	31	13	40	0	40	0
34	291	291	32	13	40	0	40	0
35	301	301	33	13	40	0	40	0
36	310	310	34	14	40	0	40	0
37	319	319	36	14	40	0	40	0
38	328	328	37	15	40	0	40	0
39	337	337	38	15	40	0	40	0
40	346	346	39	15	40	0	40	0
41	357	357	40	16	40	0	40	0
42	368	368	41	16	40	0	40	0
43	378	378	42	17	40	0	40	0
44	389	389	43	17	40	0	40	0
45	400	400	44	18	40	0	40	0
46	410	410	46	18	40	0	40	0
47	421	421	47	19	40	0	40	0
48	432	432	48	19	40	0	40	0
49	442	442	49	20	40	0	40	0
50	453	453	50	20	40	0	40	0
51	465	465	52	21	40	0	40	0
52	477	477	53	21	40	0	40	0
53	489	489	54	22	40	0	40	0
54	502	502	56	22	40	0	40	0
55	514	514	57	23	40	0	40	0
56	526	526	59	23	40	0	40	0
57	538	538	60	24	40	0	40	0
58	550	550	61	25	40	0	40	0
59	563	563	63	25	40	0	40	0
60	575	575	64	26	40	0	40	0
61	588	588	65	26	40	0	40	0
62	602	602	67	27	40	0	40	0
63	616	616	69	27	40	0	40	0
64	630	630	70	28	40	0	40	0
65	643	643	72	29	40	0	40	0
66	657	657	73	29	40	0	40	0
67	671	671	75	30	40	0	40	0
68	684	684	76	31	40	0	40	0
69	698	698	78	31	40	0	40	0
70	712	712	79	32	40	0	40	0
71	727	727	81	32	40	0	40	0
72	742	742	83	33	40	0	40	0
73	757	757	84	34	40	0	40	0
74	773	773	86	34	40	0	40	0
75	788	788	88	35	40	0	40	0
76	803	803	89	36	40	0	40	0
77	818	818	91	36	40	0	40	0
78	834	834	93	37	40	0	40	0
79	849	849	94	38	40	0	40	0
80	864	864	96	38	40	0	40	0
