mountLevel	name	name2	name3	resId	resId2	resId3	speed	rate	maxHp	maxMp	atk	rit	criAtk	criRit	dodge	hit	succMsg	wish	maxWish	goodsId	goodsNum	gameMoney	trainTotalLevel	normal	cri1	criRate1	cri2	criRate2	cri3	criRate3	broadcast
当前等级\n[1-81]	坐骑名	坐骑名2	坐骑名3	坐骑资源id1	坐骑资源id2	坐骑资源id3	额外速度\n10000(100%)	属性比例默认10000（100%）	生命	法力	攻击	防御	暴击	抗暴	闪避	命中	升级到当前提示	单次进阶培养进度值	当前阶进化到下一阶验上限(到达此值可升级下一级)	当前阶进化到下一阶消耗的物品	当前阶进化到下一阶每次点击消耗的物品数量	当前阶进化到下一阶消耗的物品游戏币	当前阶进化到下一阶需要的培养总级数	不暴击率	暴击倍数1	暴击几率1	暴击倍数2	暴击几率2	暴击倍数3	暴击几率3	广播消息
1	地狱谛听			60029			4000	10000	0	0	0	0	0	0	0	0		10	10	70061	1	200	20	6800	2	2000	4	1000	10	200	
2	一星地狱谛听			60029			4000	10000	20	20	3	1	1	2	1	2	进阶到一星地狱谛听	10	20	70061	1	200	20	6800	2	2000	4	1000	10	200	
3	二星地狱谛听			60029			4000	10000	40	40	5	2	2	4	2	4	进阶到二星地狱谛听	10	30	70061	1	200	20	6800	2	2000	4	1000	10	200	
4	三星地狱谛听			60029			4000	10000	60	60	7	3	3	6	3	6	进阶到三星地狱谛听	10	50	70061	1	200	20	6800	2	2000	4	1000	10	200	
5	四星地狱谛听			60029			4000	10000	80	80	9	4	4	8	4	8	进阶到四星地狱谛听	10	70	70061	1	200	20	6800	2	2000	4	1000	10	200	
6	五星地狱谛听			60029			4000	10000	100	100	12	5	5	10	5	10	进阶到五星地狱谛听	10	90	70061	1	200	20	6800	2	2000	4	1000	10	200	
7	六星地狱谛听			60029			4000	10000	120	120	14	6	6	12	6	12	进阶到六星地狱谛听	10	110	70061	1	200	20	6800	2	2000	4	1000	10	200	
8	七星地狱谛听			60029			4000	10000	140	140	16	7	7	14	7	14	进阶到七星地狱谛听	10	130	70061	1	200	20	6800	2	2000	4	1000	10	200	
9	八星地狱谛听			60029			4000	10000	160	160	18	8	8	16	8	16	进阶到八星地狱谛听	10	150	70061	1	200	20	6800	2	2000	4	1000	10	200	
10	九星地狱谛听			60029			4000	10000	180	180	20	9	9	18	9	18	进阶到九星地狱谛听	10	170	70061	1	200	20	6800	2	2000	4	1000	10	200	
11	十星地狱谛听			60029			4000	10000	200	200	23	10	10	20	10	20	进阶到十星地狱谛听						20								
12	万象虎			60031			4500	11000	200	200	23	10	10	20	10	20	进阶到【二转万象虎】\n解封技能【雷动九天】\n坐骑移动速度额外提升45%\n坐骑属性加成到主角的百分比提升至110%	10	100	70061	1	400	100	6800	2	2000	4	1000	10	200	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]一马当先将坐骑转生成[\C]ffc7e462[C][二阶万象虎][\C]ffffffff[C]！
13	一星万象虎			60031			4500	11000	226	200	26	11	11	22	11	22	进阶到一星万象虎	10	130	70061	1	400	100	6800	2	2000	4	1000	10	200	
14	二星万象虎			60031			4500	11000	253	253	29	12	12	24	12	24	进阶到二星万象虎	10	160	70061	1	400	100	6800	2	2000	4	1000	10	200	
15	三星万象虎			60031			4500	11000	280	280	32	13	13	26	13	26	进阶到三星万象虎	10	190	70061	1	400	100	6800	2	2000	4	1000	10	200	
16	四星万象虎			60031			4500	11000	306	306	34	14	14	28	14	28	进阶到四星万象虎	10	220	70061	1	400	100	6800	2	2000	4	1000	10	200	
17	五星万象虎			60031			4500	11000	333	333	37	15	15	30	15	30	进阶到五星万象虎	10	250	70061	1	400	100	6800	2	2000	4	1000	10	200	
18	六星万象虎			60031			4500	11000	359	359	40	16	16	32	16	32	进阶到六星万象虎	10	280	70061	1	400	100	6800	2	2000	4	1000	10	200	
19	七星万象虎			60031			4500	11000	386	386	43	18	17	34	17	34	进阶到七星万象虎	10	310	70061	1	400	100	6800	2	2000	4	1000	10	200	
20	八星万象虎			60031			4500	11000	413	413	46	19	18	36	18	36	进阶到八星万象虎	10	340	70061	1	400	100	6800	2	2000	4	1000	10	200	
21	九星万象虎			60031			4500	11000	439	439	49	20	19	38	19	38	进阶到九星万象虎	10	370	70061	1	400	100	6800	2	2000	4	1000	10	200	
22	十星万象虎			60031			4500	11000	466	466	52	21	20	40	20	40	进阶到十星万象虎						100								
23	紫金兽			60001			5000	12000	466	466	52	21	20	40	20	40	进阶到【三转紫金兽】\n解封技能【防御增幅】\n坐骑移动速度额外提升50%\n坐骑属性加成到主角的百分比提升至120%	10	200	70061	1	600	180	6800	2	2000	4	1000	10	200	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]一马当先将坐骑转生成[\C]ffc7e462[C][三阶紫金兽][\C]ffffffff[C]！
24	一星紫金兽			60001			5000	12000	499	499	56	23	21	42	21	42	进阶到一星紫金兽	10	240	70061	1	600	180	6970	2	1900	4	950	10	180	
25	二星紫金兽			60001			5000	12000	532	466	60	24	22	44	22	44	进阶到二星紫金兽	10	280	70061	1	600	180	6970	2	1900	4	950	10	180	
26	三星紫金兽			60001			5000	12000	565	565	63	26	23	46	23	46	进阶到三星紫金兽	10	320	70061	1	600	180	6970	2	1900	4	950	10	180	
27	四星紫金兽			60001			5000	12000	599	599	67	27	24	48	24	48	进阶到四星紫金兽	10	360	70061	1	600	180	6970	2	1900	4	950	10	180	
28	五星紫金兽			60001			5000	12000	632	632	71	29	25	50	25	50	进阶到五星紫金兽	10	400	70061	1	600	180	6970	2	1900	4	950	10	180	
29	六星紫金兽			60001			5000	12000	665	665	74	30	26	52	26	52	进阶到六星紫金兽	10	440	70061	1	600	180	6970	2	1900	4	950	10	180	
30	七星紫金兽			60001			5000	12000	698	698	78	32	27	54	27	54	进阶到七星紫金兽	10	480	70061	1	600	180	6970	2	1900	4	950	10	180	
31	八星紫金兽			60001			5000	12000	732	732	82	33	28	56	28	56	进阶到八星紫金兽	10	520	70061	1	600	180	6970	2	1900	4	950	10	180	
32	九星紫金兽			60001			5000	12000	765	765	85	34	29	58	29	58	进阶到九星紫金兽	10	560	70061	1	600	180	6970	2	1900	4	950	10	180	
33	十星紫金兽			60001			5000	12000	798	798	89	36	30	60	30	60	进阶到十星紫金兽						180								
34	应龙			60005			5500	13000	798	798	89	36	30	60	30	60	进阶到【四转应龙】\n解封技能【火焰护盾】\n坐骑移动速度额外提升55%\n坐骑属性加成到主角的百分比提升至130%	10	100	70062	1	1000	240	6970	2	1900	4	950	10	180	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]一马当先将坐骑转生成[\C]ffc7e462[C][四阶应龙][\C]ffffffff[C]！
35	一星应龙			60005			5500	13000	838	838	94	38	31	62	31	62	进阶到一星应龙	10	150	70062	1	1000	240	7140	2	1800	4	900	10	160	
36	二星应龙			60005			5500	13000	878	878	98	39	32	64	32	64	进阶到二星应龙	10	200	70062	1	1000	240	7140	2	1800	4	900	10	160	
37	三星应龙			60005			5500	13000	918	798	102	41	33	66	33	66	进阶到三星应龙	10	250	70062	1	1000	240	7140	2	1800	4	900	10	160	
38	四星应龙			60005			5500	13000	958	958	107	43	34	68	34	68	进阶到四星应龙	10	300	70062	1	1000	240	7140	2	1800	4	900	10	160	
39	五星应龙			60005			5500	13000	997	997	111	45	35	70	35	70	进阶到五星应龙	10	350	70062	1	1000	240	7140	2	1800	4	900	10	160	
40	六星应龙			60005			5500	13000	1037	1037	116	47	36	72	36	72	进阶到六星应龙	10	400	70062	1	1000	240	7140	2	1800	4	900	10	160	
41	七星应龙			60005			5500	13000	1077	1077	120	48	37	74	37	74	进阶到七星应龙	10	450	70062	1	1000	240	7140	2	1800	4	900	10	160	
42	八星应龙			60005			5500	13000	1117	1117	125	50	38	76	38	76	进阶到八星应龙	10	500	70062	1	1000	240	7140	2	1800	4	900	10	160	
43	九星应龙			60005			5500	13000	1157	1157	129	52	39	78	39	78	进阶到九星应龙	10	550	70062	1	1000	240	7140	2	1800	4	900	10	160	
44	十星应龙			60005			5500	13000	1197	1197	133	54	40	80	40	80	进阶到十星应龙						240								
45	兔灵			60009			6000	14000	1197	1197	133	54	40	80	40	80	进阶到【五转兔灵】\n解封技能【攻击增幅】\n坐骑移动速度额外提升60%\n坐骑属性加成到主角的百分比提升至140%	10	400	70062	1	1500	300	7140	2	1800	4	900	10	160	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]一马当先将坐骑转生成[\C]ffc7e462[C][五阶兔灵][\C]ffffffff[C]！
46	一星兔灵			60009			6000	14000	1243	1243	139	56	41	82	41	82	进阶到一星兔灵	10	450	70062	1	1500	300	7310	2	1700	4	850	10	140	
47	二星兔灵			60009			6000	14000	1290	1290	144	58	42	84	42	84	进阶到二星兔灵	10	500	70062	1	1500	300	7310	2	1700	4	850	10	140	
48	三星兔灵			60009			6000	14000	1336	1336	149	60	43	86	43	86	进阶到三星兔灵	10	550	70062	1	1500	300	7310	2	1700	4	850	10	140	
49	四星兔灵			60009			6000	14000	1383	1197	154	62	44	88	44	88	进阶到四星兔灵	10	600	70062	1	1500	300	7310	2	1700	4	850	10	140	
50	五星兔灵			60009			6000	14000	1429	1429	159	64	45	90	45	90	进阶到五星兔灵	10	650	70062	1	1500	300	7310	2	1700	4	850	10	140	
51	六星兔灵			60009			6000	14000	1476	1476	164	66	46	92	46	92	进阶到六星兔灵	10	700	70062	1	1500	300	7310	2	1700	4	850	10	140	
52	七星兔灵			60009			6000	14000	1522	1522	170	68	47	94	47	94	进阶到七星兔灵	10	750	70062	1	1500	300	7310	2	1700	4	850	10	140	
53	八星兔灵			60009			6000	14000	1569	1569	175	70	48	96	48	96	进阶到八星兔灵	10	800	70062	1	1500	300	7310	2	1700	4	850	10	140	
54	九星兔灵			60009			6000	14000	1616	1616	180	72	49	98	49	98	进阶到九星兔灵	10	850	70062	1	1500	300	7310	2	1700	4	850	10	140	
55	十星兔灵			60009			6000	14000	1662	1662	185	74	50	100	50	100	进阶到十星兔灵						300								
56	猫仙			60011			6500	15000	1662	1662	185	74	50	100	50	100	进阶到【六转猫仙】\n解封技能【回春术】\n坐骑移动速度额外提升65%\n坐骑属性加成到主角的百分比提升至150%	10	100	70063	1	2000	360	7310	2	1700	4	850	10	140	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]一马当先将坐骑转生成[\C]ffc7e462[C][六阶猫仙][\C]ffffffff[C]！
57	一星猫仙			60011			6500	15000	1715	1715	191	77	51	102	51	102	进阶到一星猫仙	10	150	70063	1	2000	360	7480	2	1600	4	800	10	120	
58	二星猫仙			60011			6500	15000	1768	1768	197	79	52	104	52	104	进阶到二星猫仙	10	200	70063	1	2000	360	7480	2	1600	4	800	10	120	
59	三星猫仙			60011			6500	15000	1822	1822	203	81	53	106	53	106	进阶到三星猫仙	10	250	70063	1	2000	360	7480	2	1600	4	800	10	120	
60	四星猫仙			60011			6500	15000	1875	1875	209	84	54	108	54	108	进阶到四星猫仙	10	300	70063	1	2000	360	7480	2	1600	4	800	10	120	
61	五星猫仙			60011			6500	15000	1928	1662	215	86	55	110	55	110	进阶到五星猫仙	10	350	70063	1	2000	360	7480	2	1600	4	800	10	120	
62	六星猫仙			60011			6500	15000	1981	1981	221	89	56	112	56	112	进阶到六星猫仙	10	400	70063	1	2000	360	7480	2	1600	4	800	10	120	
63	七星猫仙			60011			6500	15000	2034	2034	226	91	57	114	57	114	进阶到七星猫仙	10	450	70063	1	2000	360	7480	2	1600	4	800	10	120	
64	八星猫仙			60011			6500	15000	2087	2087	232	93	58	116	58	116	进阶到八星猫仙	10	500	70063	1	2000	360	7480	2	1600	4	800	10	120	
65	九星猫仙			60011			6500	15000	2141	2141	238	96	59	118	59	118	进阶到九星猫仙	10	550	70063	1	2000	360	7480	2	1600	4	800	10	120	
66	十星猫仙			60011			6500	15000	2194	2194	244	98	60	120	60	120	进阶到十星猫仙						360								
67	鬼车			60013			7000	16000	2194	2194	244	98	60	120	60	120	进阶到【七转鬼车】\n解封技能【暴击增幅】\n坐骑移动速度额外提升70%\n坐骑属性加成到主角的百分比提升至160%	10	500	70063	1	4000	420	7480	2	1600	4	800	10	120	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]一马当先将坐骑转生成[\C]ffc7e462[C][七阶鬼车][\C]ffffffff[C]！
68	一星鬼车			60013			7000	16000	2254	2254	251	101	61	122	61	122	进阶到一星鬼车	10	700	70063	1	4000	420	7749	2	1500	4	750	10	1	
69	二星鬼车			60013			7000	16000	2313	2313	257	103	62	124	62	124	进阶到二星鬼车	10	900	70063	1	4000	420	7749	2	1500	4	750	10	1	
70	三星鬼车			60013			7000	16000	2373	2373	264	106	63	126	63	126	进阶到三星鬼车	10	1100	70063	1	4000	420	7749	2	1500	4	750	10	1	
71	四星鬼车			60013			7000	16000	2433	2433	271	109	64	128	64	128	进阶到四星鬼车	10	1300	70063	1	4000	420	7749	2	1500	4	750	10	1	
72	五星鬼车			60013			7000	16000	2493	2493	277	111	65	130	65	130	进阶到五星鬼车	10	1500	70063	1	4000	420	7749	2	1500	4	750	10	1	
73	六星鬼车			60013			7000	16000	2553	2194	284	114	66	132	66	132	进阶到六星鬼车	10	1700	70063	1	4000	420	7749	2	1500	4	750	10	1	
74	七星鬼车			60013			7000	16000	2612	2612	291	117	67	134	67	134	进阶到七星鬼车	10	1900	70063	1	4000	420	7749	2	1500	4	750	10	1	
75	八星鬼车			60013			7000	16000	2672	2672	297	119	68	136	68	136	进阶到八星鬼车	10	2100	70063	1	4000	420	7749	2	1500	4	750	10	1	
76	九星鬼车			60013			7000	16000	2732	2732	304	122	69	138	69	138	进阶到九星鬼车	10	2300	70063	1	4000	420	7749	2	1500	4	750	10	1	
77	十星鬼车			60013			7000	16000	2792	2792	311	125	70	140	70	140	进阶到十星鬼车						420								
78	鬼金羊			60023			7500	17000	2792	2792	311	125	70	140	70	140	进阶到【八转鬼金羊】\n解封技能【万魔朝宗】\n坐骑移动速度额外提升75%\n坐骑属性加成到主角的百分比提升至170%	10	5	70068	1	10000	500	10000	2	0	4	0	10	0	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]一马当先将坐骑转生成[\C]ffc7e462[C][八阶鬼金羊][\C]ffffffff[C]！
79	一星鬼金羊			60023			7500	17000	2858	2858	318	128	71	142	71	142	进阶到一星鬼金羊	10	10	70068	1	10000	500	10000	2	0	4	0	10	0	
80	二星鬼金羊			60023			7500	17000	2925	2925	325	130	72	144	72	144	进阶到二星鬼金羊	10	15	70068	1	10000	500	10000	2	0	4	0	10	0	
81	三星鬼金羊			60023			7500	17000	2991	2991	333	133	73	146	73	146	进阶到三星鬼金羊	10	20	70068	1	10000	500	10000	2	0	4	0	10	0	
82	四星鬼金羊			60023			7500	17000	3058	3058	340	136	74	148	74	148	进阶到四星鬼金羊	10	25	70068	1	10000	500	10000	2	0	4	0	10	0	
