level	exp	maxHp	maxMp	atk	rit	criAtk	criRit	dodge	hit
属性球等级	升级所需经验值	生命	法力	攻击	防御	暴击	抗暴	闪避	命中
0	10	0	0	0	0	0	0	0	0
1	15	54	54	6	2	1	2	1	2
2	18	111	111	12	5	2	5	2	5
3	23	170	170	19	8	3	8	3	8
4	24	232	232	26	11	4	11	4	11
5	25	296	296	33	14	5	14	5	14
6	26	363	363	40	17	7	17	7	17
7	30	432	432	48	20	9	20	9	20
8	31	504	504	56	23	11	23	11	23
9	33	579	579	64	26	13	26	13	26
10	34	656	656	73	29	15	30	15	30
11	36	737	737	82	33	17	34	17	34
12	38	822	822	91	37	19	38	19	38
13	40	911	911	101	41	21	42	21	42
14	42	1003	1003	111	45	23	46	23	46
15	44	1099	1099	122	49	25	50	25	50
16	48	1199	1199	133	53	27	55	27	55
17	50	1303	1303	145	58	29	60	29	60
18	52	1411	1411	157	63	31	65	31	65
19	55	1523	1523	169	68	34	70	34	70
20	57	1639	1639	182	73	37	75	37	75
21	60	1760	1760	195	78	40	81	40	81
22	63	1886	1886	209	84	43	87	43	87
23	66	2017	2017	224	90	46	93	46	93
24	69	2153	2153	239	96	49	99	49	99
25	72	2294	2294	255	102	52	106	52	106
26	73	2440	2440	271	109	55	113	55	113
27	76	2592	2592	288	116	59	120	59	120
28	80	2749	2749	305	123	63	127	63	127
29	84	2911	2911	323	130	67	134	67	134
30	87	3078	3078	342	137	71	142	71	142
31	91	3251	3251	361	145	75	150	75	150
32	114	3431	3431	381	153	79	158	79	158
33	120	3617	3617	402	161	83	167	83	167
34	126	3810	3810	423	170	87	176	87	176
35	131	4009	4009	445	179	92	185	92	185
36	152	4215	4215	468	188	97	195	97	195
37	160	4427	4427	492	197	102	205	102	205
38	168	4645	4645	516	207	107	215	107	215
39	175	4870	4870	541	217	112	225	112	225
40	243	5101	5101	567	227	117	236	117	236
41	255	5340	5340	594	238	123	247	123	247
42	267	5587	5587	621	249	129	258	129	258
43	279	5841	5841	649	260	135	270	135	270
44	291	6103	6103	678	272	141	282	141	282
45	300	6373	6373	708	284	147	294	147	294
46	300	6650	6650	739	296	153	307	153	307
47	300	6935	6935	771	309	160	320	160	320
48	300	7228	7228	804	322	167	334	167	334
49	300	7529	7529	837	335	174	348	174	348
50	300	7837	7837	871	349	181	362	181	362
51	300	8154	8154	906	363	188	377	188	377
52	300	8480	8480	942	377	196	392	196	392
53	300	8815	8815	979	392	204	408	204	408
54	300	9159	9159	1017	407	212	424	212	424
55	300	9512	9512	1056	423	220	440	220	440
56	300	9874	9874	1096	439	228	457	228	457
57	300	10245	10245	1137	455	237	474	237	474
58	300	10625	10625	1179	472	246	492	246	492
59	300	11014	11014	1222	489	255	510	255	510
60	300	11412	11412	1266	507	264	528	264	528
61	300	11820	11820	1311	525	273	547	273	547
62	300	12239	12239	1358	544	283	566	283	566
63	300	12668	12668	1406	563	293	586	293	586
64	300	13107	13107	1455	583	303	606	303	606
65	300	13557	13557	1505	603	313	627	313	627
66	300	14017	14017	1556	623	324	648	324	648
67	300	14487	14487	1608	644	335	670	335	670
68	300	14967	14967	1661	665	346	692	346	692
69	300	15458	15458	1716	687	357	715	357	715
70	300	15959	15959	1772	709	369	738	369	738
71	300	16472	16472	1829	732	381	762	381	762
72	300	16996	16996	1887	755	393	786	393	786
73	300	17532	17532	1947	779	405	811	405	811
74	300	18079	18079	2008	803	418	836	418	836
75	300	18638	18638	2070	828	431	862	431	862
76	300	19208	19208	2133	853	444	888	444	888
77	300	19790	19790	2198	879	457	915	457	915
78	300	20383	20383	2264	905	471	942	471	942
79	300	20988	20988	2331	932	485	970	485	970
80	300	21605	21605	2400	959	499	999	499	999
