id	initiative	alertArea	chase	chaseArea	shoutWorth	shoutRate	shoutArea	fleeWorth	fleeRate	hatredMonsterID1	hatredMonsterID2	hatredMonsterID3	hatredMonsterID4	actionId	actionLinks	normalSkill	normalskilllevel	deathShout	hpRate1	skill1	level1	shout1	hpRate2	skill2	level2	shout2	hpRate3	skill3	level3	shout3	hpRate4	skill4	level4	shout4	hpRate5	skill5	level5	shout5	deathRefreshGroup	birthShout	deathSkillId
怪物编号	是否主动	警戒距离	是否追击	追击距离	被攻击呼救（绝对值）	被攻击呼救（百分比）	呼救半径	逃跑血量	逃跑百分比	仇恨链接怪物1	仇恨链接怪物2	仇恨链接怪物3	仇恨链接怪物4	行为模式	行为链列表（可以用","隔开）	常规技能	常规技能等级	死亡喊话	生命小于百分比1	使用技能ID1	技能等级1	使用技能喊话	生命小于百分比2	使用技能ID2	技能等级2	使用技能喊话	生命小于百分比3	使用技能ID3	技能等级3	使用技能喊话	生命小于百分比4	使用技能ID4	技能等级4	使用技能喊话	生命小于百分比5	使用技能ID5	技能等级5	使用技能喊话	死亡刷新组	出生喊话	死亡释放技能ID
01xg001	0	350	1	350										1		20001	1																								
01xg002	0	350	1	350										1		20001	1																								
01xg003	0	350	1	350										1		20001	1	啊~啊~																							
01xg004	0	350	1	350										1		20001	1																								
01xg005	0	350	1	350										1		20001	1																								
01xg006	0	350	1	350										1		20001	1	我要回喵星去了……																							
01xg007	0	350	1	350										1		20001	1																								
01xg008	0	350	1	350										1		20001	1																								
01xg009	0	350	1	350										1		20001	1																								
01xg010	0	350	1	350										1		20001	1																								
01xg011	0	350	1	350										1		20001	1																								
01xg012	0	350	1	350										1		20001	1																								
01xg013	0	350	1	350										1		20001	1																								
01xg014	0	350	1	350										1		20001	1																								
01xg015	0	350	1	350										1		20001	1																								
01xg016	0	350	1	350										1		20001	1																								
01xg017	0	350	1	350										1		20001	1	浪里格儿朗，晃啊晃																							
01xg018	0	350	1	350										1		20001	1																								
01xg019	0	350	1	350										1		20001	1																								
01xg020	0	350	1	350										1		20001	1																								
01xg021	0	350	1	350										1		20001	1																								
01xg022	0	350	1	350										1		20001	1																								
01xg023	0	350	1	350										1		20001	1																								
01xg024	0	350	1	350										1		20001	1	你敢欺负我？我妈是妲己！																							
01xg025	0	350	1	350										1		20001	1																								
01xg026	0	350	1	350										1		20001	1																								
01xg027	0	350	1	350										1		20001	1																								
01xg028	0	350	1	350										1		20001	1																								
01xg029	0	350	1	350										1		20001	1																								
01xg030	0	350	1	350										1		20001	1																								
