linkId	id	interval	condType	compareType	condValue	failureId	execType	execData1	execData2	execData3	successId
技能链id	技能链内序号	时间间隔(单位秒)	条件类型	条件比较	条件数据	不满足条件跳转序号	执行类型	执行数据	执行数据	执行数据	执行后跳转序号
1000	0	2	1	2	80		2	6	Đến đây !!		1
1000	1	2	1	2	80		3	1000			-1
											
1001	0	2	1	2	40		2	6	Phối hợp cùng ta! Thánh chiến!!!		1
1001	1	2	1	2	40		3	1000			-1
											
1002	0	30	1	2	40		2	6	Vệ Binh!!!Vệ Binh!!!		1
1002	1	30	1	2	40		3	1001			0
											
1003	0	30	1	2	50		2	6	Ý chỉ của vua!! Để ngươi làm trọng tài!!!		1
1003	1	30	1	2	50		3	1002			0
											
1004	0	30	1	2	50		2	6	Ánh sáng thần thánh sẽ bao phủ khắp nơi!!!		1
1004	1	30	1	2	50		3	1003			0
											
1005	0	30	1	2	50		2	6	Thần Binh!!! Hãy cho ta sức mạnh!!!		1
1005	1	30	1	2	50		3	1004			0
											
1006	0	30	1	2	50		2	6	Thiên Tướng!! Hãy giúp ta!!		1
1006	1	30	1	2	50		3	1005			0
											
1007	0	2	1	2	60		2	6	Tứ đại thiên vương đâu!!!		1
1007	1	2	1	2	60		3	1006			-1
1008	0	2	1	2	30		2	6	Tứ đại thiên vương đâu!!!		1
1008	1	2	1	2	30		3	1007			-1
											
1009	0	1					1	20001			0
											
1010	0	15	1	2	100		3	1800			
											
1011	0	3					4	204			1
1011	1	1					1	20001			1
											
1012	0	3					4	211			1
1012	1	1					1	20001			1
											
1013	0	3					4	210			1
1013	1	1					1	20001			1
											
											
1015	0	3					4	207			1
1015	1	120000					1	5008			-1
											
1016	0	3					4	203			1
1016	1	120000					1	5008			-1
											
											
1018	0	3					4	201			1
1018	1	1					1	20001			1
											
1019	0	3					4	205			1
1019	1	1					1	20001			1
											
1020	0	3					4	209			1
1020	1	1					1	20001			1
											
1021	0	13					2	6	Gọi: Bất Chu Tử Tinh, diệt hắn trước!		1
1021	1	1					1	5017			2
1021	2	1					3	1008			0
											
1022	0	17					2	6	Bất Chu Tử Tinh: chúc phúc Bất Chu Tử, công lực quái tăng 20%		1
1022	1	3					1	5016			0
											
1023	0	1					1	20003			0
											
1024	0	10					2	6	5 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		1
1024	1	1					2	6	4 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		2
1024	2	1					2	6	3 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		3
1024	3	1					2	6	2 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		4
1024	4	1					2	6	1 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		5
1024	5	1					1	5027			0
											
1025	0	4					2	6	Chấn Vi Lôi(Dương): giảm Công 15% mục tiêu xung quanh		1
1025	1	1					1	5023			2
1025	2	10					2	6			0
											
1026	0	14					2	6	Chấn Vi Lôi(Âm): giảm Thủ 15% mục tiêu xung quanh		1
1026	1	1					1	5024			0
											
1027	0	15					2	6	Tốn Vi Phong(Giáp): quái trong phạm vi 10m sẽ hồi phục 25% HP. Mau đánh tan quái!		1
1027	1	5					1	5025			0
											
1028	0	1	1	2	75		2	6	Gọi: Cấn Vi Sơn Tinh, hãy tăng chiến lực cho ta!		1
1028	1	1					1	5017			2
1028	2	1					3	1009			-1
											
1029	0	1	1	2	50		2	6	Gọi: Cấn Vi Sơn Quái, hãy khôi phục HP cho ta!		1
1029	1	1					1	5017			2
1029	2	1					3	1010			-1
											
1030	0	1	1	2	25		2	6	Gọi: Bất Chu Sơn Tử, ta cần ngươi giúp!		1
1030	1	1					1	5017			2
1030	2	1					3	1011			-1
											
1031	0	15					2	6	5 giây nữa tăng HP, quái phạm vi 10m sẽ hồi 25% HP. Mau đuổi Cấn Vi Sơn Quái ra!		1
1031	1	1					2	6	4 giây nữa tăng HP, quái phạm vi 10m sẽ hồi 25% HP. Mau đuổi Cấn Vi Sơn Quái ra!		2
1031	2	1					2	6	3 giây nữa tăng HP, quái phạm vi 10m sẽ hồi 25% HP. Mau đuổi Cấn Vi Sơn Quái ra!		3
1031	3	1					2	6	2 giây nữa tăng HP, quái phạm vi 10m sẽ hồi 25% HP. Mau đuổi Cấn Vi Sơn Quái ra!		4
1031	4	1					2	6	1 giây nữa tăng HP, quái phạm vi 10m sẽ hồi 25% HP. Mau đuổi Cấn Vi Sơn Quái ra!		5
1031	5	1					1	5025			0
											
1032	0	17					2	6	Cấn Vi Sơn Tinh: chúc phúc Càn Vi Thiên, công lực quái tăng 20%		1
1032	1	3					1	5016			0
											
1033	0	15					2	6	Tốn Vi Phong(Ất): Quái phạm vi 10m hồi phục 25% HP. Mau phân tán quái!		1
1033	1	5					1	5025			0
											
1034	0	15					2	6	Tốn Vi Phong(Bính): Quái phạm vi 10m hồi phục 25% HP. Mau phân tán quái!		1
1034	1	5					1	5025			0
											
1035	0	15					2	6	Tốn Vi Phong(Đinh): Quái phạm vi 10m hồi phục 25% HP. Mau phân tán quái!		1
1035	1	5					1	5025			0
											
1036	0	10	1	2	80		2	6	5 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		1
1036	1	1					2	6	4 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		2
1036	2	1					2	6	3 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		3
