ruleId	bornNpcid	bornNpccount	bornNpcDir	bornmapgxbegin	bornmapgxend	bornmapgybegin	bornmapgyend
规则ID	NPC模板ID	NPC数量	方位	坐标X最小值	坐标X最大值	坐标Y最小值	坐标Y最大值
1001	01cs002	1		490	1138	495	825
1002	01cs003	1		490	1138	495	825
1003	01cs004	1		490	1138	495	825
1004	01cs005	1		490	1138	495	825
1005	01cs006	1		490	1138	495	825
1006	01cs007	1		490	1138	495	825
1007	01cs008	1		490	1138	495	825
1008	01cs009	1		490	1138	495	825
1009	01cs010	1		490	1138	495	825
1010	01cs011	1		490	1138	495	825
1011	01cs012	1		490	1138	495	825
1012	01cs013	1		490	1138	495	825
1013	01cs014	1		490	1138	495	825
1014	01cs015	1		490	1138	495	825
1015	01cs016	1		490	1138	495	825
1016	01cs017	1		490	1138	495	825
1017	01cs018	1		490	1138	495	825
1018	01cs019	1		490	1138	495	825
1019	01cs020	1		490	1138	495	825
1020	01cs021	1		490	1138	495	825
1021	01cs022	1		490	1138	495	825
1022	01cs023	1		490	1138	495	825
1023	01cs024	1		490	1138	495	825
1024	01cs025	1		490	1138	495	825
1025	01cs026	1		490	1138	495	825
1026	01cs027	1		490	1138	495	825
1027	01cs028	1		490	1138	495	825
1028	01cs029	1		490	1138	495	825
1029	01cs030	1		490	1138	495	825
							
							
1001	01cs031	1		613	613	549	549
1002	01cs031	1		613	613	549	549
1003	01cs031	1		613	613	549	549
1004	01cs031	1		613	613	549	549
1005	01cs031	1		613	613	549	549
1006	01cs031	1		613	613	549	549
1007	01cs031	1		613	613	549	549
1008	01cs031	1		613	613	549	549
1009	01cs031	1		613	613	549	549
1010	01cs031	1		613	613	549	549
1011	01cs031	1		613	613	549	549
1012	01cs031	1		613	613	549	549
1013	01cs031	1		613	613	549	549
1014	01cs031	1		613	613	549	549
1015	01cs031	1		613	613	549	549
1016	01cs031	1		613	613	549	549
1017	01cs031	1		613	613	549	549
1018	01cs031	1		613	613	549	549
1019	01cs031	1		613	613	549	549
1020	01cs031	1		613	613	549	549
1021	01cs031	1		613	613	549	549
1022	01cs031	1		613	613	549	549
1023	01cs031	1		613	613	549	549
1024	01cs031	1		613	613	549	549
1025	01cs031	1		613	613	549	549
1026	01cs031	1		613	613	549	549
1027	01cs031	1		613	613	549	549
1028	01cs031	1		613	613	549	549
1029	01cs031	1		613	613	549	549
							
1030	01cs002	1		490	1138	495	825
1031	01cs003	1		490	1138	495	825
1032	01cs004	1		490	1138	495	825
1033	01cs005	1		490	1138	495	825
1034	01cs006	1		490	1138	495	825
1035	01cs007	1		490	1138	495	825
1036	01cs008	1		490	1138	495	825
1037	01cs009	1		490	1138	495	825
1038	01cs010	1		490	1138	495	825
1039	01cs011	1		490	1138	495	825
1040	01cs012	1		490	1138	495	825
1041	01cs013	1		490	1138	495	825
1042	01cs014	1		490	1138	495	825
1043	01cs015	1		490	1138	495	825
1044	01cs016	1		490	1138	495	825
1045	01cs017	1		490	1138	495	825
1046	01cs018	1		490	1138	495	825
1047	01cs019	1		490	1138	495	825
1048	01cs020	1		490	1138	495	825
1049	01cs021	1		490	1138	495	825
1050	01cs022	1		490	1138	495	825
