碎片1	碎片2	碎片3	碎片4	碎片5	碎片6	碎片7	碎片8	碎片9	碎片10
3	3	3							
	3	3	3						
		3	3	3					
			3	3	3				
				3	3	3			
					3	3	3		
						3	3	3	
							3	3	3
3	6	9	9	9	9	9	9	6	3
									
									
									
									
									
									
									
									
8001	幻兽技能书1	0	2010-10-10	2030-10-10	0				
8002	幻兽技能书2	0	2010-10-10	2030-10-10	0				
8003	幻兽技能书3	0	2010-10-10	2030-10-10	0				
8004	幻兽技能书4	0	2010-10-10	2030-10-10	0				
8005	幻兽技能书5	0	2010-10-10	2030-10-10	0				
8006	幻兽技能书6	0	2010-10-10	2030-10-10	0				
8007	幻兽技能书7	0	2010-10-10	2030-10-10	0				
8008	幻兽技能书8	0	2010-10-10	2030-10-10	0				
9001	坐骑技能书1	0	2010-10-10	2030-10-10	0				
9002	坐骑技能书2	0	2010-10-10	2030-10-10	0				
9003	坐骑技能书3	0	2010-10-10	2030-10-10	0				
9004	坐骑技能书4	0	2010-10-10	2030-10-10	0				
9005	坐骑技能书5	0	2010-10-10	2030-10-10	0				
9006	坐骑技能书6	0	2010-10-10	2030-10-10	0				
9007	坐骑技能书7	0	2010-10-10	2030-10-10	0				
9008	坐骑技能书8	0	2010-10-10	2030-10-10	0				
