buffId	buffLevel	type	costValue	ratio	successInfo	failInfo
buffId	buff等级	鼓舞方式	消耗金钱/真气值	成功率	成功提示信息	失败提示信息
9104	1	0	2000	10000	鼓舞成功，攻击力+10%	鼓舞失败，当前攻击+0%
9104	2	0	2000	9000	鼓舞成功，攻击力+20%	鼓舞失败，当前攻击+10%
9104	3	0	2000	7500	鼓舞成功，攻击力+30%	鼓舞失败，当前攻击+20%
9104	4	0	2000	6500	鼓舞成功，攻击力+40%	鼓舞失败，当前攻击+30%
9104	5	0	2000	5000	鼓舞成功，攻击力+50%	鼓舞失败，当前攻击+40%
9104	6	0	2000	4000	鼓舞成功，攻击力+60%	鼓舞失败，当前攻击+50%
9104	7	0	2000	3000	鼓舞成功，攻击力+70%	鼓舞失败，当前攻击+60%
9104	8	0	2000	2000	鼓舞成功，攻击力+80%	鼓舞失败，当前攻击+70%
9104	9	0	2000	1000	鼓舞成功，攻击力+90%	鼓舞失败，当前攻击+80%
9104	10	0	2000	500	鼓舞成功，攻击力+100%	鼓舞失败，当前攻击+90%
9104	1	1	10	10000	鼓舞成功，攻击力+10%	鼓舞失败，当前攻击+0%
9104	2	1	10	10000	鼓舞成功，攻击力+20%	鼓舞失败，当前攻击+10%
9104	3	1	10	10000	鼓舞成功，攻击力+30%	鼓舞失败，当前攻击+20%
9104	4	1	10	10000	鼓舞成功，攻击力+40%	鼓舞失败，当前攻击+30%
9104	5	1	10	10000	鼓舞成功，攻击力+50%	鼓舞失败，当前攻击+40%
9104	6	1	10	10000	鼓舞成功，攻击力+60%	鼓舞失败，当前攻击+50%
9104	7	1	10	10000	鼓舞成功，攻击力+70%	鼓舞失败，当前攻击+60%
9104	8	1	10	10000	鼓舞成功，攻击力+80%	鼓舞失败，当前攻击+70%
9104	9	1	10	10000	鼓舞成功，攻击力+90%	鼓舞失败，当前攻击+80%
9104	10	1	10	10000	鼓舞成功，攻击力+100%	鼓舞失败，当前攻击+90%
9156	1	0	2000	10000	鼓舞成功，攻击力+5%，最大生命+4000	鼓舞失败
9156	2	0	2000	9000	鼓舞成功，攻击力+10%，最大生命+8000	鼓舞失败
9156	3	0	2000	7500	鼓舞成功，攻击力+15%，最大生命+12000	鼓舞失败
9156	4	0	2000	6500	鼓舞成功，攻击力+20%，最大生命+16000	鼓舞失败
9156	5	0	2000	5000	鼓舞成功，攻击力+25%，最大生命+20000	鼓舞失败
9156	6	0	2000	4000	鼓舞成功，攻击力+30%，最大生命+24000	鼓舞失败
9156	7	0	2000	3000	鼓舞成功，攻击力+35%，最大生命+28000	鼓舞失败
9156	8	0	2000	2000	鼓舞成功，攻击力+40%，最大生命+32000	鼓舞失败
9156	9	0	2000	1000	鼓舞成功，攻击力+45%，最大生命+36000	鼓舞失败
9156	10	0	2000	500	鼓舞成功，攻击力+50%，最大生命+40000	鼓舞失败
9156	1	1	10	10000	鼓舞成功，攻击力+5%，最大生命+4000	鼓舞失败
9156	2	1	10	10000	鼓舞成功，攻击力+10%，最大生命+8000	鼓舞失败
9156	3	1	10	10000	鼓舞成功，攻击力+15%，最大生命+12000	鼓舞失败
9156	4	1	10	10000	鼓舞成功，攻击力+20%，最大生命+16000	鼓舞失败
9156	5	1	10	10000	鼓舞成功，攻击力+25%，最大生命+20000	鼓舞失败
9156	6	1	10	10000	鼓舞成功，攻击力+30%，最大生命+24000	鼓舞失败
9156	7	1	10	10000	鼓舞成功，攻击力+35%，最大生命+28000	鼓舞失败
9156	8	1	10	10000	鼓舞成功，攻击力+40%，最大生命+32000	鼓舞失败
