npcId	functionName	type	buffId
npc模板ID	功能选项名称	鼓舞方式	增加buffId
01n158	2000金币鼓舞提升攻击力	0	9104
01n158	10元宝鼓舞提升攻击力（成功率100%）	1	9104
01gcz011	2000金币鼓舞提升攻击力与生命值	0	9157
01gcz011	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9157
01gcz015	2000金币鼓舞提升攻击力与生命值	0	9156
01gcz015	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9156
02gcz011	2000金币鼓舞提升攻击力与生命值	0	9157
02gcz011	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9157
02gcz015	2000金币鼓舞提升攻击力与生命值	0	9156
02gcz015	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9156
03gcz011	2000金币鼓舞提升攻击力与生命值	0	9157
03gcz011	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9157
03gcz015	2000金币鼓舞提升攻击力与生命值	0	9156
03gcz015	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9156
04gcz011	2000金币鼓舞提升攻击力与生命值	0	9157
04gcz011	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9157
04gcz015	2000金币鼓舞提升攻击力与生命值	0	9156
04gcz015	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9156
05gcz011	2000金币鼓舞提升攻击力与生命值	0	9157
05gcz011	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9157
05gcz015	2000金币鼓舞提升攻击力与生命值	0	9156
05gcz015	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9156
06gcz011	2000金币鼓舞提升攻击力与生命值	0	9157
06gcz011	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9157
06gcz015	2000金币鼓舞提升攻击力与生命值	0	9156
06gcz015	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9156
07gcz011	2000金币鼓舞提升攻击力与生命值	0	9157
07gcz011	10元宝鼓舞提升攻击力与生命值（成功率100%）	1	9157
07gcz015	2000金币鼓舞提升攻击力与生命值	0	9156
