id	npcId	mapId	mapX	mapY	_1	_2	_3	_4	_5	_6	_7	startDate	endDate	startDateRel	endDateRel	show	timeInfo	bossInfo	lootId
序列号	npcId	地图Id	地图x坐标	地图y坐标	周一规则	周二规则	周三规则	周四规则	周五规则	周六规则	周日规则	开启日期	结束日期	相对开启日期(天)\n开服的第X天	相对结束日期(天)\n开服的第X天	是否显示面板\n0 否 1是	刷新时间提示	面板boss信息	掉落信息组id
1	01ywboss09	09_YWBDT_i	800	536	25	25	25	25	25	25	25	2012-11-12	2023-11-12			1	死亡后2小时刷新	太极生两仪，两仪衍阴阳；阴阳相伴，生生不息。	5
2	01ywboss10	10_YWBDT_j	835	536	25	25	25	25	25	25	25	2012-11-12	2023-11-12			1	死亡后2小时刷新	太极生两仪，两仪衍阴阳；阴阳相伴，生生不息。	5
3	01ywboss01	01_YWBDT_a	796	555	1	1	1	1	1	1	1	2012-11-12	2023-11-12			1	死亡后4小时刷新	其状如牛，苍色无角，一足能走，出入水即风雨，目光如日月，其声如雷，名曰夔。	1
4	01ywboss02	02_YWBDT_b	796	555	2	2	2	2	2	2	2	2012-11-12	2023-11-12			1	死亡后4小时刷新	巫界巫下七天王之一的天忍王，法力高强。	1
5	01ywboss03	03_YWBDT_c	400	463	3	3	3	3	3	3	3	2012-11-12	2023-11-12			1	死亡后4小时刷新	巫界巫下七天王之二的法莲王，法力高强。	1
6	01ywboss04	04_YWBDT_d	800	664	4	4	4	4	4	4	4	2012-11-12	2023-11-12			1	每天12:30，21:00刷新	巫界巫下七天王之三的风火王，法力高强。	2
7	01ywboss05	05_YWBDT_e	780	635	4	4	4	4	4	4	4	2012-11-12	2023-11-12			1	每天12:30，21:00刷新	巫界巫下七天王之四的阴阳王，法力高强。	2
8	01ywboss06	06_YWBDT_f	756	577	4	4	4	4	4	4	4	2012-11-12	2023-11-12			1	每天12:30，21:00刷新	巫界巫下七天王之五的樱木王，法力高强。	2
9	01ywboss07	07_YWBDT_g	800	536	4	4	4	4	4	4	4	2012-11-12	2023-11-12			1	每天12:30，21:00刷新	巫界巫下七天王之六的安土王，法力高强。	3
10	01ywboss08	08_YWBDT_h	835	536	4	4	4	4	4	4	4	2012-11-12	2023-11-12			1	每天12:30，21:00刷新	巫界巫下七天王之七的不死天尸，法力高强。	4
11	01mwd400	 01_FBMWD_mowangdian	2707	1226	5	5	5	5	5	5	5	2012-11-12	2023-11-12			0			
12	01mwd401	 01_FBMWD_mowangdian	2567	1887								2012-11-12	2023-11-12			0			
13	01mwd402	 01_FBMWD_mowangdian	2888	53								2012-11-12	2023-11-12			0			
14	01mwd401	 01_FBMWD_mowangdian	1682	1114								2012-11-12	2023-11-12			0			
15	01mwd402	 01_FBMWD_mowangdian	4730	952								2012-11-12	2023-11-12			0			
16	01mwd401	 01_FBMWD_mowangdian	3804	1154								2012-11-12	2023-11-12			0			
17	01mwd402	 01_FBMWD_mowangdian	383	1272								2012-11-12	2023-11-12			0			
18	01mwd401	 01_FBMWD_mowangdian	3414	767								2012-11-12	2023-11-12			0			
19	01mwd402	 01_FBMWD_mowangdian	2171	1720								2012-11-12	2023-11-12			0			
20	01mwd401	 01_FBMWD_mowangdian	1249	867								2012-11-12	2023-11-12			0			
21	01mwd402	 01_FBMWD_mowangdian	2161	1027								2012-11-12	2023-11-12			0			
22	01mwd401	 01_FBMWD_mowangdian	3711	3850								2012-11-12	2023-11-12			0			
23	01mwd402	 01_FBMWD_mowangdian	3313	1531								2012-11-12	2023-11-12			0			
24	01mwd401	 01_FBMWD_mowangdian	3414	767								2012-11-12	2023-11-12			0			
25	01mwd402	 01_FBMWD_mowangdian	1214	1757								2012-11-12	2023-11-12			0			
26	01mwd401	 01_FBMWD_mowangdian	1948	966								2012-11-12	2023-11-12			0			
27	01mwd402	 01_FBMWD_mowangdian	2981	1713								2012-11-12	2023-11-12			0			
28	bossdps130	01_BHD_a	1204	841	22	22	22	22	22	22	22			1	1				
29	bossdps032	01_BHD_a	1204	841	22	22	22	22	22	22	22			2	2				
30	bossdps135	01_BHD_a	1204	841	22	22	22	22	22	22	22			3	3				
31	bossdps036	01_BHD_a	1204	841	22	22	22	22	22	22	22			4	4				
32	bossdps138	01_BHD_a	1204	841	22	22	22	22	22	22	22			5	5				
33	bossdps040	01_BHD_a	1204	841	22	22	22	22	22	22	22			6	6				
34	bossdps141	01_BHD_a	1204	841	22	22	22	22	22	22	22			7	7				
35	bossdps042	01_BHD_a	1204	841	22	22	22	22	22	22	22			8	8				
36	bossdps143	01_BHD_a	1204	841	22	22	22	22	22	22	22			9	9				
37	bossdps044	01_BHD_a	1204	841	22	22	22	22	22	22	22			10	10				
38	bossdps145	01_BHD_a	1204	841	22	22	22	22	22	22	22			11	11				
39	bossdps046	01_BHD_a	1204	841	22	22	22	22	22	22	22			12	12				
40	bossdps147	01_BHD_a	1204	841	22	22	22	22	22	22	22			13	13				
41	bossdps048	01_BHD_a	1204	841	22	22	22	22	22	22	22			14	14				
42	bossdps149	01_BHD_a	1204	841	22	22	22	22	22	22	22			15	15				
43	bossdps050	01_BHD_a	1204	841	22	22	22	22	22	22	22			16	17				
44	bossdps151	01_BHD_a	1204	841	22	22	22	22	22	22	22			18	18				
45	bossdps052	01_BHD_a	1204	841	22	22	22	22	22	22	22			19	20				
46	bossdps153	01_BHD_a	1204	841	22	22	22	22	22	22	22			21	22				
47	bossdps054	01_BHD_a	1204	841	22	22	22	22	22	22	22			23	23				
48	bossdps155	01_BHD_a	1204	841	22	22	22	22	22	22	22			24	25				
49	bossdps056	01_BHD_a	1204	841	22	22	22	22	22	22	22			26	27				
50	bossdps157	01_BHD_a	1204	841	22	22	22	22	22	22	22			28	29				
51	bossdps058	01_BHD_a	1204	841	22	22	22	22	22	22	22			30	31				
52	bossdps159	01_BHD_a	1204	841	22	22	22	22	22	22	22			32	33				
53	bossdps060	01_BHD_a	1204	841	22	22	22	22	22	22	22			34	36				
54	bossdps161	01_BHD_a	1204	841	22	22	22	22	22	22	22			37	39				
55	bossdps062	01_BHD_a	1204	841	22	22	22	22	22	22	22			40	42				
56	bossdps163	01_BHD_a	1204	841	22	22	22	22	22	22	22			43	45				
57	bossdps064	01_BHD_a	1204	841	22	22	22	22	22	22	22			46	48				
58	bossdps165	01_BHD_a	1204	841	22	22	22	22	22	22	22			49	51				
59	bossdps066	01_BHD_a	1204	841	22	22	22	22	22	22	22			52	54				
60	bossdps167	01_BHD_a	1204	841	22	22	22	22	22	22	22			55	57				
61	bossdps068	01_BHD_a	1204	841	22	22	22	22	22	22	22			58	60				
62	bossdps169	01_BHD_a	1204	841	22	22	22	22	22	22	22			61	63				
63	bossdps070	01_BHD_a	1204	841	22	22	22	22	22	22	22			64	67				
64	bossdps171	01_BHD_a	1204	841	22	22	22	22	22	22	22			68	71				
65	bossdps072	01_BHD_a	1204	841	22	22	22	22	22	22	22			72	75				
66	bossdps173	01_BHD_a	1204	841	22	22	22	22	22	22	22			76	79				
67	bossdps074	01_BHD_a	1204	841	22	22	22	22	22	22	22			80	83				
68	bossdps175	01_BHD_a	1204	841	22	22	22	22	22	22	22			84	93				
69	bossdps076	01_BHD_a	1204	841	22	22	22	22	22	22	22			94	102				
70	bossdps177	01_BHD_a	1204	841	22	22	22	22	22	22	22			103	112				
71	bossdps078	01_BHD_a	1204	841	22	22	22	22	22	22	22			113	123				
72	bossdps179	01_BHD_a	1204	841	22	22	22	22	22	22	22			124	133				
73	bossdps080	01_BHD_a	1204	841	22	22	22	22	22	22	22			134	999999999				
74	01zyzc101	ZYZYZ_zhenyingziyuanzhan	248	2249	24	24	24	24	24	24	24	2012-11-12	2023-11-12						
75	01zyzc201	ZYZYZ_zhenyingziyuanzhan	2547	598	24	24	24	24	24	24	24	2012-11-12	2023-11-12						
76	01zyzc301	ZYZYZ_zhenyingziyuanzhan	1565	2702	24	24	24	24	24	24	24	2012-11-12	2023-11-12						
77	01zjboss001	01_FBMWD_mowangdian	572	1271	27			32			28	2012-11-12	2023-11-12						
78	01zjboss002	01_FBMWD_mowangdian	1127	1437	28			31			30	2012-11-12	2023-11-12						
79	01zjboss003	01_FBMWD_mowangdian	1816	933	29			30			32	2012-11-12	2023-11-12						
80	01zjboss001	01_FBMWD_mowangdian	2845	396	30			29			27	2012-11-12	2023-11-12						
81	01zjboss002	01_FBMWD_mowangdian	3728	738	31			28			29	2012-11-12	2023-11-12						
82	01zjboss003	01_FBMWD_mowangdian	4270	1187	32			27			31	2012-11-12	2023-11-12						
83	01zjboss001	01_FBMWD_mowangdian	3746	1581		32			27			2012-11-12	2023-11-12						
84	01zjboss002	01_FBMWD_mowangdian	3183	1782		31			28			2012-11-12	2023-11-12						
85	01zjboss003	01_FBMWD_mowangdian	2694	2056		30			29			2012-11-12	2023-11-12						
86	01zjboss001	01_FBMWD_mowangdian	2234	1955		29			30			2012-11-12	2023-11-12						
