npcTemplateId	showType	goodsId	bindType	careerType	consumeType1	value1	consumeType2	value2	defaultBuyNum
npc模板ID	类型	物品ID	绑定类型	职业	消耗类型1	值	消耗类型2	值	默认购买数
01n023	0	23001	1	-1	5	20			200
01n023	0	23002	1	-1	5	20			200
01n023	0	24001	1	-1	5	40			200
01n023	0	24002	1	-1	5	40			200
01n023	0	25001	1	-1	5	60			200
01n023	0	25002	1	-1	5	60			200
01n023	0	26001	1	-1	5	80			200
01n023	0	26002	1	-1	5	80			200
									
01n022	1	6300300	1	0	5	2000			1
01n022	1	6300301	1	0	5	2000			1
01n022	1	6300302	1	0	5	5000			1
01n022	1	6300303	1	0	5	2000			1
01n022	1	6300304	1	0	5	2000			1
01n022	1	6300305	1	0	5	2000			1
01n022	1	6300306	1	0	5	2000			1
01n022	1	6300307	1	0	5	5000			1
01n022	1	6300308	1	0	5	2000			1
01n022	1	6300309	1	0	5	2000			1
01n022	1	6301300	1	1	5	2000			1
01n022	1	6301301	1	1	5	2000			1
01n022	1	6301302	1	1	5	5000			1
01n022	1	6301303	1	1	5	2000			1
01n022	1	6301304	1	1	5	2000			1
01n022	1	6301305	1	1	5	2000			1
01n022	1	6301306	1	1	5	2000			1
01n022	1	6301307	1	1	5	5000			1
01n022	1	6301308	1	1	5	2000			1
01n022	1	6301309	1	1	5	2000			1
01n022	1	6302300	1	2	5	2000			1
01n022	1	6302301	1	2	5	2000			1
01n022	1	6302302	1	2	5	5000			1
01n022	1	6302303	1	2	5	2000			1
01n022	1	6302304	1	2	5	2000			1
01n022	1	6302305	1	2	5	2000			1
01n022	1	6302306	1	2	5	2000			1
01n022	1	6302307	1	2	5	5000			1
01n022	1	6302308	1	2	5	2000			1
01n022	1	6302309	1	2	5	2000			1
