id	name	type	compareType	paramId1	paramId2	minValue	maxValue	condOrValue	display
条件id	条件名称	条件类型	比较类型	条件参数指定id1	条件指定id2	比较类型下限	比较类型上线	比较类型是或时用到的值	条件不满足时是否显示选项
1	要求帮会商店等级${0}/2	30	1			2			1
2	要求帮会商店等级${0}/3	30	1			3			1
3	要求帮会商店等级${0}/4	30	1			4			1
4	要求帮会商店等级${0}/5	30	1			5			1
5	帮主	28	3			0			1
6	个人	1	1			30			1
7	个人	1	1			1			1
8	个人VIP副本	1	5			30	34		0
9	个人VIP副本	1	5			35	39		0
10	个人VIP副本	1	5			40	44		0
11	个人VIP副本	1	5			45	49		0
12	个人VIP副本	1	5			50	54		0
13	个人VIP副本	1	5			55	59		0
14	个人VIP副本	1	5			60	64		0
15	个人VIP副本	1	5			65	69		0
16	个人VIP副本	1	5			70	74		0
17	个人VIP副本	1	5			75	80		0
18	要求帮派等级${0}/2	29	1			2			
19	个人VIP副本	1	5			1	4		0
20	个人VIP副本	1	5			5	9		0
21	个人VIP副本	1	5			10	14		0
22	个人VIP副本	1	5			15	19		0
23	个人VIP副本	1	5			20	24		0
24	个人VIP副本	1	5			25	29		0
25	只有朝歌之王与副帮主，才有权限调动龙威死士	28	6					0,1	1
26	只有朝歌之王，才能召唤四大天王	28	3			0			1
27	只有帮主与副帮主，才能请的来妹纸出场	28	6					0,1	1
