ruleId	bornNpcid	bornNpccount	bornNpcDir	bornmapgxbegin	bornmapgxend	bornmapgybegin	bornmapgyend
规则ID	NPC模板ID	NPC数量	方位	坐标X最小值	坐标X最大值	坐标Y最小值	坐标Y最大值
1	01bpb001	1		556	556	465	465
1	01bpxg001	1		269	511	269	511
1	01bpxg001	1		406	600	406	600
1	01bpxg001	1		398	434	398	434
1	01bpxg001	1		568	541	568	541
1	01bpxg001	1		539	368	539	368
1	01bpxg001	1		704	456	704	456
1	01bpxg001	1		652	298	652	298
1	01bpxg001	1		810	371	810	371
1	01bpxg001	1		113	583	113	583
1	01bpxg001	1		265	680	265	680
2	01bpb001	1		556	556	465	465
2	01bpxg001	1		269	511	269	511
2	01bpxg001	1		406	600	406	600
2	01bpxg001	1		398	434	398	434
2	01bpxg001	1		568	541	568	541
2	01bpxg001	1		539	368	539	368
2	01bpxg001	1		704	456	704	456
2	01bpxg001	1		652	298	652	298
2	01bpxg001	1		810	371	810	371
2	01bpxg001	1		113	583	113	583
2	01bpxg001	1		265	680	265	680
1008	01vipfb001	1		1601	1601	655	655
1008	01vipfb001	1		1065	1065	307	307
1008	01vipfb001	1		1761	1761	512	512
1008	01vipfb001	1		1302	1302	325	325
1008	01vipfb001	1		1555	1555	348	348
1008	01vipfb001	1		1090	1090	481	481
1008	01vipfb001	1		1316	1316	460	460
1008	01vipfb001	1		1547	1547	501	501
1008	01vipfb001	1		1594	1594	832	832
1008	01vipfb001	1		1066	1066	653	653
1008	01vipfb001	1		1328	1328	771	771
1008	01vipfb001	1		1337	1337	616	616
1009	01vipfb002	1		1601	1601	655	655
1009	01vipfb002	1		1065	1065	307	307
1009	01vipfb002	1		1761	1761	512	512
1009	01vipfb002	1		1302	1302	325	325
1009	01vipfb002	1		1555	1555	348	348
1009	01vipfb002	1		1090	1090	481	481
1009	01vipfb002	1		1316	1316	460	460
1009	01vipfb002	1		1547	1547	501	501
1009	01vipfb002	1		1594	1594	832	832
1009	01vipfb002	1		1066	1066	653	653
1009	01vipfb002	1		1328	1328	771	771
1009	01vipfb002	1		1337	1337	616	616
1010	01vipfb003	1		1601	1601	655	655
1010	01vipfb003	1		1065	1065	307	307
1010	01vipfb003	1		1761	1761	512	512
1010	01vipfb003	1		1302	1302	325	325
1010	01vipfb003	1		1555	1555	348	348
1010	01vipfb003	1		1090	1090	481	481
1010	01vipfb003	1		1316	1316	460	460
1010	01vipfb003	1		1547	1547	501	501
1010	01vipfb003	1		1594	1594	832	832
1010	01vipfb003	1		1066	1066	653	653
1010	01vipfb003	1		1328	1328	771	771
1010	01vipfb003	1		1337	1337	616	616
1011	01vipfb004	1		1601	1601	655	655
1011	01vipfb004	1		1065	1065	307	307
1011	01vipfb004	1		1761	1761	512	512
1011	01vipfb004	1		1302	1302	325	325
1011	01vipfb004	1		1555	1555	348	348
1011	01vipfb004	1		1090	1090	481	481
1011	01vipfb004	1		1316	1316	460	460
1011	01vipfb004	1		1547	1547	501	501
1011	01vipfb004	1		1594	1594	832	832
1011	01vipfb004	1		1066	1066	653	653
1011	01vipfb004	1		1328	1328	771	771
1011	01vipfb004	1		1337	1337	616	616
1012	01vipfb005	1		1601	1601	655	655
1012	01vipfb005	1		1065	1065	307	307
1012	01vipfb005	1		1761	1761	512	512
1012	01vipfb005	1		1302	1302	325	325
1012	01vipfb005	1		1555	1555	348	348
1012	01vipfb005	1		1090	1090	481	481
1012	01vipfb005	1		1316	1316	460	460
1012	01vipfb005	1		1547	1547	501	501
1012	01vipfb005	1		1594	1594	832	832
1012	01vipfb005	1		1066	1066	653	653
1012	01vipfb005	1		1328	1328	771	771
1012	01vipfb005	1		1337	1337	616	616
1013	01vipfb006	1		1601	1601	655	655
1013	01vipfb006	1		1065	1065	307	307
1013	01vipfb006	1		1761	1761	512	512
1013	01vipfb006	1		1302	1302	325	325
1013	01vipfb006	1		1555	1555	348	348
1013	01vipfb006	1		1090	1090	481	481
1013	01vipfb006	1		1316	1316	460	460
1013	01vipfb006	1		1547	1547	501	501
1013	01vipfb006	1		1594	1594	832	832
1013	01vipfb006	1		1066	1066	653	653
1013	01vipfb006	1		1328	1328	771	771
1013	01vipfb006	1		1337	1337	616	616
1014	01vipfb007	1		1601	1601	655	655
1014	01vipfb007	1		1065	1065	307	307
1014	01vipfb007	1		1761	1761	512	512
1014	01vipfb007	1		1302	1302	325	325
1014	01vipfb007	1		1555	1555	348	348
1014	01vipfb007	1		1090	1090	481	481
1014	01vipfb007	1		1316	1316	460	460
1014	01vipfb007	1		1547	1547	501	501
1014	01vipfb007	1		1594	1594	832	832
1014	01vipfb007	1		1066	1066	653	653
1014	01vipfb007	1		1328	1328	771	771
1014	01vipfb007	1		1337	1337	616	616
1015	01vipfb008	1		1601	1601	655	655
1015	01vipfb008	1		1065	1065	307	307
1015	01vipfb008	1		1761	1761	512	512
1015	01vipfb008	1		1302	1302	325	325
1015	01vipfb008	1		1555	1555	348	348
1015	01vipfb008	1		1090	1090	481	481
1015	01vipfb008	1		1316	1316	460	460
1015	01vipfb008	1		1547	1547	501	501
1015	01vipfb008	1		1594	1594	832	832
1015	01vipfb008	1		1066	1066	653	653
1015	01vipfb008	1		1328	1328	771	771
1015	01vipfb008	1		1337	1337	616	616
1016	01vipfb009	1		1601	1601	655	655
1016	01vipfb009	1		1065	1065	307	307
1016	01vipfb009	1		1761	1761	512	512
1016	01vipfb009	1		1302	1302	325	325
1016	01vipfb009	1		1555	1555	348	348
1016	01vipfb009	1		1090	1090	481	481
1016	01vipfb009	1		1316	1316	460	460
1016	01vipfb009	1		1547	1547	501	501
1016	01vipfb009	1		1594	1594	832	832
1016	01vipfb009	1		1066	1066	653	653
1016	01vipfb009	1		1328	1328	771	771
1016	01vipfb009	1		1337	1337	616	616
1017	01vipfb010	1		1601	1601	655	655
1017	01vipfb010	1		1065	1065	307	307
1017	01vipfb010	1		1761	1761	512	512
1017	01vipfb010	1		1302	1302	325	325
1017	01vipfb010	1		1555	1555	348	348
1017	01vipfb010	1		1090	1090	481	481
1017	01vipfb010	1		1316	1316	460	460
1017	01vipfb010	1		1547	1547	501	501
1017	01vipfb010	1		1594	1594	832	832
1017	01vipfb010	1		1066	1066	653	653
1017	01vipfb010	1		1328	1328	771	771
1017	01vipfb010	1		1337	1337	616	616
							
1018	02vipfb001	1		1292	1292	1181	1181
1018	02vipfb001	1		1426	1426	1007	1007
1018	02vipfb001	1		1666	1666	1067	1067
1018	02vipfb001	1		1117	1117	1241	1241
1018	02vipfb001	1		1511	1511	1166	1166
1018	02vipfb001	1		1743	1743	1243	1243
1018	02vipfb001	1		1131	1131	1447	1447
1018	02vipfb001	1		1331	1331	1375	1375
1018	02vipfb001	1		1642	1642	1550	1550
1018	02vipfb001	1		1217	1217	1667	1667
1018	02vipfb001	1		1414	1414	1562	1562
1018	02vipfb001	1		1558	1558	1344	1344
1019	02vipfb002	1		1292	1292	1181	1181
1019	02vipfb002	1		1426	1426	1007	1007
1019	02vipfb002	1		1666	1666	1067	1067
1019	02vipfb002	1		1117	1117	1241	1241
1019	02vipfb002	1		1511	1511	1166	1166
1019	02vipfb002	1		1743	1743	1243	1243
1019	02vipfb002	1		1131	1131	1447	1447
1019	02vipfb002	1		1331	1331	1375	1375
1019	02vipfb002	1		1642	1642	1550	1550
1019	02vipfb002	1		1217	1217	1667	1667
1019	02vipfb002	1		1414	1414	1562	1562
1019	02vipfb002	1		1558	1558	1344	1344
1020	02vipfb003	1		1292	1292	1181	1181
1020	02vipfb003	1		1426	1426	1007	1007
1020	02vipfb003	1		1666	1666	1067	1067
1020	02vipfb003	1		1117	1117	1241	1241
1020	02vipfb003	1		1511	1511	1166	1166
1020	02vipfb003	1		1743	1743	1243	1243
1020	02vipfb003	1		1131	1131	1447	1447
1020	02vipfb003	1		1331	1331	1375	1375
1020	02vipfb003	1		1642	1642	1550	1550
1020	02vipfb003	1		1217	1217	1667	1667
1020	02vipfb003	1		1414	1414	1562	1562
