menuId	npcId	title	content	sonMenuId2	sonMenuId3	sonMenuId4	sonMenuId5	questId
菜单ID(或子菜单ID)	NPC的模ID\n子菜单为空	菜单名字或子菜单名字	对白	子菜单id2	子菜单id3	子菜单id4	子菜单id5	任务ID\n没有任务为空
1	01n010	竞技的魅力	这里适者生存,弱者淘汰,物竞天择,自然规律.					323
2	01n037	和此人对话	互相敌视的国，战火纷飞的路，极北的恐怖让盟约签订，附身了传奇十英雄的勇士终于封印了恶的化身……					5018
3	01n038	和此人对话	时空的扭曲已经形成，帝国的大批英雄消失不见，导致了今天的局面					5018
4	01n039	和此人对话	这些就是我所知道的传说，当成故事听之后就去回报临时指挥官吧					5018
5	01n040	和此人对话	没错就是这样，你也可以在UI界面上抽取卡片，并且随着时间推移，我的手艺会不断加深，到时会有更多可以附身的英雄之魂出现，期待吧					306
6	01n041	和此人对话	他将会挽救这个帝国					332
7	01n003	和此人对话	看来我要加紧炼制英魂了					332
8	01n005	和此人对话	你不用说了,我已经全都知道了,天佑德玛					332
9	01n006	和此人对话	鹰的眼,将在德玛西亚之力的带领下飞向远方					332
10	01n007	和此人对话	我愿再次跟随在盖伦长官的麾下!					332
11	01n012	和此人对话	什么？！卡卡西居然敢去扶摔倒的老奶奶！（痛哭流涕……）果然是我一生的对手，连这么危险的任务都敢做，那我也要去做点能和他媲美的事情，你走吧，我要去买点切糕吃了~					346
12	01n014	和此人对话	太好了，终于找到了，终于……（回过头冷冷的看着你）没你的事了，你走吧！（转身激动的离开，但是却遗落了一卷卷轴） 玩家：这个是什么？（捡起）					349
13	01n011	和此人对话	不重视伙伴的人，根本就是废物中的废物！你去和佐助说一下吧					337
14	01n001	和此人对话	（=_=） 谢谢……					338
16	01n037	和此人对话	多谢少侠，快回去复命吧！					5016
17	01n038	和此人对话	多谢少侠，快回去复命吧！					5017
18	01n039	和此人对话	多谢少侠，快回去复命吧！					5018
19	01n040	和此人对话	多谢少侠，快回去复命吧！					5019
20	01n041	和此人对话	多谢少侠，快回去复命吧！					5020
21	01n021	和此人对话	多谢少侠，快回去复命吧！					5021
22	01n042	和此人对话	多谢少侠，快回去复命吧！					5022
