npcid	npcname	npctype	level	resid	headResId	bodyResId	boss	forceId	exp	minMoney	maxMoney	bindMoney	magicSoul	totalMagicSoul	xp	zp	lootNpc	lootWorld	maxHP	maxMP	phyAtk	iceAtk	fireAtk	phyRit	iceRit	fireRit	speed	dodge	hit	critAtk	critRit	slowRitRate	exposeArmorRitRate	weakRitRate	fixedRitRate	blowFlyRitRate	lullRitRate	tiredRitRate	silenceRitRate	bloodRitRate	lightRitRate	charmRitRate	comaRitRate	agedRitRate	gossip	lockType	function	desc	funcResId	resRate	musicId	questHatred	shieldFunc	showName
怪物ID	怪物名称	类型	怪物级别	资源ID	头像资源id	半身资源id	是否boss\n0 否 1是	势力id	经验	金钱下限	金钱上限	绑金	仙魂	法宝声望	xp技能	真气值	npc掉落索引	世界掉落索引	生命值上限	法力值上限	物攻	b冰攻	火攻	物防	冰抗	火抗	速度	闪避值	命中值	暴击值	韧性	抵抗减速	抵抗破甲	抵抗虚弱	抵抗定身	抵抗击飞	抵抗麻痹	抵抗疲劳	抵抗沉默	抵抗流血	抵抗点燃	抵抗魅惑	抵抗昏迷	抵抗老化	NPC闲话	锁定类型\n[0:默认1:自动]	功能	描述	功能npc图片id	资源缩放比例\n10=100%	音效ID	是否仇恨列表共享任务计数\n0 否\n1 是\n不填 否	是否可以进行npc对话	
01n001	吟游诗人-奈特尔	1	1	10049	19	13	0	1	0	0	0	0							65535	65535	65535	0	0	50	50	50	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	弟弟,愿你放下仇恨,愿我们早日相见……	1	新手引导	不知道啊		10	51			
01n002	试炼员	1	2	10091	19	13	0	1	0	0	0	0							65535	65535	65535	0	0	60	60	60	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	虽然,我很想当官,但却始终当不了官	1		不知道啊		10	70			
01n003	神庙祭司	1	3	10143	19	13	0	1	0	0	0	0							65535	65535	65535	0	0	70	70	70	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	变身的意义在于战力的提升和……逃避债务	1		不知道啊		10	71			
01n004	贵族小姐-莉莉斯	1	4	10144	19	13	0	1	0	0	0	0							65535	65535	65535	0	0	80	80	80	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	哦，这里都是灰尘，啊！拿开你的脏手！	1		不知道啊		10	72			
01n005	首席导师-梅林	1	5	10002	19	13	0	1	0	0	0	0							65535	65535	65535	0	0	90	90	90	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	命运不可逆转，但可以预知……	1		不知道啊		10	73			
01n006	习奥会	1	6	10114	19	13	0	1	0	0	0	0							65535	65535	65535	0	0	100	100	100	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	传说无尽之海很大，但又有谁真的看过。	1		不知道啊		10	53			
01n007	莫默达	1	7	10094	19	13	0	1	0	0	0	0							65535	65535	65535	0	0	110	110	110	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我的大小姐，您就是我的女神~	1		不知道啊		10	56			
01n008	试炼官	1	8	10110	14	8	0	1	0	0	0	0							65535	65535	65535	0	0	120	120	120	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我是试炼官，负责试炼，试炼不好的就关起来	1		不知道啊		10	77			
01n009	小软	1	9	10108	19	13	0	1	0	0	0	0							65535	65535	65535	0	0	130	130	130	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我是软妹子~	1		不知道啊		10	55			
