minKillNum	maxKillNum	buffLevel	color	fallRate	fallNum	expRate	moneyRate	broadcast	goldMoney	bindingGoldMoney
杀人数	杀人数	buff等级	角色颜色	掉落几率(10000=100%)	掉落数量	经验	钱	广播	清除buff消耗的元宝/分钟	清除buff消耗的绑宝/分钟
0	2	1		0	0	0	0		1	1
3	9	2	ffece906	500	1	0	0		1	1
10	10	3	ffcea972	1500	2	100	100	{0} 在 {1} 大杀特杀，现已杀死{2}人	3	3
11	19	3	ffcea972	1500	2	100	100		3	3
20	20	4	ffec5206	3000	10	100	100	{0} 在 {1} 杀人如麻，现已杀死{2}人	5	5
21	29	4	ffec5206	3000	10	100	100		5	5
30	30	5	ffe60011	4500	40	200	200	{0} 在 {1} 已经无人能挡，现已杀死{2}人	7	7
31	39	5	ffe60011	4500	40	200	200		7	7
40	40	6	ffe60011	6000	90	300	300	{0} 在 {1} 变态杀戮，现已杀死{2}人	7	7
41	59	6	ffe60011	6000	90	300	300		7	7
60	60	7	ffe60011	7500	150	400	400	{0} 在 {1} 如同妖怪般的杀戮，现已杀死了{2}人	7	7
61	79	7	ffe60011	7500	150	400	400		7	7
80	80	8	FF7d0000	9000	200	500	500	{0} 在 {1} 如同神一般的杀戮，现已杀死了{2}人	9	9
81	99	8	FF7d0000	9000	200	500	500		9	9
