id	zp	gold	silver	exp	honor	factionIntegral	factionContribute	mustGoods1	mustNo1	mustBind1	mustGoods2	mustNo2	mustBind2	mustGoods3	mustNo3	mustBind3	mustGoods4	mustNo4	mustBind4	mustGoods5	mustNo5	mustBind5	mustGoods6	mustNo6	mustBind6
任务ID	真气	绑金奖励	白银奖励	经验奖励	荣誉	公会积分	成员贡献度	固定奖励物品1	固定奖励1数量	固定奖励1\n绑定类型	固定奖励物品2	固定奖励2数量	固定奖励2\n绑定类型	固定奖励物品3	固定奖励3数量	固定奖励3\n绑定类型	固定奖励物品4	固定奖励4数量	固定奖励4\n绑定类型	固定奖励物品5	固定奖励5数量	固定奖励5\n绑定类型	固定奖励物品6	固定奖励6数量	固定奖励6\n绑定类型
303	500000		500000	600				5000001	1	1	9137	1	1	9143	1	1									
305	500000		500000	0																					
306	500000		500000	2000																					
307	500000		500000	4300					1	1		1	1		1	1									
308	500000		500000	5800																					
309	500000		500000	1400																					
310	500000		500000	9000				20044	1	1	20044	1	1	20044	1	1									
311	500000		500000	2200																					
312	500000		500000	8200																					
313	500000		500000	8200				6100306	1	1	6101306	1	1	6102306	1	1									
314	500000		500000	7500																					
315	500000		500000	1900																					
316	500000		500000	5600																					
317	500000		500000	7500																					
318	500000		500000	15000				200008	1	1															
319	500000		500000	15000																					
320	500000		500000	30800																					
321	500000		500000	7700																					
325	100		50	11600																					
326	100		50	11600																					
327	100		50	11600				6100303	1	1	6101303	1	1	6102303	1	1									
328	100		50	11600																					
329	100		50	11600																					
330	100		50	11600																					
331	100		50	11600																					
332	100		50	11600																					
333	100		50	12200																					
334	100		50	12200																					
335	100		50	12200																					
336	100		50	12200																					
337	100		50	12200																					
338	100		50	12200				6101305	1	1	6100305	1	1	6102305	1	1									
339	100		50	12200																					
340	100		50	12200																					
341	100		50	12200																					
342	100		50	12200																					
343	100		50	12800																					
344	100		50	12800																					
345	100		50	12800																					
346	100		50	12800				6100304	1	1	6101304	1	1	6102304	1	1									
347	100		50	12800																					
348	100		50	12800																					
349	100		50	12800																					
350	100		50	12800																					
351	100		50	12800																					
352	50		50	2300																					
353	50		50	2300																					
354	50		50	2300																					
355	50		50	3800																					
356	50		50	3800																					
357	50		50	3800				6010307	1	1	6011307	1	1	6012307	1	1									
358	50		50	4400																					
359	50		50	4400				6010302	1	1	6011302	1	1	6012302	1	1									
360	50		50	4400																					
361	50		50	5600																					
362	50		50	5600																					
363	50		50	5600																					
364	50		50	6200																					
365	50		50	6200																					
366	50		50	6200																					
367	100		50	6800																					
368	100		50	6800																					
369	100		50	7400																					
370	100		50	8000				6100306	1	1	6101306	1	1	6102306	1	1									
371	100		50	8600																					
372	100		50	9200																					
373	100		50	9200																					
374	100		50	9800				6100300	1	1	6101300	1	1	6102300	1	1									
375	100		50	9800																					
521	100		50	9800																					
522	100		50	10400																					
