questId	questName	questDesc	targetDesc	mapId	npcId	menuId
任务ID	任务名称	任务描述	任务目标描述	目标地图ID	目标NPC	对话菜单ID
5001	皇榜任务	帮我到朝歌拜访装备商人	到朝歌拜访装备商人	01_CG_zhucheng	01n022	1
5002	皇榜任务	帮我到朝歌拜访药品商	到朝歌拜访药商	01_CG_zhucheng	01n023	2
5003	皇榜任务	帮我到朝歌拜访财神	到朝歌拜访财神	01_CG_zhucheng	01n104	3
5004	皇榜任务	帮我到朝歌拜访通天教主	到朝歌拜访通天教主	01_CG_zhucheng	01n025	4
5005	皇榜任务	帮我到朝歌拜访太上老君	到朝歌拜访太上老君	01_CG_zhucheng	01n026	5
5006	皇榜任务	帮我到朝歌拜访元始天尊	到朝歌拜访元始天尊	01_CG_zhucheng	01n027	6
5007	皇榜任务	帮我到朝歌拜访太白金星	到朝歌拜访太白金星	01_CG_zhucheng	01n028	7
5008	皇榜任务	帮我到朝歌拜访封神榜管理员	到朝歌拜访封神榜管理员	01_CG_zhucheng	01n029	8
5009	皇榜任务	帮我到朝歌拜访皇榜任务管理员	到朝歌拜访皇榜任务管理员	01_CG_zhucheng	01n030	9
5010	皇榜任务	帮我到朝歌拜访周武王	到朝歌拜访周武王	01_CG_zhucheng	01n031	10
5011	皇榜任务	帮我到朝歌拜访姜子牙	到朝歌拜访姜子牙	01_CG_zhucheng	01n032	11
5012	皇榜任务	帮我到朝歌拜访哪吒	到朝歌拜访哪吒	01_CG_zhucheng	01n033	12
5013	皇榜任务	帮我到朝歌拜访金吒	到朝歌拜访金吒	01_CG_zhucheng	01n034	13
5014	皇榜任务	帮我到朝歌拜访木吒	到朝歌拜访木吒	01_CG_zhucheng	01n035	14
5015	皇榜任务	帮我到朝歌拜访杨戬	到朝歌拜访杨戬	01_CG_zhucheng	01n036	15
5016	皇榜任务	帮我到朝歌拜访李靖	到朝歌拜访李靖	01_CG_zhucheng	01n037	16
5017	皇榜任务	帮我到朝歌拜访魔礼海	到朝歌拜访魔礼海	01_CG_zhucheng	01n038	17
5018	皇榜任务	帮我到朝歌拜访魔礼青	到朝歌拜访魔礼青	01_CG_zhucheng	01n039	18
5019	皇榜任务	帮我到朝歌拜访魔礼寿	到朝歌拜访魔礼寿	01_CG_zhucheng	01n040	19
5020	皇榜任务	帮我到朝歌拜访魔礼红	到朝歌拜访魔礼红	01_CG_zhucheng	01n041	20
5021	皇榜任务	帮我到朝歌拜访狐精妲己	到朝歌拜访狐精妲己	01_CG_zhucheng	01n021	21
5022	皇榜任务	帮我到巨鹿拜访雷震子	到巨鹿拜访雷震子	01_GBT_gebi	01n042	22
5023	皇榜任务	帮我到巨鹿拜访云中子	到巨鹿拜访云中子	01_GBT_gebi	01n043	23
5024	皇榜任务	帮我到巨鹿拜访广成子	到巨鹿拜访广成子	01_GBT_gebi	01n044	24
5025	皇榜任务	帮我到巨鹿拜访燃灯道人	到巨鹿拜访燃灯道人	01_GBT_gebi	01n045	25
5026	皇榜任务	帮我到巨鹿拜访灵宝大法师	到巨鹿拜访灵宝大法师	01_GBT_gebi	01n046	26
5027	皇榜任务	帮我到巨鹿拜访赤脚大仙	到巨鹿拜访赤脚大仙	01_GBT_gebi	01n047	27
5028	皇榜任务	帮我到巨鹿拜访日游神	到巨鹿拜访日游神	01_GBT_gebi	01n048	28
5029	皇榜任务	帮我到轩辕洞拜访夜游神	到轩辕洞拜访夜游神	02_GBT_xuanyuandong	01n049	29
5030	皇榜任务	帮我到轩辕洞拜访太乙真人	到轩辕洞拜访太乙真人	02_GBT_xuanyuandong	01n050	30
5031	皇榜任务	帮我到轩辕洞拜访广成子	到轩辕洞拜访广成子	02_GBT_xuanyuandong	01n051	31
5032	皇榜任务	帮我到轩辕洞拜访道德真君	到轩辕洞拜访道德真君	02_GBT_xuanyuandong	01n052	32
5033	皇榜任务	帮我到轩辕洞拜访黄天化	到轩辕洞拜访黄天化	02_GBT_xuanyuandong	01n053	33
5034	皇榜任务	帮我到轩辕洞拜访余化	到轩辕洞拜访余化	02_GBT_xuanyuandong	01n054	34
5035	皇榜任务	帮我到轩辕洞拜访黄飞虎	到轩辕洞拜访黄飞虎	02_GBT_xuanyuandong	01n055	35
5036	皇榜任务	帮我到蚩尤古墓拜访杨戬	到蚩尤古墓拜访杨戬	01_CYGM_chiyoumu	01n056	36
5037	皇榜任务	帮我到蚩尤古墓拜访金吒	到蚩尤古墓拜访金吒	01_CYGM_chiyoumu	01n057	37
5038	皇榜任务	帮我到蚩尤古墓拜访木吒	到蚩尤古墓拜访木吒	01_CYGM_chiyoumu	01n058	38
5039	皇榜任务	帮我到蚩尤古墓拜访哪吒	到蚩尤古墓拜访哪吒	01_CYGM_chiyoumu	01n059	39
5040	皇榜任务	帮我到蚩尤古墓拜访韦护	到蚩尤古墓拜访韦护	01_CYGM_chiyoumu	01n060	40
5041	皇榜任务	帮我到蚩尤古墓拜访雷震子	到蚩尤古墓拜访雷震子	01_CYGM_chiyoumu	01n061	41
5042	皇榜任务	帮我到蚩尤古墓拜访李靖	到蚩尤古墓拜访李靖	01_CYGM_chiyoumu	01n062	42
5043	皇榜任务	帮我到南疆拜访姜子牙	到南疆拜访姜子牙	02_CYGM_nanjiang	01n063	43
5044	皇榜任务	帮我到南疆拜访申公豹	到南疆拜访申公豹	02_CYGM_nanjiang	01n064	44
5045	皇榜任务	帮我到南疆拜访妲己	到南疆拜访妲己	02_CYGM_nanjiang	01n065	45
5046	皇榜任务	帮我到南疆拜访无当圣母	到南疆拜访无当圣母	02_CYGM_nanjiang	01n066	46
5047	皇榜任务	帮我到南疆拜访慈航道人	到南疆拜访慈航道人	02_CYGM_nanjiang	01n067	47
5048	皇榜任务	帮我到南疆拜访普贤真人	到南疆拜访普贤真人	02_CYGM_nanjiang	01n068	48
5049	皇榜任务	帮我到南疆拜访文殊广法天尊	到南疆拜访文殊广法天尊	02_CYGM_nanjiang	01n069	49
5050	皇榜任务	帮我到孟津拜访广成子	到孟津拜访广成子	03_CYGM_mengjin	01n070	50
5051	皇榜任务	帮我到孟津拜访黄龙真人	到孟津拜访黄龙真人	03_CYGM_mengjin	01n071	51
5052	皇榜任务	帮我到孟津拜访太乙真人	到孟津拜访太乙真人	03_CYGM_mengjin	01n072	52
5053	皇榜任务	帮我到孟津拜访道行天尊	到孟津拜访道行天尊	03_CYGM_mengjin	01n073	53
