questId	questName	questDesc	targetDesc	mapId	count	minLevel	maxLevel
任务ID	任务名称	任务描述	任务目标描述	阶段地图ID	怪物数量	怪物\n等级下限	怪物\n等级上限
8001	轮回转盘	击杀等级25-35级怪物5只。	击杀等级25-35级怪物5只。	01_CYGM_chiyoumu	5	25	35
8002	轮回转盘	击杀等级25-35级怪物10只。	击杀等级25-35级怪物10只。	01_CYGM_chiyoumu	10	25	35
8003	轮回转盘	击杀等级25-35级怪物15只。	击杀等级25-35级怪物15只。	01_CYGM_chiyoumu	15	25	35
8004	轮回转盘	击杀等级25-35级怪物20只。	击杀等级25-35级怪物20只。	01_CYGM_chiyoumu	20	25	35
8005	轮回转盘	击杀等级30-40级怪物5只。	击杀等级30-40级怪物5只。	01_CYGM_chiyoumu	5	30	40
8006	轮回转盘	击杀等级30-40级怪物10只。	击杀等级30-40级怪物10只。	01_CYGM_chiyoumu	10	30	40
8007	轮回转盘	击杀等级30-40级怪物15只。	击杀等级30-40级怪物15只。	01_CYGM_chiyoumu	15	30	40
8008	轮回转盘	击杀等级30-40级怪物20只。	击杀等级30-40级怪物20只。	01_CYGM_chiyoumu	20	30	40
8009	轮回转盘	击杀等级35-45级怪物5只。	击杀等级35-45级怪物5只。	02_CYGM_nanjiang	5	35	45
8010	轮回转盘	击杀等级35-45级怪物10只。	击杀等级35-45级怪物10只。	02_CYGM_nanjiang	10	35	45
8011	轮回转盘	击杀等级35-45级怪物15只。	击杀等级35-45级怪物15只。	02_CYGM_nanjiang	15	35	45
8012	轮回转盘	击杀等级35-45级怪物20只。	击杀等级35-45级怪物20只。	02_CYGM_nanjiang	20	35	45
8013	轮回转盘	击杀等级40-50级怪物5只。	击杀等级40-50级怪物5只。	01_SSG_sanshanguan	5	40	50
8014	轮回转盘	击杀等级40-50级怪物10只。	击杀等级40-50级怪物10只。	01_SSG_sanshanguan	10	40	50
