questId	questName	questDesc	targetDesc	mapId	npcId	count
任务ID	任务名称	任务描述	任务目标描述	阶段地图ID	怪物ID	怪物数量
6001	皇榜任务	请消灭5只巫族蘑菇精。	消灭5只巫族蘑菇精	01_GBT_gebi	01xg012	5
6002	皇榜任务	请消灭5只巫族仙道。	消灭5只巫族仙道	01_GBT_gebi	01xg013	5
6003	皇榜任务	请消灭5只巫族战兽。	消灭5只巫族战兽	01_GBT_gebi	01xg014	5
6004	皇榜任务	请消灭5只巫族侍卫。	消灭5只巫族侍卫	01_GBT_gebi	01xg015	5
6005	皇榜任务	请消灭5只撸撸精。	消灭5只撸撸精	01_GBT_gebi	01xg016	5
6006	皇榜任务	请消灭10只巫族蘑菇精。	消灭10只巫族蘑菇精	01_GBT_gebi	01xg012	10
6007	皇榜任务	请消灭10只巫族仙道。	消灭10只巫族仙道	01_GBT_gebi	01xg013	10
6008	皇榜任务	请消灭10只巫族战兽。	消灭10只巫族战兽	01_GBT_gebi	01xg014	10
6009	皇榜任务	请消灭10只巫族侍卫。	消灭10只巫族侍卫	01_GBT_gebi	01xg015	10
6010	皇榜任务	请消灭10只撸撸精。	消灭10只撸撸精	01_GBT_gebi	01xg016	10
6011	皇榜任务	请消灭20只巫族蘑菇精。	消灭20只巫族蘑菇精	01_GBT_gebi	01xg012	20
6012	皇榜任务	请消灭20只巫族仙道。	消灭20只巫族仙道	01_GBT_gebi	01xg013	20
6013	皇榜任务	请消灭20只巫族战兽。	消灭20只巫族战兽	01_GBT_gebi	01xg014	20
6014	皇榜任务	请消灭20只巫族侍卫。	消灭20只巫族侍卫	01_GBT_gebi	01xg015	20
6015	皇榜任务	请消灭20只撸撸精。	消灭20只撸撸精	01_GBT_gebi	01xg016	20
6016	皇榜任务	请消灭50只巫族蘑菇精。	消灭50只巫族蘑菇精	01_GBT_gebi	01xg012	50
6017	皇榜任务	请消灭50只巫族仙道。	消灭50只巫族仙道	01_GBT_gebi	01xg013	50
6018	皇榜任务	请消灭50只巫族战兽。	消灭50只巫族战兽	01_GBT_gebi	01xg014	50
6019	皇榜任务	请消灭50只巫族侍卫。	消灭50只巫族侍卫	01_GBT_gebi	01xg015	50
6020	皇榜任务	请消灭50只撸撸精。	消灭50只撸撸精	01_GBT_gebi	01xg016	50
6021	皇榜任务	请消灭5只仓空道人。	消灭5只仓空道人	01_GBT_gebi	01xg017	5
6022	皇榜任务	请消灭5只仓空守卫。	消灭5只仓空守卫	01_GBT_gebi	01xg018	5
6023	皇榜任务	请消灭5只饿死鬼。	消灭5只饿死鬼	01_GBT_gebi	01xg019	5
6024	皇榜任务	请消灭5只魅惑蛇精。	消灭5只魅惑蛇精	02_GBT_xuanyuandong	01xg024	5
6025	皇榜任务	请消灭5只啐啐蛇。	消灭5只啐啐蛇	02_GBT_xuanyuandong	01xg026	5
6026	皇榜任务	请消灭5只仰天妖。	消灭5只仰天妖	02_GBT_xuanyuandong	01xg027	5
6027	皇榜任务	请消灭5只灼热丧尸。	消灭5只灼热丧尸	02_GBT_xuanyuandong	01xg028	5
6028	皇榜任务	请消灭5只刑天兽。	消灭5只刑天兽	02_GBT_xuanyuandong	01xg029	5
6029	皇榜任务	请消灭5只羊角执行官。	消灭5只羊角执行官	02_GBT_xuanyuandong	01xg023	5
6030	皇榜任务	请消灭5只鬼魅狐精。	消灭5只鬼魅狐精	02_GBT_xuanyuandong	01xg030	5
6031	皇榜任务	请消灭5只褐羽嚣乌。	消灭5只褐羽嚣乌	02_GBT_xuanyuandong	01xg031	5
6032	皇榜任务	消灭5只帝江守卫	消灭5只帝江守卫	01_CYGM_chiyoumu	01xg032	5
6033	皇榜任务	请消灭5只白无常。	消灭5只白无常	02_GBT_xuanyuandong	01xg020	5
6034	皇榜任务	请消灭5只黑无常。	消灭5只黑无常	02_GBT_xuanyuandong	01xg021	5
6035	皇榜任务	请消灭5只猎狗执行官。	消灭5只猎狗执行官	02_GBT_xuanyuandong	01xg022	5
6036	皇榜任务	消灭5只句芒卫士	消灭5只句芒卫士	01_CYGM_chiyoumu	01xg033	5
6037	皇榜任务	消灭5只蓐收卫士	消灭5只蓐收卫士	01_CYGM_chiyoumu	01xg034	5
6038	皇榜任务	请消灭10只仓空道人。	消灭10只仓空道人	01_GBT_gebi	01xg017	10
6039	皇榜任务	请消灭10只仓空守卫。	消灭10只仓空守卫	01_GBT_gebi	01xg018	10
6040	皇榜任务	请消灭10只饿死鬼。	消灭10只饿死鬼	01_GBT_gebi	01xg019	10
6041	皇榜任务	请消灭10只魅惑蛇精。	消灭10只魅惑蛇精	02_GBT_xuanyuandong	01xg024	10
6042	皇榜任务	请消灭10只啐啐蛇。	消灭10只啐啐蛇	02_GBT_xuanyuandong	01xg026	10
6043	皇榜任务	请消灭10只仰天妖。	消灭10只仰天妖	02_GBT_xuanyuandong	01xg027	10
6044	皇榜任务	请消灭10只灼热丧尸。	消灭10只灼热丧尸	02_GBT_xuanyuandong	01xg028	10
6045	皇榜任务	请消灭10只刑天兽。	消灭10只刑天兽	02_GBT_xuanyuandong	01xg029	10
6046	皇榜任务	请消灭10只羊角执行官。	消灭10只羊角执行官	02_GBT_xuanyuandong	01xg023	10
6047	皇榜任务	请消灭10只鬼魅狐精。	消灭10只鬼魅狐精	02_GBT_xuanyuandong	01xg030	10
6048	皇榜任务	请消灭10只褐羽嚣乌。	消灭10只褐羽嚣乌	02_GBT_xuanyuandong	01xg031	10
6049	皇榜任务	消灭10只帝江守卫	消灭10只帝江守卫	01_CYGM_chiyoumu	01xg032	10
6050	皇榜任务	请消灭10只白无常。	消灭10只白无常	02_GBT_xuanyuandong	01xg020	10
6051	皇榜任务	请消灭10只黑无常。	消灭10只黑无常	02_GBT_xuanyuandong	01xg021	10
6052	皇榜任务	请消灭10只猎狗执行官。	消灭10只猎狗执行官	02_GBT_xuanyuandong	01xg022	10
6053	皇榜任务	消灭10只句芒卫士	消灭10只句芒卫士	01_CYGM_chiyoumu	01xg033	10
6054	皇榜任务	消灭10只蓐收卫士	消灭10只蓐收卫士	01_CYGM_chiyoumu	01xg034	10
6055	皇榜任务	请消灭20只仓空道人。	消灭20只仓空道人	01_GBT_gebi	01xg017	20
6056	皇榜任务	请消灭20只仓空守卫。	消灭20只仓空守卫	01_GBT_gebi	01xg018	20
6057	皇榜任务	请消灭20只饿死鬼。	消灭20只饿死鬼	01_GBT_gebi	01xg019	20
6058	皇榜任务	请消灭20只魅惑蛇精。	消灭20只魅惑蛇精	02_GBT_xuanyuandong	01xg024	20
6059	皇榜任务	请消灭20只啐啐蛇。	消灭20只啐啐蛇	02_GBT_xuanyuandong	01xg026	20
6060	皇榜任务	请消灭20只仰天妖。	消灭20只仰天妖	02_GBT_xuanyuandong	01xg027	20
6061	皇榜任务	请消灭20只灼热丧尸。	消灭20只灼热丧尸	02_GBT_xuanyuandong	01xg028	20
6062	皇榜任务	请消灭20只刑天兽。	消灭20只刑天兽	02_GBT_xuanyuandong	01xg029	20
6063	皇榜任务	请消灭20只羊角执行官。	消灭20只羊角执行官	02_GBT_xuanyuandong	01xg023	20
6064	皇榜任务	请消灭20只鬼魅狐精。	消灭20只鬼魅狐精	02_GBT_xuanyuandong	01xg030	20
6065	皇榜任务	请消灭20只褐羽嚣乌。	消灭20只褐羽嚣乌	02_GBT_xuanyuandong	01xg031	20
6066	皇榜任务	消灭20只帝江守卫	消灭20只帝江守卫	01_CYGM_chiyoumu	01xg032	20
6067	皇榜任务	请消灭20只白无常。	消灭20只白无常	02_GBT_xuanyuandong	01xg020	20
6068	皇榜任务	请消灭20只黑无常。	消灭20只黑无常	02_GBT_xuanyuandong	01xg021	20
6069	皇榜任务	请消灭20只猎狗执行官。	消灭20只猎狗执行官	02_GBT_xuanyuandong	01xg022	20
6070	皇榜任务	消灭20只句芒卫士	消灭20只句芒卫士	01_CYGM_chiyoumu	01xg033	20
6071	皇榜任务	消灭20只蓐收卫士	消灭20只蓐收卫士	01_CYGM_chiyoumu	01xg034	20
6072	皇榜任务	请消灭50只仓空道人。	消灭50只仓空道人	01_GBT_gebi	01xg017	50
6073	皇榜任务	请消灭50只仓空守卫。	消灭50只仓空守卫	01_GBT_gebi	01xg018	50
6074	皇榜任务	请消灭50只饿死鬼。	消灭50只饿死鬼	01_GBT_gebi	01xg019	50
6075	皇榜任务	请消灭50只魅惑蛇精。	消灭50只魅惑蛇精	02_GBT_xuanyuandong	01xg024	50
6076	皇榜任务	请消灭50只啐啐蛇。	消灭50只啐啐蛇	02_GBT_xuanyuandong	01xg026	50
6077	皇榜任务	请消灭50只仰天妖。	消灭50只仰天妖	02_GBT_xuanyuandong	01xg027	50
6078	皇榜任务	请消灭50只灼热丧尸。	消灭50只灼热丧尸	02_GBT_xuanyuandong	01xg028	50
6079	皇榜任务	请消灭50只刑天兽。	消灭50只刑天兽	02_GBT_xuanyuandong	01xg029	50
6080	皇榜任务	请消灭50只羊角执行官。	消灭50只羊角执行官	02_GBT_xuanyuandong	01xg023	50
6081	皇榜任务	请消灭50只鬼魅狐精。	消灭50只鬼魅狐精	02_GBT_xuanyuandong	01xg030	50
6082	皇榜任务	请消灭50只褐羽嚣乌。	消灭50只褐羽嚣乌	02_GBT_xuanyuandong	01xg031	50
6083	皇榜任务	消灭50只帝江守卫	消灭50只帝江守卫	01_CYGM_chiyoumu	01xg032	50
6084	皇榜任务	请消灭50只白无常。	消灭50只白无常	02_GBT_xuanyuandong	01xg020	50
6085	皇榜任务	请消灭50只黑无常。	消灭50只黑无常	02_GBT_xuanyuandong	01xg021	50
6086	皇榜任务	请消灭50只猎狗执行官。	消灭50只猎狗执行官	02_GBT_xuanyuandong	01xg022	50
6087	皇榜任务	消灭50只句芒卫士	消灭50只句芒卫士	01_CYGM_chiyoumu	01xg033	50
6088	皇榜任务	消灭50只蓐收卫士	消灭50只蓐收卫士	01_CYGM_chiyoumu	01xg034	50
6089	皇榜任务	请消灭5只吊死鬼。	消灭5只吊死鬼	02_GBT_xuanyuandong	01xg025	5
6090	皇榜任务	消灭5只共工侍卫	消灭5只共工侍卫	01_CYGM_chiyoumu	01xg035	5
6091	皇榜任务	消灭5只祝融禁卫军	消灭5只祝融禁卫军	01_CYGM_chiyoumu	01xg036	5
6092	皇榜任务	消灭5只天吴护卫	消灭5只天吴护卫	01_CYGM_chiyoumu	01xg037	5
6093	皇榜任务	消灭5只强良卫士	消灭5只强良卫士	01_CYGM_chiyoumu	01xg038	5
6094	皇榜任务	消灭5只龠兹卫士	消灭5只龠兹卫士	01_CYGM_chiyoumu	01xg039	5
6095	皇榜任务	消灭5只玄冥护卫	消灭5只玄冥护卫	01_CYGM_chiyoumu	01xg040	5
6096	皇榜任务	消灭5只虚日鼠	消灭5只虚日鼠	02_CYGM_nanjiang	01xg041	5
6097	皇榜任务	消灭5只神秘看守	消灭5只神秘看守	02_CYGM_nanjiang	01xg042	5
6098	皇榜任务	消灭5只无当男宠	消灭5只无当男宠	02_CYGM_nanjiang	01xg043	5
6099	皇榜任务	请消灭10只吊死鬼。	消灭10只吊死鬼	02_GBT_xuanyuandong	01xg025	10
6100	皇榜任务	消灭10只共工侍卫	消灭10只共工侍卫	01_CYGM_chiyoumu	01xg035	10
6101	皇榜任务	消灭10只祝融禁卫军	消灭10只祝融禁卫军	01_CYGM_chiyoumu	01xg036	10
6102	皇榜任务	消灭10只天吴护卫	消灭10只天吴护卫	01_CYGM_chiyoumu	01xg037	10
6103	皇榜任务	消灭10只强良卫士	消灭10只强良卫士	01_CYGM_chiyoumu	01xg038	10
6104	皇榜任务	消灭10只龠兹卫士	消灭10只龠兹卫士	01_CYGM_chiyoumu	01xg039	10
6105	皇榜任务	消灭10只玄冥护卫	消灭10只玄冥护卫	01_CYGM_chiyoumu	01xg040	10
6106	皇榜任务	消灭10只虚日鼠	消灭10只虚日鼠	02_CYGM_nanjiang	01xg041	10
6107	皇榜任务	消灭10只神秘看守	消灭10只神秘看守	02_CYGM_nanjiang	01xg042	10
6108	皇榜任务	消灭10只无当男宠	消灭10只无当男宠	02_CYGM_nanjiang	01xg043	10
6109	皇榜任务	请消灭20只吊死鬼。	消灭20只吊死鬼	02_GBT_xuanyuandong	01xg025	20
6110	皇榜任务	消灭20只共工侍卫	消灭20只共工侍卫	01_CYGM_chiyoumu	01xg035	20
6111	皇榜任务	消灭20只祝融禁卫军	消灭20只祝融禁卫军	01_CYGM_chiyoumu	01xg036	20
6112	皇榜任务	消灭20只天吴护卫	消灭20只天吴护卫	01_CYGM_chiyoumu	01xg037	20
6113	皇榜任务	消灭20只强良卫士	消灭20只强良卫士	01_CYGM_chiyoumu	01xg038	20
6114	皇榜任务	消灭20只龠兹卫士	消灭20只龠兹卫士	01_CYGM_chiyoumu	01xg039	20
6115	皇榜任务	消灭20只玄冥护卫	消灭20只玄冥护卫	01_CYGM_chiyoumu	01xg040	20
6116	皇榜任务	消灭20只虚日鼠	消灭20只虚日鼠	02_CYGM_nanjiang	01xg041	20
6117	皇榜任务	消灭20只神秘看守	消灭20只神秘看守	02_CYGM_nanjiang	01xg042	20
6118	皇榜任务	消灭20只无当男宠	消灭20只无当男宠	02_CYGM_nanjiang	01xg043	20
6119	皇榜任务	请消灭50只吊死鬼。	消灭50只吊死鬼	02_GBT_xuanyuandong	01xg025	50
6120	皇榜任务	消灭50只共工侍卫	消灭50只共工侍卫	01_CYGM_chiyoumu	01xg035	50
6121	皇榜任务	消灭50只祝融禁卫军	消灭50只祝融禁卫军	01_CYGM_chiyoumu	01xg036	50
6122	皇榜任务	消灭50只天吴护卫	消灭50只天吴护卫	01_CYGM_chiyoumu	01xg037	50
6123	皇榜任务	消灭50只强良卫士	消灭50只强良卫士	01_CYGM_chiyoumu	01xg038	50
6124	皇榜任务	消灭50只龠兹卫士	消灭50只龠兹卫士	01_CYGM_chiyoumu	01xg039	50
6125	皇榜任务	消灭50只玄冥护卫	消灭50只玄冥护卫	01_CYGM_chiyoumu	01xg040	50
6126	皇榜任务	消灭50只虚日鼠	消灭50只虚日鼠	02_CYGM_nanjiang	01xg041	50
6127	皇榜任务	消灭50只神秘看守	消灭50只神秘看守	02_CYGM_nanjiang	01xg042	50
6128	皇榜任务	消灭50只无当男宠	消灭50只无当男宠	02_CYGM_nanjiang	01xg043	50
6129	皇榜任务	消灭5只截教教众	消灭5只截教教众	02_CYGM_nanjiang	01xg044	5
6130	皇榜任务	消灭5只截教弟子	消灭5只截教弟子	02_CYGM_nanjiang	01xg045	5
6131	皇榜任务	消灭5只陷仙剑守卫	消灭5只陷仙剑守卫	02_CYGM_nanjiang	01xg046	5
6132	皇榜任务	消灭5只戮仙剑守卫	消灭5只戮仙剑守卫	02_CYGM_nanjiang	01xg047	5
6133	皇榜任务	消灭5只绝仙剑守卫	消灭5只绝仙剑守卫	02_CYGM_nanjiang	01xg048	5
6134	皇榜任务	消灭5只诛仙剑守卫	消灭5只诛仙剑守卫	02_CYGM_nanjiang	01xg049	5
6135	皇榜任务	消灭5只截教新兵	消灭5只截教新兵	03_CYGM_mengjin	01xg050	5
6136	皇榜任务	消灭5只截教守卫	消灭5只截教守卫	03_CYGM_mengjin	01xg051	5
6137	皇榜任务	消灭5只截教卫士	消灭5只截教卫士	03_CYGM_mengjin	01xg052	5
6138	皇榜任务	消灭5只截教侍卫	消灭5只截教侍卫	03_CYGM_mengjin	01xg053	5
6139	皇榜任务	消灭5只截教斥候	消灭5只截教斥候	03_CYGM_mengjin	01xg054	5
6140	皇榜任务	消灭5只截教禁卫军	消灭5只截教禁卫军	03_CYGM_mengjin	01xg055	5
6141	皇榜任务	消灭10只截教教众	消灭10只截教教众	02_CYGM_nanjiang	01xg044	10
6142	皇榜任务	消灭10只截教弟子	消灭10只截教弟子	02_CYGM_nanjiang	01xg045	10
6143	皇榜任务	消灭10只陷仙剑守卫	消灭10只陷仙剑守卫	02_CYGM_nanjiang	01xg046	10
6144	皇榜任务	消灭10只戮仙剑守卫	消灭10只戮仙剑守卫	02_CYGM_nanjiang	01xg047	10
6145	皇榜任务	消灭10只绝仙剑守卫	消灭10只绝仙剑守卫	02_CYGM_nanjiang	01xg048	10
6146	皇榜任务	消灭10只诛仙剑守卫	消灭10只诛仙剑守卫	02_CYGM_nanjiang	01xg049	10
6147	皇榜任务	消灭10只截教新兵	消灭10只截教新兵	03_CYGM_mengjin	01xg050	10
6148	皇榜任务	消灭10只截教守卫	消灭10只截教守卫	03_CYGM_mengjin	01xg051	10
6149	皇榜任务	消灭10只截教卫士	消灭10只截教卫士	03_CYGM_mengjin	01xg052	10
6150	皇榜任务	消灭10只截教侍卫	消灭10只截教侍卫	03_CYGM_mengjin	01xg053	10
6151	皇榜任务	消灭10只截教斥候	消灭10只截教斥候	03_CYGM_mengjin	01xg054	10
6152	皇榜任务	消灭10只截教禁卫军	消灭10只截教禁卫军	03_CYGM_mengjin	01xg055	10
6153	皇榜任务	消灭20只截教教众	消灭20只截教教众	02_CYGM_nanjiang	01xg044	20
6154	皇榜任务	消灭20只截教弟子	消灭20只截教弟子	02_CYGM_nanjiang	01xg045	20
6155	皇榜任务	消灭20只陷仙剑守卫	消灭20只陷仙剑守卫	02_CYGM_nanjiang	01xg046	20
6156	皇榜任务	消灭20只戮仙剑守卫	消灭20只戮仙剑守卫	02_CYGM_nanjiang	01xg047	20
6157	皇榜任务	消灭20只绝仙剑守卫	消灭20只绝仙剑守卫	02_CYGM_nanjiang	01xg048	20
6158	皇榜任务	消灭20只诛仙剑守卫	消灭20只诛仙剑守卫	02_CYGM_nanjiang	01xg049	20
6159	皇榜任务	消灭20只截教新兵	消灭20只截教新兵	03_CYGM_mengjin	01xg050	20
6160	皇榜任务	消灭20只截教守卫	消灭20只截教守卫	03_CYGM_mengjin	01xg051	20
6161	皇榜任务	消灭20只截教卫士	消灭20只截教卫士	03_CYGM_mengjin	01xg052	20
6162	皇榜任务	消灭20只截教侍卫	消灭20只截教侍卫	03_CYGM_mengjin	01xg053	20
6163	皇榜任务	消灭20只截教斥候	消灭20只截教斥候	03_CYGM_mengjin	01xg054	20
6164	皇榜任务	消灭20只截教禁卫军	消灭20只截教禁卫军	03_CYGM_mengjin	01xg055	20
6165	皇榜任务	消灭50只截教教众	消灭50只截教教众	02_CYGM_nanjiang	01xg044	50
6166	皇榜任务	消灭50只截教弟子	消灭50只截教弟子	02_CYGM_nanjiang	01xg045	50
6167	皇榜任务	消灭50只陷仙剑守卫	消灭50只陷仙剑守卫	02_CYGM_nanjiang	01xg046	50
6168	皇榜任务	消灭50只戮仙剑守卫	消灭50只戮仙剑守卫	02_CYGM_nanjiang	01xg047	50
6169	皇榜任务	消灭50只绝仙剑守卫	消灭50只绝仙剑守卫	02_CYGM_nanjiang	01xg048	50
6170	皇榜任务	消灭50只诛仙剑守卫	消灭50只诛仙剑守卫	02_CYGM_nanjiang	01xg049	50
6171	皇榜任务	消灭50只截教新兵	消灭50只截教新兵	03_CYGM_mengjin	01xg050	50
6172	皇榜任务	消灭50只截教守卫	消灭50只截教守卫	03_CYGM_mengjin	01xg051	50
6173	皇榜任务	消灭50只截教卫士	消灭50只截教卫士	03_CYGM_mengjin	01xg052	50
6174	皇榜任务	消灭50只截教侍卫	消灭50只截教侍卫	03_CYGM_mengjin	01xg053	50
6175	皇榜任务	消灭50只截教斥候	消灭50只截教斥候	03_CYGM_mengjin	01xg054	50
6176	皇榜任务	消灭50只截教禁卫军	消灭50只截教禁卫军	03_CYGM_mengjin	01xg055	50
6177	皇榜任务	消灭5只截教统领	消灭5只截教统领	03_CYGM_mengjin	01xg056	5
6178	皇榜任务	消灭5只骁匪	消灭5只骁匪	01_SSG_sanshanguan	01xg057	5
6179	皇榜任务	消灭5只冰骄毒鼠	消灭5只冰骄毒鼠	01_SSG_sanshanguan	01xg058	5
6180	皇榜任务	消灭5只截教教众	消灭5只截教教众	01_SSG_sanshanguan	01xg059	5
6181	皇榜任务	消灭5只截教刺客	消灭5只截教刺客	01_SSG_sanshanguan	01xg060	5
6182	皇榜任务	消灭5只截教巫师	消灭5只截教巫师	01_SSG_sanshanguan	01xg061	5
6183	皇榜任务	消灭5只巫族首领	消灭5只巫族首领	01_SSG_sanshanguan	01xg062	5
6184	皇榜任务	消灭5只巫族傀夫	消灭5只巫族傀夫	01_SSG_sanshanguan	01xg063	5
6185	皇榜任务	消灭5只婴啼化蛇	消灭5只婴啼化蛇	01_SSG_sanshanguan	01xg064	5
6186	皇榜任务	消灭5只魔族水妖	消灭5只魔族水妖	02_SSG_youhongguan	01xg065	5
6187	皇榜任务	消灭5只魔族魔蛟	消灭5只魔族魔蛟	02_SSG_youhongguan	01xg066	5
6188	皇榜任务	消灭5只伏土孟极	消灭5只伏土孟极	02_SSG_youhongguan	01xg067	5
6189	皇榜任务	消灭5只北海卫兵	消灭5只北海卫兵	02_SSG_youhongguan	01xg068	5
