questId	questName	questDesc	targetDesc	countType	count
任务ID	任务名称	任务描述	任务目标描述	类型	次数
3501	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3502	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3503	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3504	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3505	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3506	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3507	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3508	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3509	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3510	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3511	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3512	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3513	北斗七星	轮回转盘投掷1次	轮回转盘投掷1次	7	1
3514	北斗七星	轮回转盘投掷3次	轮回转盘投掷3次	7	3
3515	北斗七星	轮回转盘投掷5次	轮回转盘投掷5次	7	5
3516	北斗七星	轮回转盘投掷10次	轮回转盘投掷10次	7	10
3517	北斗七星	进行洗炼3次	进行洗炼3次	11	3
3518	北斗七星	进行洗炼5次	进行洗炼5次	11	5
3519	北斗七星	进行洗炼10次	进行洗炼10次	11	10
3520	北斗七星	进行洗炼20次	进行洗炼20次	11	20
3521	北斗七星	强化装备1次	强化装备1次	1	1
3522	北斗七星	强化装备3次	强化装备3次	1	3
3523	北斗七星	强化装备5次	强化装备5次	1	5
3524	北斗七星	强化装备10次	强化装备10次	1	10
3525	北斗七星	使用轩辕鼎合成功能1次	使用轩辕鼎合成功能1次	10	1
3526	北斗七星	使用轩辕鼎合成功能3次	使用轩辕鼎合成功能3次	10	3
3527	北斗七星	使用轩辕鼎合成功能5次	使用轩辕鼎合成功能5次	10	5
3528	北斗七星	使用轩辕鼎合成功能10次	使用轩辕鼎合成功能10次	10	10
3529	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3530	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3531	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3532	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3533	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3534	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3535	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3536	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3537	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3538	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3539	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3540	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3541	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3542	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3543	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3544	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3545	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3546	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3547	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3548	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3549	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3550	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3551	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3552	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3553	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3554	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3555	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3556	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3557	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3558	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3559	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3560	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3561	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3562	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3563	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3564	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3565	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3566	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3567	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3568	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3569	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3570	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3571	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3572	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3573	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3574	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3575	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3576	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3577	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
