awardId	exp	zp	gameMoney	bindGold	contribute	factionMoney	goodsId1	goodsNum1	bind1	goodsId2	goodsNum2	bind2	goodsId3	goodsNum3	bind3
奖励ID	经验	真气	游戏币	绑金	门派贡献度	门派资金	物品1ID	物品1数量	物品1\n绑定类型	物品2ID	物品2数量	物品2\n绑定类型	物品3ID	物品3数量	物品3\n绑定类型
2001	7	7													
2002	7	7													
2003	7	7													
2004	7	7													
2005	7	7													
2501	7	7													
2502	7	7													
2503	7	7													
2504	7	7													
2505	7	7													
3001	7	7													
3002	7	7													
3003	7	7													
3004	7	7													
3005	7	7													
3501	7	7													
3502	7	7													
3503	7	7													
3504	7	7													
3505	7	7													
4001	7	7													
4002	7	7													
4003	7	7													
4004	7	7													
4005	7	7													
4501	7	7													
4502	7	7													
4503	7	7													
4504	7	7													
4505	7	7													
5001	7	7													
5002	7	7													
5003	7	7													
5004	7	7													
5005	7	7													
5501	7	7													
5502	7	7													
5503	7	7													
5504	7	7													
5505	7	7													
6001	7	7													
6002	7	7													
6003	7	7													
6004	7	7													
6005	7	7													
6501	7	7													
6502	7	7													
6503	7	7													
6504	7	7													
6505	7	7													
7001	7	7													
7002	7	7													
7003	7	7													
7004	7	7													
7005	7	7													
7501	7	7													
7502	7	7													
7503	7	7													
7504	7	7													
7505	7	7													
															
