roleLevel	awardId1	weight1	awardId2	weight2	awardId3	weight3	awardId4	weight4	awardId5	weight5
角色等级	奖励ID1	权重1	奖励ID2	权重2	奖励ID3	权重3	奖励ID4	权重4	奖励ID5	权重5
20	2001	1100	2002	1600	2003	1700	2004	5000	2005	600
21	2001	1100	2002	1600	2003	1700	2004	5000	2005	600
22	2001	1100	2002	1600	2003	1700	2004	5000	2005	600
23	2001	1100	2002	1600	2003	1700	2004	5000	2005	600
24	2001	1100	2002	1600	2003	1700	2004	5000	2005	600
25	2501	1100	2502	1600	2503	1700	2504	5000	2505	600
26	2501	1100	2502	1600	2503	1700	2504	5000	2505	600
27	2501	1100	2502	1600	2503	1700	2504	5000	2505	600
28	2501	1100	2502	1600	2503	1700	2504	5000	2505	600
29	2501	1100	2502	1600	2503	1700	2504	5000	2505	600
30	3001	1100	3002	1600	3003	1700	3004	5000	3005	600
31	3001	1160	3002	1660	3003	1780	3004	4800	3005	600
32	3001	1220	3002	1720	3003	1860	3004	4600	3005	600
33	3001	1280	3002	1780	3003	1940	3004	4400	3005	600
34	3001	1340	3002	1840	3003	2020	3004	4200	3005	600
35	3501	1400	3502	1900	3503	2100	3504	4000	3505	600
36	3501	1460	3502	1960	3503	2180	3504	3800	3505	600
37	3501	1520	3502	2020	3503	2260	3504	3600	3505	600
38	3501	1580	3502	2080	3503	2340	3504	3400	3505	600
39	3501	1640	3502	2140	3503	2320	3504	3300	3505	600
40	4001	1700	4002	2200	4003	2200	4004	3300	4005	600
41	4001	1750	4002	2250	4003	2250	4004	3150	4005	600
42	4001	1800	4002	2300	4003	2300	4004	3000	4005	600
43	4001	1850	4002	2350	4003	2350	4004	2850	4005	600
44	4001	1900	4002	2400	4003	2400	4004	2700	4005	600
45	4501	1970	4502	2470	4503	2460	4504	2500	4505	600
46	4501	1950	4502	2500	4503	2500	4504	2450	4505	600
47	4501	2000	4502	2500	4503	2500	4504	2400	4505	600
48	4501	2000	4502	2525	4503	2525	4504	2350	4505	600
49	4501	2000	4502	2550	4503	2550	4504	2300	4505	600
50	5001	2000	5002	2575	5003	2575	5004	2250	5005	600
51	5001	2000	5002	2600	5003	2600	5004	2200	5005	600
52	5001	2000	5002	2625	5003	2625	5004	2150	5005	600
53	5001	2000	5002	2650	5003	2650	5004	2100	5005	600
54	5001	2000	5002	2675	5003	2675	5004	2050	5005	600
55	5501	2100	5502	2600	5503	2700	5504	2000	5505	600
56	5501	2100	5502	2600	5503	2700	5504	2000	5505	600
57	5501	2100	5502	2600	5503	2700	5504	2000	5505	600
58	5501	2100	5502	2600	5503	2700	5504	2000	5505	600
59	5501	2100	5502	2600	5503	2700	5504	2000	5505	600
60	6001	2100	6002	2600	6003	2700	6004	2000	6005	600
61	6001	2100	6002	2600	6003	2700	6004	2000	6005	600
62	6001	2100	6002	2600	6003	2700	6004	2000	6005	600
63	6001	2100	6002	2600	6003	2700	6004	2000	6005	600
64	6001	2100	6002	2600	6003	2700	6004	2000	6005	600
65	6501	2100	6502	2600	6503	2700	6504	2000	6505	600
66	6501	2100	6502	2600	6503	2700	6504	2000	6505	600
67	6501	2100	6502	2600	6503	2700	6504	2000	6505	600
68	6501	2100	6502	2600	6503	2700	6504	2000	6505	600
69	6501	2100	6502	2600	6503	2700	6504	2000	6505	600
70	7001	2100	7002	2600	7003	2700	7004	2000	7005	600
71	7001	2100	7002	2600	7003	2700	7004	2000	7005	600
72	7001	2100	7002	2600	7003	2700	7004	2000	7005	600
73	7001	2100	7002	2600	7003	2700	7004	2000	7005	600
74	7001	2100	7002	2600	7003	2700	7004	2000	7005	600
75	7501	2100	7502	2600	7503	2700	7504	2000	7505	600
76	7501	2100	7502	2600	7503	2700	7504	2000	7505	600
77	7501	2100	7502	2600	7503	2700	7504	2000	7505	600
78	7501	2100	7502	2600	7503	2700	7504	2000	7505	600
79	7501	2100	7502	2600	7503	2700	7504	2000	7505	600
80	7501	2100	7502	2600	7503	2700	7504	2000	7505	600
