roleLevel	setId1	weight1	setId2	weight2	setId3	weight3	setId4	weight4	setId5	weight5	setId6	weight6	setId7	weight7
角色等级	任务集合1	集合1权重	任务集合2	集合2权重	任务集合3	集合3权重	任务集合4	集合4权重	任务集合5	集合5权重	任务集合6	集合6权重	任务集合7	集合7权重
20	2501	1500	2502	2500	2503	3000	2505	1500	2506	1500				
21	2501	1500	2502	2500	2503	3000	2505	1500	2506	1500				
22	2501	1500	2502	2500	2503	3000	2505	1500	2506	1500				
23	2501	1500	2502	2500	2503	3000	2505	1500	2506	1500				
24	2501	1500	2502	2500	2503	3000	2505	1500	2506	1500				
25	2501	1500	2502	2500	2503	3000	2505	1500	2506	1500				
26	2501	1500	2502	2500	2503	3000	2505	1500	2506	1500				
27	2501	1500	2502	2500	2503	3000	2505	1500	2506	1500				
28	2501	1500	2502	2500	2503	3000	2505	1500	2506	1500				
29	2501	1500	2502	2500	2503	3000	2505	1500	2506	1500				
30	3001	1000	3002	2000	3003	2500	3004	2000	3005	1000	3006	1500		
31	3001	1000	3002	2000	3003	2500	3004	2000	3005	1000	3006	1500		
32	3001	1000	3002	2000	3003	2500	3004	2000	3005	1000	3006	1500		
33	3001	1000	3002	2000	3003	2500	3004	2000	3005	1000	3006	1500		
34	3001	1000	3002	2000	3003	2500	3004	2000	3005	1000	3006	1500		
35	3501	1000	3502	2000	3503	2500	3504	2000	3505	1000	3506	1500		
36	3501	1000	3502	2000	3503	2500	3504	2000	3505	1000	3506	1500		
37	3501	1000	3502	2000	3503	2500	3504	2000	3505	1000	3506	1500		
38	3501	1000	3502	2000	3503	2500	3504	2000	3505	1000	3506	1500		
39	3501	1000	3502	2000	3503	2500	3504	2000	3505	1000	3506	1500		
40	4001	1000	4002	2000	4003	2500	4004	2000	4005	1000	4006	1500		
41	4001	1000	4002	2000	4003	2500	4004	2000	4005	1000	4006	1500		
42	4001	1000	4002	2000	4003	2500	4004	2000	4005	1000	4006	1500		
43	4001	1000	4002	2000	4003	2500	4004	2000	4005	1000	4006	1500		
44	4001	1000	4002	2000	4003	2500	4004	2000	4005	1000	4006	1500		
45	4501	1000	4502	2000	4503	2500	4504	2000	4505	1000	4506	1500		
46	4501	1000	4502	2000	4503	2500	4504	2000	4505	1000	4506	1500		
47	4501	1000	4502	2000	4503	2500	4504	2000	4505	1000	4506	1500		
48	4501	1000	4502	2000	4503	2500	4504	2000	4505	1000	4506	1500		
49	4501	1000	4502	2000	4503	2500	4504	2000	4505	1000	4506	1500		
50	5001	1000	5002	2000	5003	2500	5004	2000	5005	1000	5006	1500		
51	5001	1000	5002	2000	5003	2500	5004	2000	5005	1000	5006	1500		
52	5001	1000	5002	2000	5003	2500	5004	2000	5005	1000	5006	1500		
53	5001	1000	5002	2000	5003	2500	5004	2000	5005	1000	5006	1500		
54	5001	1000	5002	2000	5003	2500	5004	2000	5005	1000	5006	1500		
55	5501	1000	5502	2000	5503	2500	5504	2000	5505	1000	5506	1500		
56	5501	1000	5502	2000	5503	2500	5504	2000	5505	1000	5506	1500		
57	5501	1000	5502	2000	5503	2500	5504	2000	5505	1000	5506	1500		
58	5501	1000	5502	2000	5503	2500	5504	2000	5505	1000	5506	1500		
59	5501	1000	5502	2000	5503	2500	5504	2000	5505	1000	5506	1500		
60	6001	1000	6002	2000	6003	2500	6004	2000	6005	1000	6006	1500		
61	6001	1000	6002	2000	6003	2500	6004	2000	6005	1000	6006	1500		
62	6001	1000	6002	2000	6003	2500	6004	2000	6005	1000	6006	1500		
63	6001	1000	6002	2000	6003	2500	6004	2000	6005	1000	6006	1500		
64	6001	1000	6002	2000	6003	2500	6004	2000	6005	1000	6006	1500		
65	6501	1000	6502	2000	6503	2500	6504	2000	6505	1000	6506	1500		
66	6501	1000	6502	2000	6503	2500	6504	2000	6505	1000	6506	1500		
67	6501	1000	6502	2000	6503	2500	6504	2000	6505	1000	6506	1500		
68	6501	1000	6502	2000	6503	2500	6504	2000	6505	1000	6506	1500		
69	6501	1000	6502	2000	6503	2500	6504	2000	6505	1000	6506	1500		
70	7001	1000	7002	2000	7003	2500	7004	2000	7005	1000	7006	1500		
71	7001	1000	7002	2000	7003	2500	7004	2000	7005	1000	7006	1500		
72	7001	1000	7002	2000	7003	2500	7004	2000	7005	1000	7006	1500		
73	7001	1000	7002	2000	7003	2500	7004	2000	7005	1000	7006	1500		
74	7001	1000	7002	2000	7003	2500	7004	2000	7005	1000	7006	1500		
75	7501	1000	7502	2000	7503	2500	7504	2000	7505	1000	7506	1500		
76	7501	1000	7502	2000	7503	2500	7504	2000	7505	1000	7506	1500		
77	7501	1000	7502	2000	7503	2500	7504	2000	7505	1000	7506	1500		
78	7501	1000	7502	2000	7503	2500	7504	2000	7505	1000	7506	1500		
79	7501	1000	7502	2000	7503	2500	7504	2000	7505	1000	7506	1500		
80	8001	1000	8002	2000	8003	2500	8004	2000	8005	1000	8006	1500		
