id	name	sortRule	refreshRule	rewardRule	type	subType	tagResId	disCount	rewardCycleType	rewardTime	broadcastRank	mailDesc
id	名称	排序规则	刷新规则	领奖规则	排行逻辑分类	排行小类	页签资源ID	排行显示条数	世界排行领奖周期类型	世界排行领奖时间	走马灯名次限制	邮件内容
1	总战斗力榜	1、排位顺序以角色战斗力决定。\n2、神兽变身时额外附加的战力将被一直计入。	每小时整点评选出总排行的前100名		1	-1	10	100				
2	战士	1、排位顺序以角色战斗力决定。\n2、神兽变身时额外附加的战力将被一直计入。	每小时整点评选出总排行的前100名		1	0	403	100				
3	法师	1、排位顺序以角色战斗力决定。\n2、神兽变身时额外附加的战力将被一直计入。	每小时整点评选出总排行的前100名		1	1	405	100				
4	弓箭	1、排位顺序以角色战斗力决定。\n2、神兽变身时额外附加的战力将被一直计入。	每小时整点评选出总排行的前100名		1	2	407	100				
5	总等级排行	排位顺序以玩家角色等级决定，若等级相同，则经验值较多的角色排名更高。	每小时整点评选出总排行的前100名		2	-1	10	100				
6	战士	排位顺序以玩家角色等级决定，若等级相同，则经验值较多的角色排名更高。	每小时整点评选出总排行的前100名		2	0	403	100				
7	法师	排位顺序以玩家角色等级决定，若等级相同，则经验值较多的角色排名更高。	每小时整点评选出总排行的前100名		2	1	405	100				
8	弓箭	排位顺序以玩家角色等级决定，若等级相同，则经验值较多的角色排名更高。	每小时整点评选出总排行的前100名		2	2	407	100				
9	总财富排行	排位顺序以角色当前有的金币数量决定。	每小时整点评选出总排行的前100名	上榜玩家可根据具体名次在领奖时间查收系统邮件来领取奖励	3	-1	10	100	1	0-0		恭喜您在${rewardTime}，取得了${rankName}排行榜第${rank}的好成绩，请再接再厉勇夺新高！\n
10	战士	排位顺序以角色当前有的金币数量决定。	每小时整点评选出总排行的前100名		3	0	403	100				
11	法师	排位顺序以角色当前有的金币数量决定。	每小时整点评选出总排行的前100名		3	1	405	100				
12	弓箭	排位顺序以角色当前有的金币数量决定。	每小时整点评选出总排行的前100名		3	2	407	100				
13	总神兽战斗力榜	排位顺序以角色养成的神兽战斗力决定。	每小时整点评选出总排行的前100名		4	-1	10	100				
