rankKey	rankStart	rankEnd	bindMoney	silverMoney	goods1	num1	bind1	goods2	num2	bind2	goods3	num3	bind3	goods4	num4	bind4	goods5	num5	bind5
排行榜key	排行上线	排行下线	绑金	游戏币	物品id	物品数量	绑定类型	物品id	物品数量	绑定类型	物品id	物品数量	绑定类型	物品id	物品数量	绑定类型	物品id	物品数量	绑定类型
9551801	1	1			200021	1	1												
9551802	2	2			200020	1	1												
9551803	3	3			200019	1	1												
39551801	1	1			200027	1	1												
39551802	2	2			200026	1	1												
39551803	3	3			200025	1	1												
47551801	1	1			200030	1	1												
47551802	2	2			200029	1	1												
47551803	3	3			200028	1	1												
50551801	1	1			200024	1	1												
50551802	2	2			200023	1	1												
50551803	3	3			200022	1	1												
60551801	1	1			200033	1	1												
60551802	2	2			200032	1	1												
60551803	3	3			200031	1	1												
