level	maxHP	maxMP	atk 	rit 	upExp	maxExp	baseMaxMp	baseMaxHp	maxPower
等级	生命上限	法力上限	攻击力	防御力	升至下一级所需经验	最大储存经验	基本法力上限	基本生命值上限	最大体力值
1	810	405	108	65	600	600	405	810	10
2	870	435	116	70	2000	2000	435	870	20
3	930	465	124	74	4300	4300	465	930	30
4	990	495	132	79	7200	7200	495	990	40
5	1050	525	140	84	11200	11200	525	1050	50
6	1110	555	148	89	16400	16400	555	1110	60
7	1170	585	156	94	22500	22500	585	1170	70
8	1230	615	164	98	30000	30000	615	1230	80
9	1290	645	172	103	38500	38500	645	1290	90
10	1350	675	180	108	48000	48000	675	1350	100
11	1418	709	189	113	58500	58500	709	1418	110
12	1485	743	198	119	70700	70700	743	1485	120
13	1553	776	207	124	84000	84000	776	1553	130
14	1620	810	216	130	99200	99200	810	1620	140
15	1688	844	225	135	114700	114700	844	1688	150
16	1755	878	234	140	132300	132300	878	1755	160
17	1823	911	243	146	151000	151000	911	1823	170
18	1890	945	252	151	171000	171000	945	1890	180
19	1958	979	261	157	193300	193300	979	1958	190
20	2025	1013	270	162	216700	216700	1013	2025	200
21	2100	1050	280	168	240300	240300	1050	2100	210
22	2175	1088	290	174	266400	266400	1088	2175	220
23	2250	1125	300	180	295000	295000	1125	2250	230
24	2325	1163	310	186	323700	323700	1163	2325	240
25	2400	1200	320	192	355000	355000	1200	2400	250
26	2475	1238	330	198	386400	386400	1238	2475	260
27	2550	1275	340	204	420500	420500	1275	2550	270
28	2625	1313	350	210	456000	456000	1313	2625	280
29	2700	1350	360	216	494500	494500	1350	2700	290
30	2775	1388	370	222	532800	532800	1388	2775	300
31	2858	1429	381	229	572500	572500	1429	2858	310
32	2940	1470	392	235	615400	615400	1470	2940	320
33	3023	1511	403	242	659800	659800	1511	3023	330
34	3105	1553	414	248	705600	705600	1553	3105	340
35	3188	1594	425	255	753000	753000	1594	3188	350
36	3270	1635	436	262	801800	801800	1635	3270	360
37	3353	1676	447	268	852100	852100	1676	3353	370
38	3435	1718	458	275	906000	906000	1718	3435	380
39	3518	1759	469	281	959400	959400	1759	3518	390
40	3600	1800	480	288	2024400	2024400	1800	3600	400
41	3690	1845	492	295	2107000	2107000	1845	3690	410
