index	minLevel	maxLevel	time	bindMoney	silverMoney	exp	goodsId1	goodsNum1	bind1	goodsId2	goodsNum2	bind2	goodsId3	goodsNum3	bind3
奖励次数	等级下限	等级上限	倒计时间\n(单位秒)	绑金	银币	经验	奖励1ID	奖励1数量	奖励1\n绑定类型	奖励2ID	奖励2数量	奖励2\n绑定类型	奖励3ID	奖励3数量	奖励3\n绑定类型
1	17	29	60				23001	10	1	23002	10	1			
2	17	29	300				23001	20	1	23002	20	1			
3	17	29	600				77777	5	3						
4	17	29	900				71004	4	1						
5	17	29	1800				71001	1	1						
6	17	29	3600	5			77779	1	1						
															
1	30	39	60				23001	30	1	23002	30	1			
2	30	39	300				77777	5	1						
3	30	39	600				71004	4	1						
4	30	39	900				71001	1	1						
5	30	39	1800				77779	1	1						
6	30	39	3600	5			9015	2	1						
															
1	40	49	60				24001	30	1	24002	30	1			
2	40	49	300				77777	5	1						
3	40	49	600				71004	4	1						
4	40	49	900				71001	1	1						
5	40	49	1800				77779	1	1	73984	1	1			
6	40	49	3600	5			9016	2	1						
															
1	50	59	60				25001	30	1	25002	30	1			
2	50	59	300				77777	5	1						
3	50	59	600				71004	4	1						
4	50	59	900				71001	1	1						
5	50	59	1800				77779	1	1	73984	1	1			
6	50	59	3600	5			9016	2	1						
															
1	60	69	60				26001	30	1	26002	30	1			
2	60	69	300				77777	5	1						
3	60	69	600				71004	4	1						
4	60	69	900				71001	1	1						
5	60	69	1800				77779	1	1	73984	1	1			
6	60	69	3600	5			9016	3	1						
															
1	70	80	60				26001	30	1	26002	30	1			
2	70	80	300				77777	5	1						
3	70	80	600				71004	4	1						
4	70	80	900				71001	1	1						
5	70	80	1800				77779	1	1	73984	1	1			
6	70	80	3600	5			9016	3	1						
