mapId	campId	rebornMapId	mapX	mapY	rebornPlace
地图ID	阵营	地图编号	横坐标	纵坐标	是否可原地复活
01_KLS_xinshoucun	0	01_KLS_xinshoucun	346	369	1
01_XYS_xuanyuanshan	1	01_XYS_xuanyuanshan	346	369	1
01_HGS_huaguoshan	2	01_HGS_huaguoshan	346	369	1
04_KLS_xiqi	0	04_KLS_xiqi	1708	1305	1
02_XYS_yuxugong	1	02_XYS_yuxugong	1708	1305	1
02_HGS_aolaiguo	2	02_HGS_aolaiguo	1708	1305	1
03_KLS_jiuyouzhidi	0	03_KLS_jiuyouzhidi	398	265	1
03_XYS_fangcun	1	03_XYS_fangcun	398	265	1
03_HGS_wuya	2	03_HGS_wuya	398	265	1
01_KLS_xinshoucun	1	01_KLS_xinshoucun	346	369	1
01_XYS_xuanyuanshan	2	01_XYS_xuanyuanshan	346	369	1
01_HGS_huaguoshan	0	01_HGS_huaguoshan	346	369	1
04_KLS_xiqi	1	04_KLS_xiqi	1708	1305	1
02_XYS_yuxugong	2	02_XYS_yuxugong	1708	1305	1
02_HGS_aolaiguo	0	02_HGS_aolaiguo	1708	1305	1
03_KLS_jiuyouzhidi	1	03_KLS_jiuyouzhidi	398	265	1
03_XYS_fangcun	2	03_XYS_fangcun	398	265	1
03_HGS_wuya	0	03_HGS_wuya	398	265	1
01_KLS_xinshoucun	2	01_KLS_xinshoucun	346	369	1
01_XYS_xuanyuanshan	0	01_XYS_xuanyuanshan	346	369	1
01_HGS_huaguoshan	1	01_HGS_huaguoshan	346	369	1
04_KLS_xiqi	2	04_KLS_xiqi	1708	1305	1
02_XYS_yuxugong	0	02_XYS_yuxugong	1708	1305	1
02_HGS_aolaiguo	1	02_HGS_aolaiguo	1708	1305	1
03_KLS_jiuyouzhidi	2	03_KLS_jiuyouzhidi	398	265	1
03_XYS_fangcun	0	03_XYS_fangcun	398	265	1
03_HGS_wuya	1	03_HGS_wuya	398	265	1
01_FBCSS_caishenshan	0	01_FBCSS_caishenshan	1305	908	0
01_FBCSS_caishenshan	1	01_FBCSS_caishenshan	1305	908	0
01_FBCSS_caishenshan	2	01_FBCSS_caishenshan	1305	908	0
01_FBKLS_kuloushan	0	01_FBKLS_kuloushan	1739	1268	0
01_FBKLS_kuloushan	1	01_FBKLS_kuloushan	1739	1268	0
01_FBKLS_kuloushan	2	01_FBKLS_kuloushan	1739	1268	0
01_FBQLDT_qinglongdongtian	0	01_FBQLDT_qinglongdongtian	1478	1384	0
01_FBQLDT_qinglongdongtian	1	01_FBQLDT_qinglongdongtian	1478	1384	0
01_FBQLDT_qinglongdongtian	2	01_FBQLDT_qinglongdongtian	1478	1384	0
01_FBBGD_baigudong	0	01_FBBGD_baigudong	1357	986	0
01_FBBGD_baigudong	1	01_FBBGD_baigudong	1357	986	0
01_FBBGD_baigudong	2	01_FBBGD_baigudong	1357	986	0
01_FBBDXG_beidouxinggong	0	01_FBBDXG_beidouxinggong	779	631	0
01_FBBDXG_beidouxinggong	1	01_FBBDXG_beidouxinggong	779	631	0
01_FBBDXG_beidouxinggong	2	01_FBBDXG_beidouxinggong	779	631	0
pvp_01	0	01_CG_zhucheng	1954	1327	1
pvp_01	1	01_CG_zhucheng	1954	1327	1
pvp_01	2	01_CG_zhucheng	1954	1327	1
pvp_02	0	01_CG_zhucheng	1954	1327	1
pvp_02	1	01_CG_zhucheng	1954	1327	1
pvp_02	2	01_CG_zhucheng	1954	1327	1
pvp_03	0	01_CG_zhucheng	1954	1327	1
pvp_03	1	01_CG_zhucheng	1954	1327	1
pvp_03	2	01_CG_zhucheng	1954	1327	1
02_GBT_xuanyuandong	0	02_GBT_xuanyuandong	1828	379	1
02_GBT_xuanyuandong	1	02_GBT_xuanyuandong	1828	379	1
02_GBT_xuanyuandong	2	02_GBT_xuanyuandong	1828	379	1
01_GBT_gebi	0	01_GBT_gebi	2079	149	1
01_GBT_gebi	1	01_GBT_gebi	2079	149	1
01_GBT_gebi	2	01_GBT_gebi	2079	149	1
pvp_ziyuan	0	01_CG_zhucheng	1954	1327	1
pvp_ziyuan	1	01_CG_zhucheng	1954	1327	1
