goodsId	goldPrice	goldPriceDis	weight	number	decre	defaultBuyNum	startDateStr	endDateStr	startDay	endDay	bindType
物品ID	金条价格	金条折扣价格	抢购权重	抢购数量	递减量	默认购买数	售卖开始日期	售卖结束日期	售卖开始日期(天)\n开服的第X天	售卖结束日期(天)\n开服的第X天	物品绑定类型
2100004	5760	1800	1	5		1					0
2100003	480	260	1	5		1					0
70068	200	140	1	20	1	1					0
70032	40	28	1	40	1	1					0
70062	40	28	1	40	1	1					0
70013	200	140	1	20	1	1					0
88890	200	140	1	20	1	1					0
70042	40	28	1	40	1	1					0
70052	40	28	1	40	1	1					0
71040	999	498	1	10		1					0
6920402	900	488	1	5		1					0
6920410	1200	688	1	5		1					0
6920407	900	588	1	5		1					0
6920412	900	588	1	5		1					0
6920413	900	588	1	5		1					0
72002	40	28	1	40	1	1					0
80001	2500	1180	1	5		1					0
