goodsId	index	goldPrice	disGoldPrice	bindPrice	disBindPrice	defaultBuyNum	hot	derive	assist	fashion	goldBindType	startDateStr	endDateStr	startDay	endDay
物品id	显示优先级	金条价格	折扣金条价格	绑金价格	折扣绑金价格	默认购买数	热卖	强化	养成	时装	金条购买绑定类型	售卖开始日期	售卖结束日期	售卖开始日期(天)\n开服的第X天	售卖结束日期(天)\n开服的第X天
72001	3	10	10	10	10		1	1				2013-01-01	2033-01-01		
72002	4	40	40					1				2013-01-01	2033-01-01		
72004	4	10	10					1				2013-01-01	2033-01-01		
71004	4	2	2	1	1			1				2013-01-01	2033-01-01		
71005	4	8	5	4	4		1	1				2013-01-01	2033-01-01		
71007	4	10	10				1	1				2013-01-01	2033-01-01		
71008	4	50	50	50	50			1				2013-01-01	2033-01-01		
72003	4	160	160					1				2033-01-01	2033-01-01		
72005	4	40	40					1				2033-01-01	2033-01-01		
71006	4	20	15					1				2033-01-01	2033-01-01		
70031		10	10	10	10				1			2013-01-01	2033-01-01		
70032		40	40						1			2013-01-01	2033-01-01		
70061		10	10	10	10				1			2013-01-01	2033-01-01		
70062		40	40						1			2013-01-01	2033-01-01		
70041		10	10						1			2013-01-01	2033-01-01		
70051		10	10						1			2013-01-01	2033-01-01		
73962		10	10	10	10				1			2013-01-01	2033-01-01		
70012		50	50						1			2013-01-01	2033-01-01		
70068		200	200						1			2013-01-01	2033-01-01		
70033		160	160						1			2033-01-01	2033-01-01		
70063		160	160						1			2033-01-01	2033-01-01		
70042		40	40						1			2033-01-01	2033-01-01		
70052		40	40						1			2033-01-01	2033-01-01		
70013		200	200						1			2033-01-01	2033-01-01		
70014		800	500						1			2033-01-01	2033-01-01		
2100004	1	5760	1988				1					2013-01-01	2033-01-01		
2100003	2	480	288				1					2013-01-01	2033-01-01		
2100002	4	120	98				1					2013-01-01	2033-01-01		
73911	4	60	60				1					2013-01-01	2033-01-01		
77781	4	20	20				1					2013-01-01	2033-01-01		
9016	4	10	10				1					2013-01-01	2013-06-01		
20004	4	10	10				1					2013-01-01	2013-06-01		
88890	4	200	180				1					2013-01-01	2033-01-01		
77777	4	2	2				1					2013-01-01	2033-01-01		
77779	4	5	4	5	5		1					2013-01-01	2033-01-01		
71042	4	20	20				1					2013-01-01	2033-01-01		
71040	4	2000	999	2000	999		1					2013-01-01	2033-01-01		
71034	4	200	99	200	99		1					2013-01-01	2033-01-01		
88889	4	50	50				1					2033-01-01	2033-01-01		
88888	4	10	10				1					2033-01-01	2033-01-01		
71033	4	20	9				1					2033-01-01	2033-01-01		
80003		2000	660							1		2013-01-01	2033-01-01		
6910402		600	388							1		2013-01-01	2033-01-01		
6910410		1000	488							1		2013-01-01	2033-01-01		
6910407		600	488							1		2013-01-01	2033-01-01		
6910412		600	488							1		2013-01-01	2033-01-01		
6910413		600	488							1		2013-01-01	2033-01-01		
71043	4	50	50				1					2013-01-01	2033-01-01		
9277	0	60	50				1					2013-11-13	2013-11-15	11	300
9279	0	1200	998				1					2013-11-13	2013-11-15	11	300
73961	0	50	30				1					2013-11-13	2013-11-15	11	300
73960	0	10	10				1					2013-11-13	2013-11-15	11	300
9666	0	20	20				1					2013-10-01	2013-10-09		
9707	0	20	20				1					2013-10-11	2013-10-13		
9708	0	20	20				1					2013-10-14	2013-10-16		
															
															
															
															
9673	0	30	30				1					2013-11-10	2013-11-12		
9667	0	20	20				1					2013-11-10	2013-11-12		
															
9704	0	20	20				1					2013-11-13	2013-11-15		
9705	0	50	50				1					2013-11-13	2013-11-15		
															
9721	0	10	10				1					2013-11-16	2013-11-18		
9722	0	30	30				1					2013-11-16	2013-11-18		
															
9731	0	10	10				1					2013-11-19	2013-11-21		
9732	0	20	20				1					2013-11-19	2013-11-21		
															
9801	0	20	20				1					2013-10-22	2013-11-24		
9802	0	50	50				1					2013-10-22	2013-11-24		
9803	0	10	10				1					2013-10-22	2013-11-24		
73982	0	50	50				1					2013-01-01	2033-01-01		
															
9863	0	20	20				1					2013-11-11	2013-11-13		
9848	0	20	20				1					2013-11-10	2013-11-12		
