ruleId	id	goodsId	goodsNum	bindType	weight	moneyType	money
规则ID	id	物品ID	物品数量	绑定类型	权重	消耗的金钱类型	消耗的金钱数量
1	1	71045	1	0	2	4	150
1	2	71046	1	0	2	4	150
1	3	71047	1	0	2	4	150
1	4	73901	3	0	2	4	20
1	5	73902	3	0	2	4	40
1	6	73903	3	0	2	4	60
1	7	71040	2	0	3	4	600
1	8	71034	2	0	3	4	60
1	9	6920402	1	0	3	4	550
1	10	6920410	1	0	3	4	750
1	11	6920407	1	0	3	4	650
1	12	6920412	1	0	3	4	650
1	13	6920413	1	0	3	4	650
1	14	80001	1	0	3	4	1250
1	15	71001	2	0	2	4	10
1	16	71073	2	0	2	4	10
1	17	30101	2	0	2	4	10
1	18	30201	2	0	2	4	10
1	19	30301	2	0	2	4	10
1	20	30401	2	0	2	4	10
1	21	30501	2	0	2	4	10
1	22	71058	1	0	3	4	10
1	23	71059	1	0	3	4	10
1	24	71060	1	0	3	4	10
1	25	71061	1	0	3	4	10
1	26	71062	1	0	3	4	10
1	27	10201	2	0	3	4	40
1	28	10202	2	0	3	4	40
1	29	10203	2	0	3	4	40
1	30	10204	2	0	3	4	40
1	31	10205	2	0	3	4	40
1	32	2002	1	0	0	4	50
1	33	88890	2	0	3	4	150
1	34	9016	2	0	3	4	8
1	35	20018	1	0	3	4	500
1	36	71006	3	0	3	4	10
1	37	20004	2	0	3	4	8
1	38	70022	2	0	2	4	90
2	40	73911	1	1	3	3	60
2	41	71007	2	1	3	3	10
2	42	72004	2	1	3	3	10
2	43	77781	1	1	2	3	20
2	44	70012	2	1	3	3	50
2	45	70068	2	1	3	3	200
2	46	71034	2	1	3	3	60
2	47	71033	2	1	3	3	6
2	48	80003	1	1	3	3	660
2	49	6910402	1	1	3	3	388
2	50	6910410	1	1	3	3	488
2	51	6910407	1	1	3	3	488
2	52	6910412	1	1	3	3	488
2	53	6910413	1	1	3	3	488
2	54	71001	2	1	2	3	10
2	55	71073	2	1	2	3	10
2	56	10101	2	1	3	3	10
2	57	10102	2	1	3	3	10
2	58	10103	2	1	3	3	10
2	59	10104	2	1	3	3	10
2	60	10105	2	1	3	3	10
2	61	71053	1	1	3	3	10
2	62	71054	1	1	3	3	10
2	63	71055	1	1	3	3	10
2	64	71056	1	1	3	3	10
2	65	71057	1	1	3	3	10
2	66	2001	1	1	1	3	30
2	67	88889	2	1	3	3	40
2	68	20003	2	1	3	3	5
3	69	72001	2	1	3	5	8000
3	70	71005	2	1	3	5	4000
3	71	20002	2	1	3	5	1000
3	72	77777	2	1	3	5	1000
3	73	77779	2	1	3	5	1000
3	74	71033	2	1	3	5	1000
3	75	71042	2	1	3	5	5000
3	76	70001	10	1	3	5	1000
3	77	71034	2	1	3	5	5000
3	78	71048	1	1	3	5	5000
3	79	71049	1	1	3	5	5000
3	80	71050	1	1	3	5	5000
3	81	71051	1	1	3	5	5000
3	82	71052	1	1	3	5	5000
3	83	70031	2	1	1	5	8000
3	84	70041	2	1	1	5	8000
4	85	71045	1	0	2	4	150
4	86	71046	1	0	2	4	150
4	87	71047	1	0	2	4	150
4	88	73902	3	0	2	4	40
4	89	73903	3	0	2	4	60
4	90	73904	3	0	2	4	80
4	91	71040	2	0	3	4	600
4	92	71034	2	0	3	4	60
4	93	6920402	1	0	3	4	550
4	94	6920410	1	0	3	4	750
4	95	6920407	1	0	3	4	650
4	96	6920412	1	0	3	4	650
4	97	6920413	1	0	3	4	650
4	98	80001	1	0	3	4	1250
4	99	71001	2	0	2	4	10
4	100	71073	2	0	2	4	10
4	101	30101	2	0	2	4	10
4	102	30201	2	0	2	4	10
4	103	30301	2	0	2	4	10
4	104	30401	2	0	2	4	10
4	105	30501	2	0	2	4	10
4	106	71058	1	0	3	4	10
4	107	71059	1	0	3	4	10
4	108	71060	1	0	3	4	10
4	109	71061	1	0	3	4	10
4	110	71062	1	0	3	4	10
4	111	10201	2	0	3	4	40
4	112	10202	2	0	3	4	40
4	113	10203	2	0	3	4	40
4	114	10204	2	0	3	4	40
4	115	10205	2	0	3	4	40
4	116	2002	1	0	1	4	50
4	117	88890	2	0	3	4	150
4	118	9016	2	0	3	4	8
4	119	20018	1	0	3	4	500
4	120	72001	2	0	3	4	8
4	121	71005	2	0	3	4	4
4	122	70031	2	0	3	4	8
4	123	70041	2	0	3	4	8
4	124	71007	2	0	3	4	8
4	125	72004	2	0	3	4	8
4	126	71002	2	0	3	4	20
4	127	71006	2	0	3	4	10
4	128	20004	2	0	3	4	8
4	129	70022	2	0	2	4	90
5	131	73911	1	1	3	3	60
5	132	71007	2	1	3	3	10
5	133	72004	2	1	3	3	10
5	134	77781	2	1	2	3	20
5	135	70012	2	1	3	3	50
5	136	70068	2	1	3	3	200
5	137	71034	2	1	3	3	60
5	138	71033	2	1	3	3	6
5	139	80003	1	1	3	3	660
5	140	6910402	1	1	3	3	388
5	141	6910410	1	1	3	3	488
5	142	6910407	1	1	3	3	488
5	143	6910412	1	1	3	3	488
5	144	6910413	1	1	3	3	488
5	145	71001	2	1	2	3	10
5	146	71073	2	1	2	3	10
