skillId	level	roleLevel	innerLevel	gold	bindGold	gameMoney	zp	attrType	attrValue	goodsId	goodsNum	relySkillId	relySkillLevel	relyAttrType	relyAttrValue
技能ID	等级	角色等级	系统来源\n内部等级	元宝	绑元	游戏币	真气	消耗属性类型	消耗属性值	消耗物品ID	消耗物品数量	技能依赖	依赖技能级别	依赖属性类型	依赖属性值
101	1	1				110	55								
101	2	2				120	60								
101	3	3				130	65								
101	4	4				140	70								
101	5	5				150	75								
101	6	6				160	80								
101	7	7				170	85								
101	8	8				180	90								
101	9	9				190	95								
101	10	10				200	100								
101	11	11				210	105								
101	12	12				220	110								
101	13	13				230	115								
101	14	14				240	120								
101	15	15				250	125								
101	16	16				260	130								
101	17	17				270	135								
101	18	18				280	140								
101	19	19				290	145								
101	20	20				300	150								
102	1	1				110	55								
102	2	2				120	60								
102	3	3				130	65								
102	4	4				140	70								
102	5	5				150	75								
102	6	6				160	80								
102	7	7				170	85								
102	8	8				180	90								
102	9	9				190	95								
102	10	10				200	100								
102	11	11				210	105								
102	12	12				220	110								
102	13	13				230	115								
102	14	14				240	120								
102	15	15				250	125								
102	16	16				260	130								
102	17	17				270	135								
102	18	18				280	140								
102	19	19				290	145								
102	20	20				300	150								
103	1	1				110	55								
103	2	2				120	60								
103	3	3				130	65								
103	4	4				140	70								
103	5	5				150	75								
103	6	6				160	80								
103	7	7				170	85								
103	8	8				180	90								
103	9	9				190	95								
103	10	10				200	100								
103	11	11				210	105								
103	12	12				220	110								
103	13	13				230	115								
103	14	14				240	120								
103	15	15				250	125								
103	16	16				260	130								
103	17	17				270	135								
103	18	18				280	140								
103	19	19				290	145								
103	20	20				300	150								
104	1	1				110	55								
104	2	2				120	60								
104	3	3				130	65								
104	4	4				140	70								
104	5	5				150	75								
104	6	6				160	80								
104	7	7				170	85								
104	8	8				180	90								
104	9	9				190	95								
104	10	10				200	100								
104	11	11				210	105								
104	12	12				220	110								
104	13	13				230	115								
104	14	14				240	120								
104	15	15				250	125								
104	16	16				260	130								
104	17	17				270	135								
104	18	18				280	140								
104	19	19				290	145								
104	20	20				300	150								
105	1	1				110	55								
105	2	2				120	60								
105	3	3				130	65								
105	4	4				140	70								
105	5	5				150	75								
105	6	6				160	80								
105	7	7				170	85								
105	8	8				180	90								
105	9	9				190	95								
105	10	10				200	100								
105	11	11				210	105								
105	12	12				220	110								
105	13	13				230	115								
105	14	14				240	120								
105	15	15				250	125								
105	16	16				260	130								
105	17	17				270	135								
105	18	18				280	140								
105	19	19				290	145								
105	20	20				300	150								
106	1	1				110	55								
106	2	2				120	60								
106	3	3				130	65								
106	4	4				140	70								
106	5	5				150	75								
106	6	6				160	80								
106	7	7				170	85								
106	8	8				180	90								
106	9	9				190	95								
106	10	10				200	100								
106	11	11				210	105								
106	12	12				220	110								
106	13	13				230	115								
106	14	14				240	120								
106	15	15				250	125								
106	16	16				260	130								
106	17	17				270	135								
106	18	18				280	140								
106	19	19				290	145								
106	20	20				300	150								
107	1	1				110	55								
107	2	2				120	60								
107	3	3				130	65								
107	4	4				140	70								
107	5	5				150	75								
107	6	6				160	80								
107	7	7				170	85								
