buffId	name	level	iconId	effectId	timeType	categoryType	transNoClean	intervalTime	persistTime	dieLost	offlineLost	offlineTiming	beingType	groupId	replaceType	notReplaceDesc	hatredPercent	hatredAdd	desc
BUFF序号	BUFF名称	等级	图标ID	效果ID	buff时间类型\n[0单次|1持久]	buff分类\n[0 buff 1 debuff]	变身是否不清除\n[0 清除|1 不清除 ]	间隔时间\n（毫秒）	持续时间\n（毫秒）	死亡后是否消失	下线后是否消失	下线是否计时	buff类型	互斥组	替换类型	替换不能时说明\n[string]	伤血造成仇恨百分比	获得造成仇恨值	BUFF说明
1000	减速	1	0	701	1	1	1		4000	1	1	0	0	1000	1		10000	1	冲锋减少50%移动速度,持续4秒
1000	减速	2	0	701	1	1	1		4000	1	1	0	0	1000	1		10000	1	冲锋减少50%移动速度,持续4秒
1000	减速	3	0	701	1	1	1		4000	1	1	0	0	1000	1		10000	1	冲锋减少50%移动速度,持续4秒
1000	减速	4	0	701	1	1	1		4000	1	1	0	0	1000	1		10000	1	冲锋减少50%移动速度,持续4秒
1000	减速	5	0	701	1	1	1		4000	1	1	0	0	1000	1		10000	1	冲锋减少50%移动速度,持续4秒
1000	减速	6	0	701	1	1	1		4000	1	1	0	0	1000	1		10000	1	冲锋减少50%移动速度,持续4秒
1000	减速	7	0	701	1	1	1		4000	1	1	0	0	1000	1		10000	1	冲锋减少50%移动速度,持续4秒
1000	减速	8	0	701	1	1	1		4000	1	1	0	0	1000	1		10000	1	冲锋减少50%移动速度,持续4秒
1000	减速	9	0	701	1	1	1		4000	1	1	0	0	1000	1		10000	1	冲锋减少50%移动速度,持续4秒
1000	减速	10	0	701	1	1	1		4000	1	1	0	0	1000	1		10000	1	冲锋减少50%移动速度,持续4秒
1001	流血	1	1	702	1	1	1	1000	6000	1	1	0	0	1001	1		10000	1	流血效果,每秒造成50点神圣伤害,持续6秒
1001	流血	2	1	702	1	1	1	1000	6000	1	1	0	0	1001	1		10000	1	流血效果,每秒造成100点神圣伤害,持续6秒
1001	流血	3	1	702	1	1	1	1000	6000	1	1	0	0	1001	1		10000	1	流血效果,每秒造成150点神圣伤害,持续6秒
1001	流血	4	1	702	1	1	1	1000	6000	1	1	0	0	1001	1		10000	1	流血效果,每秒造成200点神圣伤害,持续6秒
1001	流血	5	1	702	1	1	1	1000	6000	1	1	0	0	1001	1		10000	1	流血效果,每秒造成250点神圣伤害,持续6秒
1001	流血	6	1	702	1	1	1	1000	6000	1	1	0	0	1001	1		10000	1	流血效果,每秒造成300点神圣伤害,持续6秒
1001	流血	7	1	702	1	1	1	1000	6000	1	1	0	0	1001	1		10000	1	流血效果,每秒造成350点神圣伤害,持续6秒
1001	流血	8	1	702	1	1	1	1000	6000	1	1	0	0	1001	1		10000	1	流血效果,每秒造成400点神圣伤害,持续6秒
1001	流血	9	1	702	1	1	1	1000	6000	1	1	0	0	1001	1		10000	1	流血效果,每秒造成450点神圣伤害,持续6秒
1001	流血	10	1	702	1	1	1	1000	6000	1	1	0	0	1001	1		10000	1	流血效果,每秒造成500点神圣伤害,持续6秒
2000	昏迷	1	2	703	1	1	1		2000	1	1	0	0	2000	1		10000	1	昏迷2秒
2000	昏迷	2	2	703	1	1	1		2000	1	1	0	0	2000	1		10000	1	昏迷2秒
2000	昏迷	3	2	703	1	1	1		2000	1	1	0	0	2000	1		10000	1	昏迷2秒
2000	昏迷	4	2	703	1	1	1		2000	1	1	0	0	2000	1		10000	1	昏迷2秒
2000	昏迷	5	2	703	1	1	1		2000	1	1	0	0	2000	1		10000	1	昏迷2秒
2000	昏迷	6	2	703	1	1	1		2000	1	1	0	0	2000	1		10000	1	昏迷2秒
2000	昏迷	7	2	703	1	1	1		2000	1	1	0	0	2000	1		10000	1	昏迷2秒
2000	昏迷	8	2	703	1	1	1		2000	1	1	0	0	2000	1		10000	1	昏迷2秒
2000	昏迷	9	2	703	1	1	1		2000	1	1	0	0	2000	1		10000	1	昏迷2秒
2000	昏迷	10	2	703	1	1	1		2000	1	1	0	0	2000	1		10000	1	昏迷2秒
