level	hurtRemit
等级	伤害减免系数
1	260
2	280
3	296
4	316
5	336
6	356
7	376
8	392
9	412
10	432
11	452
12	476
13	496
14	520
15	540
16	560
17	584
18	604
19	628
20	648
21	672
22	696
23	720
24	744
25	768
26	792
27	816
28	840
29	864
30	888
31	916
32	940
33	968
34	992
35	1020
36	1048
37	1072
38	1100
39	1124
40	1152
41	1180
42	1208
43	1240
44	1268
45	1296
46	1324
47	1352
48	1384
49	1412
50	1440
51	1472
52	1504
53	1532
54	1564
55	1596
56	1628
57	1660
58	1688
59	1720
60	1752
61	1784
62	1820
63	1852
64	1888
65	1920
66	1952
67	1988
68	2020
69	2056
70	2088
71	2124
72	2160
73	2196
74	2232
75	2268
76	2304
77	2340
78	2376
79	2412
80	2448
