skillId	name	level	iconId	effectId	actionId	musicId	shockRate	learnType	buffUse	skillApplyType	skillEffectType	hp	mp	cd	minUseRange	maxUseRange	serverTargetType	clientTargetType	angerValue	triggerPassive	useGlobalCd	hitChange	critChange	attackType	prepareArg	hatredPercent	hatredAdd	affectSkills	desc
技能ID	技能名字	等级	图标ID	效果ID	动作ID	声音Id	震动几率\n100=100%	技能获得方式\n[0出生就会|1学习|2变身]	是否为BUFF触发技能\n[0否|1是]	技能类型\n[0主|1被]	技能效果类型 （如果只加buff填2）\n[0物理|1法术|2其他]	消耗hp[int]	消耗mp[int]	cd(单位毫秒)	最小释放距离	最大释放距离	目标类型\n[0任意|1敌方|2己方]	客户端目标类型\n[0任意|1敌方|2友方|3自己]\n自己不会去判断施法距离，适合以自己为中心的群攻\n任意如果有目标则会判断距离，如果没目标则会直接释放（如果在攻击类型中选择加血，则如果选择地方就不会再判断距离，直接给自己释放技能）	获得气力值	是否触发被动技能效果(是否会触发双方的)\n[0否 1是]	是否公用公共cd\n[0否 1是]	命中修正[int]\n（100=1%）	暴击修正[int]\n（100=1%）	攻击类型[0默认|1普通攻击|2冲锋|3闪现|4复活|5加血]	预留参数	仇恨百分比[int]\n（1=1%）	额外附加仇恨	被动技能影响主动技能的id表(CD、耗蓝、耗HP、攻击距离、预留参数；用,分割；影响全部填-1)	说明
20001	怪物近战普攻	1		0	2			0	0	0	0	0	0	1000	0	100	1	1		0	0	0	0	1		100	1		普攻
20002	怪物远战普攻	1		0	2			0	0	0	0	0	0	1000	0	320	1	1		0	0	0	0	1		100	1		普攻
11100	普攻	1		104	2			0	0	0	0	0	0	1000	0	100	1	1		1	0	0	0	1		100	1		普通攻击对目标造成100%攻击伤害
11101	气诀斩	1	0	109	2	170		1	0	0	0	0	100	2000	0	100	1	1		1	1	0	0	0		100	1		聚全身真气对目标造成103%攻击伤害，附加10点神圣伤害
11101	气诀斩	2	0	109	2	170		1	0	0	0	0	100	2000	0	100	1	1		1	1	0	0	0		100	1		聚全身真气对目标造成106%攻击伤害，附加20点神圣伤害
11101	气诀斩	3	0	109	2	170		1	0	0	0	0	100	2000	0	100	1	1		1	1	0	0	0		100	1		聚全身真气对目标造成109%攻击伤害，附加30点神圣伤害
11101	气诀斩	4	0	109	2	170		1	0	0	0	0	100	2000	0	100	1	1		1	1	0	0	0		100	1		聚全身真气对目标造成112%攻击伤害，附加40点神圣伤害
11101	气诀斩	5	0	109	2	170		1	0	0	0	0	100	2000	0	100	1	1		1	1	0	0	0		100	1		聚全身真气对目标造成115%攻击伤害，附加50点神圣伤害
11101	气诀斩	6	0	109	2	170		1	0	0	0	0	100	2000	0	100	1	1		1	1	0	0	0		100	1		聚全身真气对目标造成118%攻击伤害，附加60点神圣伤害
