skillId	name	level	sourceType	iconId	effectId	actionId	musicId	shockRate	buffUse	skillApplyType	hp	mp	cd	minUseRange	maxUseRange	serverTargetType	clientTargetType	triggerPassive	useGlobalCd	hitChange	critChange	attackType	prepareArg	hatredPercent	hatredAdd	affectSkills	targetAnimId	targetEffectId	battleScore	desc
技能ID	技能名字	等级	系统来源	图标ID	效果ID	动作ID	声音Id	震动几率\n100=100%	是否为BUFF触发技能\n[0否|1是]	技能类型\n[0主|1被]	消耗hp[int]	消耗mp[int]	cd(单位毫秒)	最小释放距离	最大释放距离	目标类型\n[0任意|1敌方|2己方]	客户端目标类型\n[0任意|1敌方|2友方|3自己]\n自己不会去判断施法距离，适合以自己为中心的群攻\n任意如果有目标则会判断距离，如果没目标则会直接释放（如果在攻击类型中选择加血，则如果选择地方就不会再判断距离，直接给自己释放技能）	是否触发被动技能效果(是否会触发双方的)\n[0否 1是]	是否公用公共cd\n[0否 1是]	命中修正[int]\n（100=1%）	暴击修正[int]\n（100=1%）	攻击类型[0默认|1普通攻击|2冲锋|3闪现|4复活|5加血]	预留参数	仇恨百分比[int]\n（1=1%）	额外附加仇恨	被动技能影响主动技能的id表(CD、耗蓝、耗HP、攻击距离、预留参数；用,分割；影响全部填-1)	被攻击者受伤动画id	被攻击者受伤特效id	战斗力	说明
20001	怪物近战普攻	1	3			2			0	0	0	0	1000	0	90	1	1	0	0	0	0	1		100	1		-1	-1	0	普攻
20002	怪物远战普攻	1	3		203	2			0	0	0	0	1000	0	330	1	1	0	0	0	0	1		100	1		-1	-1	0	普攻
20003	怪物远战普攻	1	3		203	2			0	0	0	0	1000	0	1800	1	1	0	0	0	0	1		100	1		-1	-1	0	普攻
100	主角普攻	1	0		104	2			0	0	0	0	1000	0	90	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色物攻的物理伤害。
200	战士普攻	1	1	0	104	2			0	0	0	0	1000	0	90	1	1	0	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色物攻的物理伤害。
205	大剑师普攻	1	1	0	109	2	170		0	0	0	0	1000	0	90	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色物攻的物理伤害。
210	刺客普攻	1	1	0	109	2	170		0	0	0	0	1000	0	90	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色物攻的物理伤害。
215	狂战士普攻	1	1	0	109	2	170		0	0	0	0	1000	0	90	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色物攻的物理伤害。
220	牛头人酋长普攻	1	1	0	109	2	170		0	0	0	0	1000	0	90	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色物攻的物理伤害。
225	不祥之刃普攻	1	1	0	109	2	170		0	0	0	0	1000	0	90	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色物攻的物理伤害。
230	德玛西亚之力普攻	1	1	0	109	2	170		0	0	0	0	1000	0	90	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色物攻的物理伤害。
235	寒冰射手普攻	1	1	0	109	2	170		0	0	0	0	1000	0	330	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色物攻的物理伤害。
240	凯尔萨斯普攻	1	1	0	109	2	170		0	0	0	0	1000	0	330	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色火攻的火系伤害。
245	三季稻普攻	1	1	0	109	2	170		0	0	0	0	1000	0	330	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色火攻的火系伤害。
30000	女神普攻	1	2	0	109	2	170		0	0	0	0	1000	0	330	1	1	1	0	0	0	1		100	1		-1	-1	0	对敌方单个目标造成50%角色物攻的物理伤害。
101	抵抗减速	1	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	5	提升角色抵抗减速的概率1%。
101	抵抗减速	2	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	10	提升角色抵抗减速的概率2%。
101	抵抗减速	3	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	15	提升角色抵抗减速的概率3%。
101	抵抗减速	4	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	20	提升角色抵抗减速的概率4%。
101	抵抗减速	5	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	25	提升角色抵抗减速的概率5%。
101	抵抗减速	6	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	30	提升角色抵抗减速的概率6%。
101	抵抗减速	7	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	35	提升角色抵抗减速的概率7%。
101	抵抗减速	8	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	40	提升角色抵抗减速的概率8%。
101	抵抗减速	9	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	45	提升角色抵抗减速的概率9%。
101	抵抗减速	10	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	50	提升角色抵抗减速的概率10%。
101	抵抗减速	11	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	55	提升角色抵抗减速的概率11%。
101	抵抗减速	12	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	60	提升角色抵抗减速的概率12%。
101	抵抗减速	13	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	65	提升角色抵抗减速的概率13%。
101	抵抗减速	14	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	70	提升角色抵抗减速的概率14%。
101	抵抗减速	15	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	75	提升角色抵抗减速的概率15%。
101	抵抗减速	16	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	80	提升角色抵抗减速的概率16%。
101	抵抗减速	17	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	85	提升角色抵抗减速的概率17%。
101	抵抗减速	18	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	90	提升角色抵抗减速的概率18%。
101	抵抗减速	19	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	95	提升角色抵抗减速的概率19%。
101	抵抗减速	20	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	100	提升角色抵抗减速的概率20%。
102	抵抗破甲	1	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	5	提升角色抵抗破甲的概率1%。
102	抵抗破甲	2	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	10	提升角色抵抗破甲的概率2%。
102	抵抗破甲	3	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	15	提升角色抵抗破甲的概率3%。
102	抵抗破甲	4	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	20	提升角色抵抗破甲的概率4%。
102	抵抗破甲	5	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	25	提升角色抵抗破甲的概率5%。
102	抵抗破甲	6	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	30	提升角色抵抗破甲的概率6%。
102	抵抗破甲	7	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	35	提升角色抵抗破甲的概率7%。
102	抵抗破甲	8	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	40	提升角色抵抗破甲的概率8%。
102	抵抗破甲	9	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	45	提升角色抵抗破甲的概率9%。
102	抵抗破甲	10	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	50	提升角色抵抗破甲的概率10%。
102	抵抗破甲	11	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	55	提升角色抵抗破甲的概率11%。
102	抵抗破甲	12	1	4		2			0	1	0	0	0	0	0			0	0								-1	-1	60	提升角色抵抗破甲的概率12%。
