suitId	num	attrId1	value1	attrId2	value2	attrId3	value3	attrId4	value4
套装ID	符合套装数目	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值
12004	2	8	340						
12004	3			50	40				
12004	5					51	15	58	3000
12005	2	8	445						
12005	3			50	50				
12005	5					51	20	58	4000
12006	2	8	625						
12006	3			50	70				
12006	5					51	30	58	5000
12014	2	8	340						
12014	3			50	40				
12014	5					51	15	58	3000
12015	2	8	445						
12015	3			50	50				
12015	5					51	20	58	4000
12016	2	8	625						
12016	3			50	70				
12016	5					51	30	58	5000
12024	2	8	340						
12024	3			50	40				
12024	5					51	15	58	3000
12025	2	8	445						
12025	3			50	50				
12025	5					51	20	58	4000
12026	2	8	625						
12026	3			50	70				
12026	5					51	30	58	5000
13004	2	8	490						
13004	3			50	55				
13004	5					51	25	58	3000
13005	2	8	635						
13005	3			50	70				
13005	5					51	30	58	4000
13006	2	8	890						
13006	3			50	100				
13006	5					51	40	58	5000
13014	2	8	490						
13014	3			50	55				
13014	5					51	25	58	3000
13015	2	8	635						
13015	3			50	70				
13015	5					51	30	58	4000
13016	2	8	890						
13016	3			50	100				
13016	5					51	40	58	5000
13024	2	8	490						
13024	3			50	55				
13024	5					51	25	58	3000
13025	2	8	635						
13025	3			50	70				
13025	5					51	30	58	4000
13026	2	8	890						
13026	3			50	100				
13026	5					51	40	58	5000
14004	2	8	665						
14004	3			50	75				
14004	5					51	30	58	3000
14005	2	8	865						
14005	3			50	95				
14005	5					51	40	58	4000
14006	2	8	1210						
14006	3			50	135				
14006	5					51	55	58	5000
14014	2	8	665						
14014	3			50	75				
14014	5					51	30	58	3000
14015	2	8	865						
14015	3			50	95				
14015	5					51	40	58	4000
14016	2	8	1210						
14016	3			50	135				
14016	5					51	55	58	5000
14024	2	8	665						
14024	3			50	75				
14024	5					51	30	58	3000
14025	2	8	865						
14025	3			50	95				
14025	5					51	40	58	4000
14026	2	8	1210						
14026	3			50	135				
14026	5					51	55	58	5000
15004	2	8	870						
15004	3			50	95				
15004	5					51	40	58	3000
15005	2	8	1130						
15005	3			50	125				
15005	5					51	50	58	4000
15006	2	8	1580						
15006	3			50	175				
15006	5					51	70	58	5000
15014	2	8	870						
15014	3			50	95				
15014	5					51	40	58	3000
15015	2	8	1130						
15015	3			50	125				
15015	5					51	50	58	4000
15016	2	8	1580						
15016	3			50	175				
15016	5					51	70	58	5000
15024	2	8	870						
15024	3			50	95				
15024	5					51	40	58	3000
15025	2	8	1130						
15025	3			50	125				
15025	5					51	50	58	4000
15026	2	8	1580						
15026	3			50	175				
15026	5					51	70	58	5000
16004	2	8	1105						
16004	3			50	125				
16004	5					51	50	58	3000
16005	2	8	1435						
16005	3			50	160				
16005	5					51	65	58	4000
16006	2	8	2010						
16006	3			50	225				
16006	5					51	90	58	5000
16014	2	8	1105						
16014	3			50	125				
16014	5					51	50	58	3000
16015	2	8	1435						
16015	3			50	160				
16015	5					51	65	58	4000
16016	2	8	2010						
16016	3			50	225				
16016	5					51	90	58	5000
16024	2	8	1105						
16024	3			50	125				
16024	5					51	50	58	3000
16025	2	8	1435						
16025	3			50	160				
16025	5					51	65	58	4000
