suitId	suitName	equipId1	equipId2	equipId3	equipId4	equipId5
套装ID\n[ID不能超过30000]	套装名	装备ID1	装备ID2	装备ID3	装备ID4	装备ID5
12004	12004	6200400	6200401	6200402	6200403	6200404
12005	12005	6200500	6200501	6200502	6200503	6200504
12006	12006	6200600	6200601	6200602	6200603	6200604
12014	12014	6201400	6201401	6201402	6201403	6201404
12015	12015	6201500	6201501	6201502	6201503	6201504
12016	12016	6201600	6201601	6201602	6201603	6201604
12024	12024	6202400	6202401	6202402	6202403	6202404
12025	12025	6202500	6202501	6202502	6202503	6202504
12026	12026	6202600	6202601	6202602	6202603	6202604
13004	三才·天神套装	6300400	6300401	6300402	6300403	6300404
13005	三才·玄神套装	6300500	6300501	6300502	6300503	6300504
13006	三才·真神套装	6300600	6300601	6300602	6300603	6300604
13014	三才·上仙套装	6301400	6301401	6301402	6301403	6301404
13015	三才·玄仙套装	6301500	6301501	6301502	6301503	6301504
13016	三才·真仙套装	6301600	6301601	6301602	6301603	6301604
13024	三才·天尊套装	6302400	6302401	6302402	6302403	6302404
13025	三才·玄尊套装	6302500	6302501	6302502	6302503	6302504
13026	三才·至尊套装	6302600	6302601	6302602	6302603	6302604
14004	四象·天神套装	6400400	6400401	6400402	6400403	6400404
14005	四象·玄神套装	6400500	6400501	6400502	6400503	6400504
14006	四象·真神套装	6400600	6400601	6400602	6400603	6400604
14014	四象·上仙套装	6401400	6401401	6401402	6401403	6401404
14015	四象·玄仙套装	6401500	6401501	6401502	6401503	6401504
14016	四象·真仙套装	6401600	6401601	6401602	6401603	6401604
14024	四象·天尊套装	6402400	6402401	6402402	6402403	6402404
14025	四象·玄尊套装	6402500	6402501	6402502	6402503	6402504
14026	四象·至尊套装	6402600	6402601	6402602	6402603	6402604
15004	五行·天神套装	6500400	6500401	6500402	6500403	6500404
15005	五行·玄神套装	6500500	6500501	6500502	6500503	6500504
15006	五行·真神套装	6500600	6500601	6500602	6500603	6500604
15014	五行·上仙套装	6501400	6501401	6501402	6501403	6501404
15015	五行·玄仙套装	6501500	6501501	6501502	6501503	6501504
15016	五行·真仙套装	6501600	6501601	6501602	6501603	6501604
15024	五行·天尊套装	6502400	6502401	6502402	6502403	6502404
15025	五行·玄尊套装	6502500	6502501	6502502	6502503	6502504
15026	五行·至尊套装	6502600	6502601	6502602	6502603	6502604
16004	六合·天神套装	6600400	6600401	6600402	6600403	6600404
16005	六合·玄神套装	6600500	6600501	6600502	6600503	6600504
16006	六合·真神套装	6600600	6600601	6600602	6600603	6600604
16014	六合·上仙套装	6601400	6601401	6601402	6601403	6601404
16015	六合·玄仙套装	6601500	6601501	6601502	6601503	6601504
16016	六合·真仙套装	6601600	6601601	6601602	6601603	6601604
16024	六合·天尊套装	6602400	6602401	6602402	6602403	6602404
16025	六合·玄尊套装	6602500	6602501	6602502	6602503	6602504
16026	六合·至尊套装	6602600	6602601	6602602	6602603	6602604
17004	七星·天神套装	6700400	6700401	6700402	6700403	6700404
17005	七星·玄神套装	6700500	6700501	6700502	6700503	6700504
17006	七星·真神套装	6700600	6700601	6700602	6700603	6700604
17014	七星·上仙套装	6701400	6701401	6701402	6701403	6701404
17015	七星·玄仙套装	6701500	6701501	6701502	6701503	6701504
17016	七星·真仙套装	6701600	6701601	6701602	6701603	6701604
17024	七星·天尊套装	6702400	6702401	6702402	6702403	6702404
17025	七星·玄尊套装	6702500	6702501	6702502	6702503	6702504
17026	七星·至尊套装	6702600	6702601	6702602	6702603	6702604
18004	八卦·天神套装	6800400	6800401	6800402	6800403	6800404
18005	八卦·玄神套装	6800500	6800501	6800502	6800503	6800504
18006	八卦·真神套装	6800600	6800601	6800602	6800603	6800604
18014	八卦·上仙套装	6801400	6801401	6801402	6801403	6801404
18015	八卦·玄仙套装	6801500	6801501	6801502	6801503	6801504
18016	八卦·真仙套装	6801600	6801601	6801602	6801603	6801604
18024	八卦·天尊套装	6802400	6802401	6802402	6802403	6802404
18025	八卦·玄尊套装	6802500	6802501	6802502	6802503	6802504
18026	八卦·至尊套装	6802600	6802601	6802602	6802603	6802604
22004	22004	6200405	6200406	6200407	6200408	6200409
22005	22005	6200505	6200506	6200507	6200508	6200509
22006	22006	6200605	6200606	6200607	6200608	6200609
22014	22014	6201405	6201406	6201407	6201408	6201409
22015	22015	6201505	6201506	6201507	6201508	6201509
22016	22016	6201605	6201606	6201607	6201608	6201609
22024	22024	6202405	6202406	6202407	6202408	6202409
22025	22025	6202505	6202506	6202507	6202508	6202509
22026	22026	6202605	6202606	6202607	6202608	6202609
23004	三才·天神套装	6300405	6300406	6300407	6300408	6300409
23005	三才·玄神套装	6300505	6300506	6300507	6300508	6300509
23006	三才·真神套装	6300605	6300606	6300607	6300608	6300609
23014	三才·上仙套装	6301405	6301406	6301407	6301408	6301409
23015	三才·玄仙套装	6301505	6301506	6301507	6301508	6301509
23016	三才·真仙套装	6301605	6301606	6301607	6301608	6301609
23024	三才·天尊套装	6302405	6302406	6302407	6302408	6302409
23025	三才·玄尊套装	6302505	6302506	6302507	6302508	6302509
23026	三才·至尊套装	6302605	6302606	6302607	6302608	6302609
24004	四象·天神套装	6400405	6400406	6400407	6400408	6400409
24005	四象·玄神套装	6400505	6400506	6400507	6400508	6400509
24006	四象·真神套装	6400605	6400606	6400607	6400608	6400609
24014	四象·上仙套装	6401405	6401406	6401407	6401408	6401409
24015	四象·玄仙套装	6401505	6401506	6401507	6401508	6401509
24016	四象·真仙套装	6401605	6401606	6401607	6401608	6401609
24024	四象·天尊套装	6402405	6402406	6402407	6402408	6402409
24025	四象·玄尊套装	6402505	6402506	6402507	6402508	6402509
24026	四象·至尊套装	6402605	6402606	6402607	6402608	6402609
25004	五行·天神套装	6500405	6500406	6500407	6500408	6500409
25005	五行·玄神套装	6500505	6500506	6500507	6500508	6500509
25006	五行·真神套装	6500605	6500606	6500607	6500608	6500609
25014	五行·上仙套装	6501405	6501406	6501407	6501408	6501409
25015	五行·玄仙套装	6501505	6501506	6501507	6501508	6501509
25016	五行·真仙套装	6501605	6501606	6501607	6501608	6501609
25024	五行·天尊套装	6502405	6502406	6502407	6502408	6502409
25025	五行·玄尊套装	6502505	6502506	6502507	6502508	6502509
25026	五行·至尊套装	6502605	6502606	6502607	6502608	6502609
26004	六合·天神套装	6600405	6600406	6600407	6600408	6600409
26005	六合·玄神套装	6600505	6600506	6600507	6600508	6600509
26006	六合·真神套装	6600605	6600606	6600607	6600608	6600609
26014	六合·上仙套装	6601405	6601406	6601407	6601408	6601409
26015	六合·玄仙套装	6601505	6601506	6601507	6601508	6601509
26016	六合·真仙套装	6601605	6601606	6601607	6601608	6601609
26024	六合·天尊套装	6602405	6602406	6602407	6602408	6602409
26025	六合·玄尊套装	6602505	6602506	6602507	6602508	6602509
26026	六合·至尊套装	6602605	6602606	6602607	6602608	6602609
27004	七星·天神套装	6700405	6700406	6700407	6700408	6700409
27005	七星·玄神套装	6700505	6700506	6700507	6700508	6700509
27006	七星·真神套装	6700605	6700606	6700607	6700608	6700609
27014	七星·上仙套装	6701405	6701406	6701407	6701408	6701409
27015	七星·玄仙套装	6701505	6701506	6701507	6701508	6701509
27016	七星·真仙套装	6701605	6701606	6701607	6701608	6701609
