vipLevel	vipPriType	vipPriPram	vipPriIntroduction
VIP等级	特权ID 	特权参数	 vip特权说明
1	0	2	累计充值40000钻石即可享受该特权
1	0	2	每天炼金20次
1	0	2	每天幸运年宝箱180次
1	0	2	每天购买竞技场门票20次
1	4	2	每天玩大富翁一次
1	5	2	每天幸运转盘20次
	 		 
2	2	1	累计充值40000钻石即可享受该特权
2	3	1	每天炼金20次
2	4	1	每天幸运年宝箱180次
2	5	1	每天购买竞技场门票20次
2	6	1	每天玩大富翁一次
2	7	1	每天幸运转盘20次
2	8	1	每天玩大富翁一次
3	9	1	每天幸运转盘20次
			
4	34	2	累计充值40000钻石即可享受该特权
4	34	2	每天炼金20次
4	34	2	每天幸运年宝箱180次
4	34	2	每天购买竞技场门票20次
4	34	2	每天玩大富翁一次
4	34	2	每天幸运转盘20次
4	34	2	每天玩大富翁一次
4	34	2	每天幸运转盘20次
			
5	2	4	累计充值40000钻石即可享受该特权
5	3	4	每天炼金20次
5	4	4	每天幸运年宝箱180次
5	5	4	每天购买竞技场门票20次
5	6	4	每天玩大富翁一次
5	7	4	每天幸运转盘20次
5	8	4	每天玩大富翁一次
5	9	4	每天幸运转盘20次
			
6	4	3	累计充值40000钻石即可享受该特权
6	5	3	每天炼金20次
6	6	3	每天幸运年宝箱180次
6	7	3	每天购买竞技场门票20次
6	8	3	每天玩大富翁一次
6	9	3	每天幸运转盘20次
6	10	3	每天玩大富翁一次
6	11	3	每天幸运转盘20次
			
7	2	2	累计充值40000钻石即可享受该特权
7	3	2	每天炼金20次
7	4	2	每天幸运年宝箱180次
7	5	2	每天购买竞技场门票20次
7	6	2	每天玩大富翁一次
7	7	2	每天幸运转盘20次
7	8	2	每天玩大富翁一次
7	9	2	每天幸运转盘20次
			
8	1	4	vipPriIntroduction31
8	2	4	vipPriIntroduction32
8	3	4	vipPriIntroduction33
			
9	2	500	累计充值40000钻石即可享受该特权
9	3	500	每天炼金20次
9	4	500	每天幸运年宝箱180次
9	5	500	每天购买竞技场门票20次
9	6	500	每天玩大富翁一次
9	7	500	每天幸运转盘20次
9	8	500	每天玩大富翁一次
9	9	500	每天幸运转盘20次
	 	500	
10	3	500	累计充值40000钻石即可享受该特权
10	4	500	每天炼金20次
10	5	500	每天幸运年宝箱180次
10	6	500	每天购买竞技场门票20次
10	7	500	每天玩大富翁一次
10	8	500	每天幸运转盘20次
10	9	500	每天玩大富翁一次
10	10	500	每天幸运转盘20次
	 	 	
11	1	500	累计充值40000钻石即可享受该特权
11	2	500	每天炼金20次
11	3	500	每天幸运年宝箱180次
11	4	500	每天购买竞技场门票20次
11	5	500	每天玩大富翁一次
11	6	500	每天幸运转盘20次
11	7	500	每天玩大富翁一次
11	8	500	每天幸运转盘20次
	 	500	
12	2	500	vipPriIntroduction31
12	2	500	vipPriIntroduction32
12	2	500	vipPriIntroduction33
		 	
13	1	500	vipPriIntroduction7
13	1	500	vipPriIntroduction8
13	1	500	vipPriIntroduction9
13	1	500	vipPriIntroduction10
13	1	500	vipPriIntroduction11
13	1	500	vipPriIntroduction12
13	1	500	vipPriIntroduction13
13	1	500	vipPriIntroduction14
	 	 	
14	3	500	vipPriIntroduction15
14	3	500	vipPriIntroduction16
14	3	500	vipPriIntroduction17
14	3	500	vipPriIntroduction18
14	3	500	vipPriIntroduction19
14	3	500	vipPriIntroduction20
14	3	500	vipPriIntroduction21
14	3	500	vipPriIntroduction22
	 	 	
15	1	500	vipPriIntroduction23
15	1	500	vipPriIntroduction24
15	1	500	vipPriIntroduction25
15	1	500	vipPriIntroduction26
15	1	500	vipPriIntroduction27
15	1	500	vipPriIntroduction28
15	1	500	vipPriIntroduction29
15	1	500	vipPriIntroduction30
