vipLevel	vipPriType	vipPriPram	 vipPriIntroduction
VIP等级	特权ID 	特权参数	 vip特权说明
1	0	2	累计充值40000钻石即可享受该特权
1	0	2	每天炼金20次
1	0	2	每天幸运年宝箱180次
1	0	2	每天购买竞技场门票20次
1	4	2	每天玩大富翁一次
1	5	2	每天幸运转盘20次
	 		 
2	2	1	累计充值40000钻石即可享受该特权
2	3	1	每天炼金20次
2	4	1	每天幸运年宝箱180次
2	5	1	每天购买竞技场门票20次
2	6	1	每天玩大富翁一次
2	7	1	每天幸运转盘20次
2	8	1	每天玩大富翁一次
3	9	1	每天幸运转盘20次
			
3	34	2	累计充值40000钻石即可享受该特权
3	34	2	每天炼金20次
3	34	2	每天幸运年宝箱180次
3	34	2	每天购买竞技场门票20次
3	34	2	每天玩大富翁一次
3	34	2	每天幸运转盘20次
3	34	2	每天玩大富翁一次
3	34	2	每天幸运转盘20次
			
5	2	4	累计充值40000钻石即可享受该特权
5	3	4	每天炼金20次
5	4	4	每天幸运年宝箱180次
5	5	4	每天购买竞技场门票20次
5	6	4	每天玩大富翁一次
5	7	4	每天幸运转盘20次
5	8	4	每天玩大富翁一次
5	9	4	每天幸运转盘20次
			
6	4	3	累计充值40000钻石即可享受该特权
6	5	3	每天炼金20次
6	6	3	每天幸运年宝箱180次
6	7	3	每天购买竞技场门票20次
6	8	3	每天玩大富翁一次
6	9	3	每天幸运转盘20次
6	10	3	每天玩大富翁一次
6	11	3	每天幸运转盘20次
			
7	2	2	累计充值40000钻石即可享受该特权
7	3	2	每天炼金20次
7	4	2	每天幸运年宝箱180次
7	5	2	每天购买竞技场门票20次
7	6	2	每天玩大富翁一次
7	7	2	每天幸运转盘20次
7	8	2	每天玩大富翁一次
7	9	2	每天幸运转盘20次
			
8	1	4	每天幸运转盘20次
8	2	4	每天玩大富翁一次
8	3	4	每天幸运转盘20次
			
9	2	500	累计充值40000钻石即可享受该特权
9	3	500	每天炼金20次
9	4	500	每天幸运年宝箱180次
9	5	500	每天购买竞技场门票20次
9	6	500	每天玩大富翁一次
9	7	500	每天幸运转盘20次
9	8	500	每天玩大富翁一次
9	9	500	每天幸运转盘20次
	 	500	
10	3	500	累计充值40000钻石即可享受该特权
10	4	500	每天炼金20次
10	5	500	每天幸运年宝箱180次
10	6	500	每天购买竞技场门票20次
10	7	500	每天玩大富翁一次
10	8	500	每天幸运转盘20次
10	9	500	每天玩大富翁一次
10	10	500	每天幸运转盘20次
	 	 	
11	1	500	累计充值40000钻石即可享受该特权
11	2	500	每天炼金20次
11	3	500	每天幸运年宝箱180次
11	4	500	每天购买竞技场门票20次
11	5	500	每天玩大富翁一次
11	6	500	每天幸运转盘20次
11	7	500	每天玩大富翁一次
11	8	500	每天幸运转盘20次
	 	500	
12	2	500	每天幸运转盘20次
12	2	500	每天玩大富翁一次
12	2	500	每天幸运转盘20次
		 	
13	1	500	每天幸运转盘20次
13	1	500	每天玩大富翁一次
13	1	500	每天幸运转盘20次
13	1	500	每天幸运转盘20次
13	1	500	每天玩大富翁一次
13	1	500	每天幸运转盘20次
13	1	500	每天玩大富翁一次
13	1	500	每天幸运转盘20次
	 	 	
14	3	500	每天幸运转盘20次
14	3	500	每天玩大富翁一次
14	3	500	每天幸运转盘20次
14	3	500	每天幸运转盘20次
14	3	500	每天玩大富翁一次
14	3	500	每天幸运转盘20次
14	3	500	每天玩大富翁一次
14	3	500	每天幸运转盘20次
	 	 	
15	1	500	每天玩大富翁一次
15	1	500	每天幸运转盘20次
15	1	500	每天玩大富翁一次
15	1	500	每天幸运转盘20次
15	1	500	每天玩大富翁一次
15	1	500	每天幸运转盘20次
15	1	500	每天玩大富翁一次
15	1	500	每天幸运转盘20次
